"variable_id","contract_status","contract_role","interface_lane","source_file","unit","coverage_start","coverage_end","first_fully_supported_year","permitted_use","prohibited_use"
"DLOG_G_ME","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","log_difference",1902,2024,1926,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DLOG_G_NRC","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","log_difference",1902,2024,1932,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DLOG_I_ME","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","log_difference",1902,2024,1926,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DLOG_I_NRC","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","log_difference",1902,2024,1932,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DLOG_I_TOT","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","log_difference",1902,2024,1932,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DLOG_N_ME","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","log_difference",1902,2024,1926,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"DLOG_N_NRC","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","log_difference",1902,2024,1932,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"G_ME_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,1925,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"G_NRC_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,1931,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GAP_ARITH_LOG_G_ME","DIAGNOSTIC_ONLY","growth_gap_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate_gap",1902,2024,1926,"accounting_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GAP_ARITH_LOG_G_NRC","DIAGNOSTIC_ONLY","growth_gap_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate_gap",1902,2024,1932,"accounting_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GAP_ARITH_LOG_G_TOT","DIAGNOSTIC_ONLY","growth_gap_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate_gap",1902,2024,1932,"accounting_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GAP_ARITH_LOG_I_ME","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate_gap",1902,2024,1926,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GAP_ARITH_LOG_I_NRC","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate_gap",1902,2024,1932,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GAP_ARITH_LOG_I_TOT","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate_gap",1902,2024,1932,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GAP_ARITH_LOG_N_ME","DIAGNOSTIC_ONLY","growth_gap_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate_gap",1902,2024,1926,"accounting_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GAP_ARITH_LOG_N_NRC","DIAGNOSTIC_ONLY","growth_gap_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate_gap",1902,2024,1932,"accounting_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GAP_ARITH_LOG_N_TOT","DIAGNOSTIC_ONLY","growth_gap_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate_gap",1902,2024,1932,"accounting_diagnostic","not_baseline_stock; not_model_input; not_growth_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GROWTH_ARITH_G_ME","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1926,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GROWTH_ARITH_G_NRC","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1932,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GROWTH_ARITH_I_ME","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1926,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GROWTH_ARITH_I_NRC","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1932,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GROWTH_ARITH_I_TOT","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1932,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GROWTH_ARITH_N_ME","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1926,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"GROWTH_ARITH_N_NRC","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1932,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"I_ME_REAL_2017","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,1925,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"I_NRC_REAL_2017","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,1931,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"INV_RATE_G_ME","DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1926,"accounting_diagnostic","not_baseline_stock; not_model_input; not_structural_depreciation_parameter; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"INV_RATE_G_NRC","DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1932,"accounting_diagnostic","not_baseline_stock; not_model_input; not_structural_depreciation_parameter; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"INV_RATE_G_TOT","DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1932,"accounting_diagnostic","not_baseline_stock; not_model_input; not_structural_depreciation_parameter; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"L1_DLOG_G_ME","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","log_difference",1903,2024,1927,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"L1_DLOG_G_NRC","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","log_difference",1903,2024,1933,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"L1_DLOG_N_ME","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","log_difference",1903,2024,1927,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"L1_DLOG_N_NRC","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","log_difference",1903,2024,1933,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"L1_LOG_G_ME","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","natural_log",1902,2024,1926,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"L1_LOG_G_NRC","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","natural_log",1902,2024,1932,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"L1_LOG_N_ME","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","natural_log",1902,2024,1926,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"L1_LOG_N_NRC","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","natural_log",1902,2024,1932,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"LOG_G_ME_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","natural_log_of_millions_2017_dollars",1901,2024,1925,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"LOG_G_NRC_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","natural_log_of_millions_2017_dollars",1901,2024,1931,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"LOG_I_ME_REAL_2017","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","natural_log_of_millions_2017_dollars",1901,2024,1925,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"LOG_I_NRC_REAL_2017","DIAGNOSTIC_ONLY","investment_flow_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","natural_log_of_millions_2017_dollars",1901,2024,1931,"accumulation_flow_diagnostic","not_baseline_stock; not_model_input; not_stock_substitute; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"LOG_N_ME_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","natural_log_of_millions_2017_dollars",1901,2024,1925,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"LOG_N_NRC_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","natural_log_of_millions_2017_dollars",1901,2024,1931,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"N_ME_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,1925,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"N_NRC_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,1931,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"RET_ME_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,1925,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"RET_NRC_GPIM_2017","DIAGNOSTIC_ONLY","component_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","millions_2017_dollars",1901,2024,1931,"continuity_diagnostic","not_baseline_stock; not_model_input; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
"RET_RATE_G_ME","DIAGNOSTIC_ONLY","depreciation_and_retirement_diagnostic","diagnostic_reference","output/US/S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS/csv/S29F_total_capital_analytical_panel_long.csv","decimal_rate",1902,2024,1926,"accounting_diagnostic","not_baseline_stock; not_model_input; not_structural_depreciation_parameter; not_valid_for_warmup_baseline_estimation; not_q_input_without_future_authorization; not_distribution_interaction_without_future_authorization"
