"variable_id","display_name","family_id","concept","concept_group_id","unit","transformation","representation_type","S30_analytical_role","S30_contract_status","S31A_diagnostic_intake_status","reporting_tier","preferred_representation","headline_table_eligible","master_table_included","event_profile_eligible","inclusion_reason","level_counterpart_id"
"GROWTH_ARITH_N_TOT","GROWTH_ARITH_N_TOT","capital","conditional_secondary","NET_CAPITAL_GROWTH","decimal_rate","level_change","EXISTING_DIFFERENCE_OR_RATE","conditional_secondary","CONDITIONAL_SECONDARY","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","no","yes","yes","yes","Frozen canonical variable retained without changing its S30 role.",""
"L1_LOG_G_TOT","L1_LOG_G_TOT","capital","conditional_secondary","TOTAL_GROSS_PRODUCTIVE_CAPITAL_LAG","natural_log","growth_or_log_difference","TECHNICAL_LAGGED_LOG_LEVEL","conditional_secondary","CONDITIONAL_SECONDARY","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","no","no","yes","no","Frozen canonical variable retained without changing its S30 role.",""
"L1_LOG_N_TOT","L1_LOG_N_TOT","capital","conditional_secondary","TOTAL_NET_PRODUCTIVE_CAPITAL_LAG","natural_log","growth_or_log_difference","TECHNICAL_LAGGED_LOG_LEVEL","conditional_secondary","CONDITIONAL_SECONDARY","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","no","no","yes","no","Frozen canonical variable retained without changing its S30 role.",""
"L1_DLOG_G_TOT","L1_DLOG_G_TOT","capital","conditional_secondary","GROSS_CAPITAL_GROWTH_LAG","log_difference","growth_or_log_difference","TECHNICAL_LAGGED_GROWTH","conditional_secondary","CONDITIONAL_SECONDARY","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","no","no","yes","yes","Frozen canonical variable retained without changing its S30 role.",""
"L1_DLOG_N_TOT","L1_DLOG_N_TOT","capital","conditional_secondary","NET_CAPITAL_GROWTH_LAG","log_difference","growth_or_log_difference","TECHNICAL_LAGGED_GROWTH","conditional_secondary","CONDITIONAL_SECONDARY","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","no","no","yes","yes","Frozen canonical variable retained without changing its S30 role.",""
"CORP_COMPENSATION_SHARE_GVA","CORP_COMPENSATION_SHARE_GVA","distribution","robustness_distribution_interface","CORP_COMPENSATION_SHARE_GVA","ratio","ratio","SHARE_OR_RATIO","robustness_distribution_interface","ROBUSTNESS_AUTHORIZED","TRANSFORMED_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","yes","Frozen canonical variable retained without changing its S30 role.",""
"CORP_COMPENSATION_SHARE_NVA","CORP_COMPENSATION_SHARE_NVA","distribution","robustness_distribution_interface","CORP_COMPENSATION_SHARE_NVA","ratio","ratio","SHARE_OR_RATIO","robustness_distribution_interface","ROBUSTNESS_AUTHORIZED","TRANSFORMED_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","yes","Frozen canonical variable retained without changing its S30 role.",""
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","diagnostic_distribution_catalog","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","REFERENCE_ONLY","TIER_C_REFERENCE_ONLY","no","no","yes","yes","Frozen canonical diagnostic-only object retained in the complete master and reference appendix.",""
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","diagnostic_distribution_catalog","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","REFERENCE_ONLY","TIER_C_REFERENCE_ONLY","no","no","yes","yes","Frozen canonical diagnostic-only object retained in the complete master and reference appendix.",""
"NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_GVA","distribution","baseline_distribution_interface","NFC_COMPENSATION_SHARE_GVA","ratio","ratio","SHARE_OR_RATIO","baseline_distribution_interface","BASELINE_AUTHORIZED","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","yes","yes","yes","yes","Frozen canonical variable retained without changing its S30 role.",""
"NFC_COMPENSATION_SHARE_NVA","NFC_COMPENSATION_SHARE_NVA","distribution","robustness_distribution_interface","NFC_COMPENSATION_SHARE_NVA","ratio","ratio","SHARE_OR_RATIO","robustness_distribution_interface","ROBUSTNESS_AUTHORIZED","TRANSFORMED_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","yes","Frozen canonical variable retained without changing its S30 role.",""
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","diagnostic_distribution_catalog","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","REFERENCE_ONLY","TIER_C_REFERENCE_ONLY","no","no","yes","yes","Frozen canonical diagnostic-only object retained in the complete master and reference appendix.",""
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","diagnostic_distribution_catalog","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","ratio","ratio","SHARE_OR_RATIO","diagnostic_distribution_catalog","DIAGNOSTIC_ONLY","REFERENCE_ONLY","TIER_C_REFERENCE_ONLY","no","no","yes","yes","Frozen canonical diagnostic-only object retained in the complete master and reference appendix.",""
"y_real_nfc_gva_baseline","y_real_nfc_gva_baseline","output","baseline_representation","REAL_NFC_GVA_BASELINE","natural_log_of_millions_2017_price_equivalent_dollars","log_level","LOG_LEVEL","baseline_representation","BASELINE_AUTHORIZED","TRANSFORMED_SERIES_AVAILABLE","TIER_A_CORE","no","no","yes","no","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_BASELINE"
"Y_REAL_NFC_GVA_BASELINE","Y_REAL_NFC_GVA_BASELINE","output","baseline_representation","REAL_NFC_GVA_BASELINE","Millions of 2017-price-equivalent dollars","level","LEVEL","baseline_representation","BASELINE_AUTHORIZED","LEVEL_SERIES_AVAILABLE","TIER_A_CORE","yes","yes","yes","yes","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_BASELINE"
"y_real_nfc_gva_proxy_gdp_implicit","y_real_nfc_gva_proxy_gdp_implicit","output","robustness_representation","REAL_NFC_GVA_PROXY_GDP_IMPLICIT","natural_log_of_millions_2017_price_equivalent_dollars","log_level","LOG_LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","TRANSFORMED_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","no","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","output","robustness_representation","REAL_NFC_GVA_PROXY_GDP_IMPLICIT","Millions of 2017-price-equivalent dollars","level","LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","LEVEL_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","yes","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT"
"y_real_nfc_gva_proxy_nonfarm_business_output","y_real_nfc_gva_proxy_nonfarm_business_output","output","robustness_representation","REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","natural_log_of_millions_2017_price_equivalent_dollars","log_level","LOG_LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","TRANSFORMED_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","no","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","output","robustness_representation","REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","Millions of 2017-price-equivalent dollars","level","LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","LEVEL_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","yes","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT"
"y_real_nfc_gva_proxy_business_output","y_real_nfc_gva_proxy_business_output","output","robustness_representation","REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","natural_log_of_millions_2017_price_equivalent_dollars","log_level","LOG_LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","TRANSFORMED_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","no","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","output","robustness_representation","REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","Millions of 2017-price-equivalent dollars","level","LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","LEVEL_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","yes","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls","y_real_nfc_gva_proxy_nonfarm_business_output_bls","output","robustness_representation","REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","natural_log_of_millions_2017_price_equivalent_dollars","log_level","LOG_LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","TRANSFORMED_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","no","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","output","robustness_representation","REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","Millions of 2017-price-equivalent dollars","level","LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","LEVEL_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","yes","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","output","robustness_representation","REAL_NFC_GVA_PROXY_FINANCE_INSURANCE","natural_log_of_millions_2017_price_equivalent_dollars","log_level","LOG_LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","TRANSFORMED_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","no","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","output","robustness_representation","REAL_NFC_GVA_PROXY_FINANCE_INSURANCE","Millions of 2017-price-equivalent dollars","level","LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","LEVEL_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","yes","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","output","robustness_representation","REAL_NFC_GVA_PROXY_MANUFACTURING","natural_log_of_millions_2017_price_equivalent_dollars","log_level","LOG_LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","TRANSFORMED_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","no","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","output","robustness_representation","REAL_NFC_GVA_PROXY_MANUFACTURING","Millions of 2017-price-equivalent dollars","level","LEVEL","robustness_representation","ROBUSTNESS_AUTHORIZED","LEVEL_SERIES_AVAILABLE","TIER_B_ROBUSTNESS","no","no","yes","yes","Frozen canonical variable retained without changing its S30 role.","Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING"
