variable_id,display_name,concept_family,sector_boundary,account_position,source_status,candidate_status,object_admissibility,source_observation_rows,coverage_start,coverage_end,s22_authorization,can_construct_variable_now,can_model_now,can_run_econometrics_now,notes,s22_notes
FIN__NRC__net_stock_quantity_index,FIN_nonresidential_structures_net_stock_quantity_index,downstream_GPIM_and_K_cap,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__TOTAL__cfc_current_cost,FIN_total_cfc_current_cost,sector_total_diagnostic,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__TOTAL__gross_investment_current_cost,FIN_total_gross_investment_current_cost,sector_total_diagnostic,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__TOTAL__net_stock_current_cost,FIN_total_net_stock_current_cost,sector_total_diagnostic,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
FIN__TOTAL__net_stock_quantity_index,FIN_total_net_stock_quantity_index,sector_total_diagnostic,FIN,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
NFC_AFTER_TAX,NFC_profits_after_tax_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
NFC_PAT,NFC_profits_after_tax,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
NFC_RETAINED,NFC_undistributed_profits_after_tax,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
NFC_TAX,NFC_taxes_corporate_income,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
NFC_UNDISTRIBUTED,NFC_undistributed_profits_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,NFC,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__e_adj_CORP,e_adj_CORP,e_adj_CORP,CORP,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__ln_e_adj_CORP,ln_e_adj_CORP,ln_e_adj_CORP,CORP,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__omega_adj_CORP,omega_adj_CORP,omega_adj_CORP,CORP,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__pi_adj_CORP,pi_adj_CORP,pi_adj_CORP,CORP,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__e_adj_NFC,e_adj_NFC,e_adj_NFC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__e_x_Kcap,e_x_Kcap,e_x_Kcap,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__e_x_ME,e_x_ME,e_x_ME,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__e_x_ME_NRC_gap,e_x_ME_NRC_gap,e_x_ME_NRC_gap,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__e_x_NRC,e_x_NRC,e_x_NRC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__GOV_TRANS_GPIM,GOV_TRANS_GPIM,GOV_TRANS_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__IPP_NFC_GPIM,IPP_NFC_GPIM,IPP_NFC_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__K_G_NFC_KCAP_GPIM,K_G_NFC_KCAP_GPIM,K_G_NFC_KCAP_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__K_G_NFC_ME_GPIM,K_G_NFC_ME_GPIM,K_G_NFC_ME_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__K_G_NFC_NRC_GPIM,K_G_NFC_NRC_GPIM,K_G_NFC_NRC_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__K_N_NFC_KCAP_GPIM,K_N_NFC_KCAP_GPIM,K_N_NFC_KCAP_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__K_N_NFC_ME_GPIM,K_N_NFC_ME_GPIM,K_N_NFC_ME_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__K_N_NFC_NRC_GPIM,K_N_NFC_NRC_GPIM,K_N_NFC_NRC_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__ln_e_adj_NFC,ln_e_adj_NFC,ln_e_adj_NFC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__omega_adj_NFC,omega_adj_NFC,omega_adj_NFC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__P_K_NFC_ME_GPIM,P_K_NFC_ME_GPIM,P_K_NFC_ME_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__P_K_NFC_NRC_GPIM,P_K_NFC_NRC_GPIM,P_K_NFC_NRC_GPIM,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
DOWNSTREAM__pi_adj_NFC,pi_adj_NFC,pi_adj_NFC,NFC,analytical_construction,downstream_constructed_only,READY_AS_BASELINE,eligible_for_model_input_preparation_only,,,,authorized_for_variable_construction_planning_only,no,no,no,"Provider supplies ingredients only. This row is a construction contract, not staged data.","Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__IPP__cfc_current_cost,CORP_intellectual_property_products_cfc_current_cost,frontier_conditioning_variables,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__IPP__gross_investment_current_cost,CORP_intellectual_property_products_gross_investment_current_cost,frontier_conditioning_variables,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__IPP__net_stock_current_cost,CORP_intellectual_property_products_net_stock_current_cost,frontier_conditioning_variables,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__IPP__net_stock_quantity_index,CORP_intellectual_property_products_net_stock_quantity_index,frontier_conditioning_variables,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__ME__cfc_current_cost,CORP_machinery_equipment_cfc_current_cost,downstream_GPIM_and_K_cap,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__ME__gross_investment_current_cost,CORP_machinery_equipment_gross_investment_current_cost,downstream_GPIM_and_K_cap,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__ME__net_stock_current_cost,CORP_machinery_equipment_net_stock_current_cost,downstream_GPIM_and_K_cap,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__ME__net_stock_quantity_index,CORP_machinery_equipment_net_stock_quantity_index,downstream_GPIM_and_K_cap,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__NRC__cfc_current_cost,CORP_nonresidential_structures_cfc_current_cost,downstream_GPIM_and_K_cap,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__NRC__gross_investment_current_cost,CORP_nonresidential_structures_gross_investment_current_cost,downstream_GPIM_and_K_cap,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__NRC__net_stock_current_cost,CORP_nonresidential_structures_net_stock_current_cost,downstream_GPIM_and_K_cap,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__NRC__net_stock_quantity_index,CORP_nonresidential_structures_net_stock_quantity_index,downstream_GPIM_and_K_cap,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__TOTAL__cfc_current_cost,CORP_total_cfc_current_cost,sector_total_diagnostic,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__TOTAL__gross_investment_current_cost,CORP_total_gross_investment_current_cost,sector_total_diagnostic,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__TOTAL__net_stock_current_cost,CORP_total_net_stock_current_cost,sector_total_diagnostic,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP__TOTAL__net_stock_quantity_index,CORP_total_net_stock_quantity_index,sector_total_diagnostic,CORP,fixed_assets,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,authorized_for_variable_construction_planning_only,no,no,no,Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP_CFC,CORP_consumption_fixed_capital,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP_COMP,CORP_compensation_employees,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP_DIVIDENDS_NET,CORP_net_dividends,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP_GVA,CORP_gross_value_added,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP_NET_INT,CORP_net_interest_misc_payments,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP_NOS,CORP_net_operating_surplus,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP_NVA,CORP_net_value_added,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP_PBT,CORP_profits_before_tax,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP_PROFITS_IVA_CC,CORP_profits_with_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
CORP_TRANSFERS_NET,CORP_business_current_transfers_net,Shaikh_income_correction_and_distributive_variables,CORP,income_accounts,staged,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,authorized_for_variable_construction_planning_only,no,no,no,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,"Ready baseline source object; S22 authorizes planning only, not construction or modeling."
