object_id,source_table,candidate_status,blocked_or_parked_status,s22_disposition,reason,allowed_current_use,prohibited_current_use,promoted_in_s22
FIN__TOTAL__gross_stock_current_cost,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN__TOTAL__official_price_index,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__IPP__official_price_index,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__ME__official_price_index,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__NRC__official_price_index,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__TOTAL__official_price_index,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
RESIDENTIAL_CAPITAL_MENU,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Preserve as an exclusion diagnostic; never include silently in K_cap.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
INVENTORIES_MENU,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Optional circulation stock-flow diagnostic.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__current_transfer_payments,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__current_transfer_receipts,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__dividends_paid,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__dividends_received,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__IPP__gross_stock_current_cost,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__IPP__retirements,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Retain as an explicit provider gap; no residual construction is permitted here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__IPP__revaluation_holding_gains,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Retain as an explicit provider gap; no residual construction is permitted here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__ME__gross_stock_current_cost,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__ME__retirements,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Retain as an explicit provider gap; no residual construction is permitted here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__ME__revaluation_holding_gains,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Retain as an explicit provider gap; no residual construction is permitted here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__NRC__gross_stock_current_cost,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__NRC__retirements,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Retain as an explicit provider gap; no residual construction is permitted here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__NRC__revaluation_holding_gains,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Retain as an explicit provider gap; no residual construction is permitted here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP__TOTAL__gross_stock_current_cost,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN__current_transfer_payments,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN__current_transfer_receipts,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN__dividends_paid,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN__dividends_received,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN_CFC,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,exclude_from_model_input_planning_documentation_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN_COMP,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,exclude_from_model_input_planning_documentation_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN_DIVIDENDS,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,exclude_from_model_input_planning_documentation_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN_GVA,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,exclude_from_model_input_planning_documentation_only,Direct NIPA Table 1.14 line; no adjusted share is constructed here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN_NET_INT,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,exclude_from_model_input_planning_documentation_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN_NOS,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,exclude_from_model_input_planning_documentation_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN_NVA,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,exclude_from_model_input_planning_documentation_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN_PBT,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,exclude_from_model_input_planning_documentation_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
FIN_TRANSFERS,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,exclude_from_model_input_planning_documentation_only,Do not silently substitute total financial business. Downstream derivation must cite inputs.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
GOV_TRANS__gross_stock_current_cost,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Do not substitute net stock. Downstream GPIM must be explicit.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__current_transfer_payments,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__current_transfer_receipts,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__dividends_paid,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__dividends_received,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,"Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.",documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__IPP__gross_stock_current_cost,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__IPP__retirements,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Retain as an explicit provider gap; no residual construction is permitted here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__IPP__revaluation_holding_gains,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Retain as an explicit provider gap; no residual construction is permitted here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__ME__gross_stock_current_cost,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__ME__retirements,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Retain as an explicit provider gap; no residual construction is permitted here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__ME__revaluation_holding_gains,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Retain as an explicit provider gap; no residual construction is permitted here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__NRC__gross_stock_current_cost,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__NRC__retirements,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Retain as an explicit provider gap; no residual construction is permitted here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__NRC__revaluation_holding_gains,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Retain as an explicit provider gap; no residual construction is permitted here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
NFC__TOTAL__gross_stock_current_cost,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Preserve as a required gap. Do not substitute net stock or construct GPIM here.,documentation and mapping review only,adjusted Shaikh construction; model-input panel construction; econometrics; direct Chapter 2 use without import pass,no
CORP_IMPUTED_INTEREST_ADJ,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,documentation_reconciliation_candidate,exclude_from_model_input_planning_documentation_only,Expected current status for Shaikh corporate adjustment.,documentation; reconciliation; candidate menu,construction; handoff; regression; baseline,no
CORP_GVA_SHAIKH_RECONCILIATION,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,exclude_from_model_input_planning_documentation_only,Must flow through GOS/NOS under stock-flow law.,documentation; reconciliation; candidate menu,construction; handoff; regression; baseline,no
CORP_GOS_SHAIKH_RECONCILIATION,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,exclude_from_model_input_planning_documentation_only,Potential future robustness candidate after human review.,documentation; reconciliation; candidate menu,construction; handoff; regression; baseline,no
CORP_NOS_EBIT_SHAIKH_RECONCILIATION,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,exclude_from_model_input_planning_documentation_only,"EBIT-like NOS, not corporate profit.",documentation; reconciliation; candidate menu,construction; adjusted corporate profit; pure surplus value,no
CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE,S21_variable_menu_v1,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,not_blocked_or_parked,exclude_from_model_input_planning_documentation_only,Bundle-level operating ladder check; conceptually coherent but not constructed or authorized.,documentation; reconciliation; candidate robustness design; future human review,constructed model input; baseline variable; regression regressor; pure surplus value; adjusted corporate profit; replacement for WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE,no
BUSINESS_WIDE_SHAIKH_RECONCILIATION,S21_variable_menu_v1,THEORETICALLY_MIXED_REVIEW_REQUIRED,not_blocked_or_parked,exclude_pending_theoretical_review,Commercial-capital and noncorporate labour-equivalent blur remains unresolved.,documentation,construction; handoff; baseline,no
PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE,S21_variable_menu_v1,BLOCKED_DOUBLE_COUNTING_RISK,not_blocked_or_parked,exclude_blocked,"Financial corporate components are claims/appropriation channels, not productive capital.",negative control documentation,all construction and interpretation as productive value,no
ADD_PROFITS_TO_NOS,S21_variable_menu_v1,BLOCKED_STOCK_FLOW_INCONSISTENT,not_blocked_or_parked,exclude_blocked,Violates account ladder.,negative control documentation,all construction,no
CORP_IMPUTED_INTEREST_ADJ,S21_object_admissibility_ledger,DOCUMENTATION_AND_RECONCILIATION_CANDIDATE,documentation_reconciliation_candidate,exclude_preserve_blocked_or_parked_status,Expected current status for Shaikh corporate adjustment.,audit/documentation only,construction; modeling; promotion,no
ADJUSTED_SHAIKH_CORPORATE_GVA,S21_object_admissibility_ledger,not_applicable,parked,exclude_preserve_blocked_or_parked_status,Adjusted Shaikh corporate GVA is not constructed in V1.,audit/documentation only,construction; modeling; promotion,no
ADJUSTED_SHAIKH_CORPORATE_GOS,S21_object_admissibility_ledger,not_applicable,parked,exclude_preserve_blocked_or_parked_status,Adjusted Shaikh corporate GOS is not constructed in V1.,audit/documentation only,construction; modeling; promotion,no
ADJUSTED_SHAIKH_CORPORATE_NOS,S21_object_admissibility_ledger,not_applicable,parked,exclude_preserve_blocked_or_parked_status,Adjusted Shaikh corporate NOS is not constructed in V1.,audit/documentation only,construction; modeling; promotion,no
BUSINESS_WIDE_SHAIKH_OBJECTS,S21_object_admissibility_ledger,not_applicable,theoretically_mixed,exclude_preserve_blocked_or_parked_status,Commercial capital and noncorporate boundary blur unresolved.,audit/documentation only,construction; modeling; promotion,no
OLD_APPENDIX_6_7_LINE_REPLICATION,S21_object_admissibility_ledger,not_applicable,blocked,exclude_preserve_blocked_or_parked_status,Historical line numbers cannot be mechanically reused.,audit/documentation only,construction; modeling; promotion,no
QWEN_HOUSING_PROXY_PATHS,S21_object_admissibility_ledger,not_applicable,blocked,exclude_preserve_blocked_or_parked_status,Qwen proxy paths are subordinate hypotheses and outside corporate Appendix correction.,audit/documentation only,construction; modeling; promotion,no
SHINY_APP,S21_object_admissibility_ledger,not_applicable,parked,exclude_preserve_blocked_or_parked_status,V1 is dataset release not app pass.,audit/documentation only,construction; modeling; promotion,no
POST_S20_CHAPTER2_STAGES,S21_object_admissibility_ledger,not_applicable,parked,exclude_preserve_blocked_or_parked_status,Chapter 2 stages are future downstream pass.,audit/documentation only,construction; modeling; promotion,no
ACCUMULATED_Q,S21_object_admissibility_ledger,not_applicable,parked,exclude_preserve_blocked_or_parked_status,Out of provider V1 scope.,audit/documentation only,construction; modeling; promotion,no
PRODUCTIVE_CAPACITY,S21_object_admissibility_ledger,not_applicable,parked,exclude_preserve_blocked_or_parked_status,Out of provider V1 scope.,audit/documentation only,construction; modeling; promotion,no
UTILIZATION,S21_object_admissibility_ledger,not_applicable,parked,exclude_preserve_blocked_or_parked_status,Out of provider V1 scope.,audit/documentation only,construction; modeling; promotion,no
THETA_ECONOMETRICS,S21_object_admissibility_ledger,not_applicable,parked,exclude_preserve_blocked_or_parked_status,Out of provider V1 scope.,audit/documentation only,construction; modeling; promotion,no
GPIM_RECONSTRUCTION,S21_object_admissibility_ledger,not_applicable,parked,exclude_preserve_blocked_or_parked_status,Out of provider V1 scope.,audit/documentation only,construction; modeling; promotion,no
