"protocol_item","object_family","asset_block","input_required","input_status","baseline_allowed","validation_allowed","fallback_allowed","prohibited","decision","construction_rule","reason","next_stage","notes"
"NRC_service_life_parameter","retirement_parameter","NRC","L_NRC","methodological_metadata_ready","pending_protocol_lock","TRUE","FALSE","FALSE","parameter_confirmed","Use L_NRC = 30 in the future Weibull retirement schedule.","Parameter is locked, but GPIM construction still requires price treatment.","S12D_after_price_treatment_lock",""
"NRC_weibull_shape_parameter","retirement_parameter","NRC","alpha_NRC","methodological_metadata_ready","pending_protocol_lock","TRUE","FALSE","FALSE","parameter_confirmed","Use alpha_NRC = 1.6 in the future Weibull retirement schedule.","Parameter is locked, but GPIM construction still requires price treatment.","S12D_after_price_treatment_lock",""
"ME_real_investment_price_treatment","gpim_price_treatment","ME","I_NOM_NFC_ME_DIRECT plus an admissible price rule","nominal_input_available_price_rule_unresolved","pending_protocol_lock","FALSE","FALSE","FALSE","protocol_decision_required","Do not construct real investment until one admissible treatment is selected and documented.","No same-boundary canonical asset-specific investment price index has been locked; FAAt402 is prohibited for this role.","protocol_review_before_S12D",""
"NRC_real_investment_price_treatment","gpim_price_treatment","NRC","I_NOM_NFC_NRC_DIRECT plus an admissible price rule","nominal_input_available_price_rule_unresolved","pending_protocol_lock","FALSE","FALSE","FALSE","protocol_decision_required","Do not construct real investment until one admissible treatment is selected and documented.","No same-boundary canonical asset-specific investment price index has been locked; FAAt402 is prohibited for this role.","protocol_review_before_S12D",""
"ME_price_option_A_direct_asset_specific_index","gpim_price_option","ME","locked asset-specific investment price index","not_available","FALSE","FALSE","FALSE","FALSE","not_available_or_not_locked","No construction rule is authorized.","No same-boundary canonical ME investment price index has been locked for the GPIM baseline.","protocol_review_before_S12D",""
"ME_price_option_B_FAAt402_quantity_index","gpim_price_option","ME","Q_K_BEAFIXEDASSETS_ME_VALIDATION","available_validation_only","FALSE","TRUE","FALSE","TRUE","prohibited_for_baseline","Retain only for ex post trajectory comparison.","FAAt402 is a BEA Fisher quantity-index comparison object, not a GPIM price index or GPIM product.","validation_only",""
"ME_price_option_C_output_price_deflation","gpim_price_option","ME","P_Y_NFC_GVA_IMPLICIT_SOURCE","available","pending_protocol_lock","TRUE","FALSE","FALSE","candidate_protocol_option","Candidate: deflate direct nominal investment by the same-boundary NFC output-price index after explicit common-output-unit justification.","This may provide a common-output-unit normalization but is not an asset-specific investment price.","protocol_review_before_S12D",""
"ME_price_option_D_nominal_current_cost_bookkeeping","gpim_price_option","ME","I_NOM_NFC_ME_DIRECT and current-cost validation inputs","available","pending_protocol_lock","TRUE","FALSE","FALSE","candidate_protocol_option","Candidate: preserve nominal/current-cost bookkeeping without claiming a real productive-capacity stock.","Nominal consistency does not by itself yield a real productive-capacity capital stock.","protocol_review_before_S12D",""
"NRC_price_option_A_direct_asset_specific_index","gpim_price_option","NRC","locked asset-specific investment price index","not_available","FALSE","FALSE","FALSE","FALSE","not_available_or_not_locked","No construction rule is authorized.","No same-boundary canonical NRC investment price index has been locked for the GPIM baseline.","protocol_review_before_S12D",""
"NRC_price_option_B_FAAt402_quantity_index","gpim_price_option","NRC","Q_K_BEAFIXEDASSETS_NRC_VALIDATION","available_validation_only","FALSE","TRUE","FALSE","TRUE","prohibited_for_baseline","Retain only for ex post trajectory comparison.","FAAt402 is a BEA Fisher quantity-index comparison object, not a GPIM price index or GPIM product.","validation_only",""
"NRC_price_option_C_output_price_deflation","gpim_price_option","NRC","P_Y_NFC_GVA_IMPLICIT_SOURCE","available","pending_protocol_lock","TRUE","FALSE","FALSE","candidate_protocol_option","Candidate: deflate direct nominal investment by the same-boundary NFC output-price index after explicit common-output-unit justification.","This may provide a common-output-unit normalization but is not an asset-specific investment price.","protocol_review_before_S12D",""
"NRC_price_option_D_nominal_current_cost_bookkeeping","gpim_price_option","NRC","I_NOM_NFC_NRC_DIRECT and current-cost validation inputs","available","pending_protocol_lock","TRUE","FALSE","FALSE","candidate_protocol_option","Candidate: preserve nominal/current-cost bookkeeping without claiming a real productive-capacity stock.","Nominal consistency does not by itself yield a real productive-capacity capital stock.","protocol_review_before_S12D",""
"ME_implied_investment_fallback","investment_fallback","ME","current-cost net stock, CFC, and missing ME revaluation term","revaluation_index_unavailable","FALSE","TRUE","TRUE","FALSE","fallback_only","Do not activate unless the revaluation term is valid and fallback use is explicitly approved.","Direct FAAt407 nominal investment is canonical; implied investment requires a revaluation term and remains fallback/validation only.","fallback_review_only",""
"NRC_implied_investment_fallback","investment_fallback","NRC","current-cost net stock, CFC, and missing NRC revaluation term","revaluation_index_unavailable","FALSE","TRUE","TRUE","FALSE","fallback_only","Do not activate unless the revaluation term is valid and fallback use is explicitly approved.","Direct FAAt407 nominal investment is canonical; implied investment requires a revaluation term and remains fallback/validation only.","fallback_review_only",""
"K_G_NFC_ME_GPIM_future_target","future_gpim_target","ME","direct nominal ME investment, parameters, initialization, and locked price treatment","blocked_pending_price_treatment","pending_protocol_lock","TRUE","FALSE","FALSE","future_target_not_constructed","Future Weibull GPIM recursion after the full protocol is locked.","S12C does not construct this object.","S12D_after_price_treatment_lock",""
"K_G_NFC_NRC_GPIM_future_target","future_gpim_target","NRC","direct nominal NRC investment, parameters, initialization, and locked price treatment","blocked_pending_price_treatment","pending_protocol_lock","TRUE","FALSE","FALSE","future_target_not_constructed","Future Weibull GPIM recursion after the full protocol is locked.","S12C does not construct this object.","S12D_after_price_treatment_lock",""
"K_G_NFC_KCAP_GPIM_future_target","future_gpim_target","KCAP","K_G_NFC_ME_GPIM and K_G_NFC_NRC_GPIM","blocked_pending_price_treatment","pending_protocol_lock","TRUE","FALSE","FALSE","future_target_not_constructed","Future identity: K_G_NFC_ME_GPIM + K_G_NFC_NRC_GPIM on a common real basis.","S12C does not construct this object.","S12D_after_price_treatment_lock",""
