"variable_id","display_name","construction_family","s25_object_status","constructed_observation_rows","source_dataset","source_table","source_line","s26_readiness_class","s26_planning_boundary","s26_readiness_status"
"NFC_UNDISTRIBUTED","NFC_undistributed_profits_IVA_CCAdj","income_distribution_source_inputs","authorized_observation_bearing",97,"NIPA","T11400",31,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","GOV_TRANS_highways_streets_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt703",14,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","GOV_TRANS_highways_streets_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt705",14,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","GOV_TRANS_highways_streets_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt701",14,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","GOV_TRANS_highways_streets_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt702",14,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","GOV_TRANS_transportation_structures_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt703",12,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","GOV_TRANS_transportation_structures_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt705",12,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","GOV_TRANS_transportation_structures_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt701",12,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","GOV_TRANS_transportation_structures_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt702",12,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__ME__cfc_current_cost","CORP_machinery_equipment_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt404",18,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__ME__gross_investment_current_cost","CORP_machinery_equipment_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt407",18,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__ME__net_stock_current_cost","CORP_machinery_equipment_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt401",18,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__ME__net_stock_quantity_index","CORP_machinery_equipment_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt402",18,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__NRC__cfc_current_cost","CORP_nonresidential_structures_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt404",19,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__NRC__gross_investment_current_cost","CORP_nonresidential_structures_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt407",19,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__NRC__net_stock_current_cost","CORP_nonresidential_structures_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt401",19,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__NRC__net_stock_quantity_index","CORP_nonresidential_structures_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt402",19,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__ME__cfc_current_cost","FIN_machinery_equipment_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt404",34,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__ME__gross_investment_current_cost","FIN_machinery_equipment_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt407",34,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__ME__net_stock_current_cost","FIN_machinery_equipment_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt401",34,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__ME__net_stock_quantity_index","FIN_machinery_equipment_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt402",34,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__NRC__cfc_current_cost","FIN_nonresidential_structures_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt404",35,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__NRC__gross_investment_current_cost","FIN_nonresidential_structures_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt407",35,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__NRC__net_stock_current_cost","FIN_nonresidential_structures_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt401",35,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__NRC__net_stock_quantity_index","FIN_nonresidential_structures_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt402",35,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__ME__cfc_current_cost","NFC_machinery_equipment_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt404",38,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__ME__gross_investment_current_cost","NFC_machinery_equipment_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt407",38,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__ME__net_stock_current_cost","NFC_machinery_equipment_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt401",38,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__ME__net_stock_quantity_index","NFC_machinery_equipment_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt402",38,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__NRC__cfc_current_cost","NFC_nonresidential_structures_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt404",39,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__NRC__gross_investment_current_cost","NFC_nonresidential_structures_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt407",39,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__NRC__net_stock_current_cost","NFC_nonresidential_structures_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt401",39,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__NRC__net_stock_quantity_index","NFC_nonresidential_structures_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt402",39,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt404",20,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__IPP__gross_investment_current_cost","CORP_intellectual_property_products_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt407",20,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__IPP__net_stock_current_cost","CORP_intellectual_property_products_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt401",20,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__IPP__net_stock_quantity_index","CORP_intellectual_property_products_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt402",20,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__IPP__cfc_current_cost","FIN_intellectual_property_products_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt404",36,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__IPP__gross_investment_current_cost","FIN_intellectual_property_products_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt407",36,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__IPP__net_stock_current_cost","FIN_intellectual_property_products_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt401",36,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__IPP__net_stock_quantity_index","FIN_intellectual_property_products_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt402",36,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__IPP__cfc_current_cost","NFC_intellectual_property_products_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt404",40,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__IPP__gross_investment_current_cost","NFC_intellectual_property_products_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt407",40,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__IPP__net_stock_current_cost","NFC_intellectual_property_products_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt401",40,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__IPP__net_stock_quantity_index","NFC_intellectual_property_products_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt402",40,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__TOTAL__cfc_current_cost","CORP_total_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt404",17,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__TOTAL__gross_investment_current_cost","CORP_total_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt407",17,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__TOTAL__net_stock_current_cost","CORP_total_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt401",17,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"CORP__TOTAL__net_stock_quantity_index","CORP_total_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt402",17,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__TOTAL__cfc_current_cost","FIN_total_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt404",33,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__TOTAL__gross_investment_current_cost","FIN_total_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt407",33,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__TOTAL__net_stock_current_cost","FIN_total_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt401",33,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"FIN__TOTAL__net_stock_quantity_index","FIN_total_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt402",33,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__TOTAL__cfc_current_cost","NFC_total_cfc_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt404",37,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__TOTAL__gross_investment_current_cost","NFC_total_gross_investment_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",124,"FixedAssets","FAAt407",37,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__TOTAL__net_stock_current_cost","NFC_total_net_stock_current_cost","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt401",37,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"NFC__TOTAL__net_stock_quantity_index","NFC_total_net_stock_quantity_index","fixed_assets_source_inputs","authorized_observation_bearing",100,"FixedAssets","FAAt402",37,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE","Wage Share Unadjusted Nfc Gva Baseline","provider_source_inputs_other","authorized_observation_bearing",1,"S20E_CL_CONCEPTUAL_LEDGER","S20E_CL_candidate_menu",,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"T711_L28","BankMonIntPaid_received_financial","provider_source_inputs_other","authorized_observation_bearing",79,"NIPA","T71100",28,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"T711_L4","BankMonIntPaid_paid_financial","provider_source_inputs_other","authorized_observation_bearing",79,"NIPA","T71100",4,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"T711_L44","BankMonIntPaid_paid_banks_credit_investment","provider_source_inputs_other","authorized_observation_bearing",79,"NIPA","T71100",44,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"T711_L52","BankMonIntPaid_paid_state_local","provider_source_inputs_other","authorized_observation_bearing",79,"NIPA","T71100",52,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"T711_L53","CorpNFNetImpIntPaid_line53","provider_source_inputs_other","authorized_observation_bearing",39,"NIPA","T71100",53,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"T711_L73","BankMonIntPaid_received_federal","provider_source_inputs_other","authorized_observation_bearing",79,"NIPA","T71100",73,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"T711_L74","CorpNFNetImpIntPaid_line74","provider_source_inputs_other","authorized_observation_bearing",79,"NIPA","T71100",74,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"T711_L91","BankMonIntPaid_paid_government","provider_source_inputs_other","authorized_observation_bearing",79,"NIPA","T71100",91,"future_planning_eligible_observation_bearing_source_input","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__K_N_NFC_ME_GPIM","K_N_NFC_ME_GPIM","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__K_N_NFC_NRC_GPIM","K_N_NFC_NRC_GPIM","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__P_K_NFC_ME_GPIM","P_K_NFC_ME_GPIM","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__P_K_NFC_NRC_GPIM","P_K_NFC_NRC_GPIM","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__IPP_NFC_GPIM","IPP_NFC_GPIM","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__e_adj_CORP","e_adj_CORP","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__e_adj_NFC","e_adj_NFC","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__GOV_TRANS_GPIM","GOV_TRANS_GPIM","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__K_N_NFC_KCAP_GPIM","K_N_NFC_KCAP_GPIM","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__K_G_NFC_KCAP_GPIM","K_G_NFC_KCAP_GPIM","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__K_G_NFC_ME_GPIM","K_G_NFC_ME_GPIM","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__K_G_NFC_NRC_GPIM","K_G_NFC_NRC_GPIM","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__pi_adj_NFC","pi_adj_NFC","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__omega_adj_CORP","omega_adj_CORP","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__omega_adj_NFC","omega_adj_NFC","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__pi_adj_CORP","pi_adj_CORP","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__e_x_Kcap","e_x_Kcap","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__e_x_ME","e_x_ME","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__e_x_ME_NRC_gap","e_x_ME_NRC_gap","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__e_x_NRC","e_x_NRC","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__ln_e_adj_CORP","ln_e_adj_CORP","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
"DOWNSTREAM__ln_e_adj_NFC","ln_e_adj_NFC","provider_source_inputs_other","authorized_zero_observation_metadata",0,"","",,"future_planning_metadata_reference_only","classification_only_no_derived_variable_planning_started","PASS"
