"variable_name","source_file","detected_category","allowed_role","forbidden_role","D10_status","D11_boundary_status"
"CORP__TOTAL__gross_investment_current_cost","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"CORP__TOTAL__gross_stock_current_cost","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED"
"CORP__TOTAL__net_stock_current_cost","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"CORP__TOTAL__net_stock_quantity_index","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"CORP__TOTAL__official_price_index","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"CORP_IMPUTED_INTEREST_ADJ","D10_clean_variable_dictionary.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK"
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_PROXY","D10_clean_us_source_of_truth_panel_long.csv","corporate-clean candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_GVA","D10_clean_us_source_of_truth_panel_long.csv","corporate-clean candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_NVA","D10_clean_us_source_of_truth_panel_long.csv","corporate-clean candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","D10_clean_us_source_of_truth_panel_long.csv","corporate-clean candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_GVA","D10_clean_us_source_of_truth_panel_long.csv","corporate-clean candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_NVA","D10_clean_us_source_of_truth_panel_long.csv","corporate-clean candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"D09_S_sensitivity_stocks","metadata_or_ledger","D09-S sensitivity stocks","REPORT_ONLY","baseline model-ready regressor unless explicitly authorized by D10 metadata","REPORT_ONLY_NOT_BASELINE","REPORT_ONLY"
"DELTA_G_TOT","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONDITIONAL_SECONDARY","BLOCKED_OR_PARKED"
"DLOG_G_TOT","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONDITIONAL_SECONDARY","BLOCKED_OR_PARKED"
"DLOG_N_TOT","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONDITIONAL_SECONDARY","BLOCKED_OR_PARKED"
"DOWNSTREAM__GOV_TRANS_GPIM","D10_clean_variable_dictionary.csv","government transportation","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","METADATA_REFERENCE_ONLY","BLOCKED_OR_PARKED"
"DOWNSTREAM__IPP_NFC_GPIM","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","METADATA_REFERENCE_ONLY","BLOCKED_OR_PARKED"
"FIN__IPP__cfc_current_cost","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"FIN__IPP__gross_investment_current_cost","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"FIN__IPP__gross_stock_current_cost","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED"
"FIN__IPP__net_stock_current_cost","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"FIN__IPP__net_stock_quantity_index","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"FIN__IPP__official_price_index","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"FIN__ME__official_price_index","D10_clean_variable_dictionary.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN__NRC__official_price_index","D10_clean_variable_dictionary.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN__TOTAL__cfc_current_cost","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"FIN__TOTAL__gross_investment_current_cost","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"FIN__TOTAL__gross_stock_current_cost","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED"
"FIN__TOTAL__net_stock_current_cost","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"FIN__TOTAL__net_stock_quantity_index","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"FIN__TOTAL__official_price_index","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"FIN_AFTER_TAX_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_CFC","D10_clean_variable_dictionary.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_CFC_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_COMP","D10_clean_variable_dictionary.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_COMP_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_DIVIDENDS","D10_clean_variable_dictionary.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_DIVIDENDS_NET_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_GVA","D10_clean_variable_dictionary.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_GVA_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_NET_INT","D10_clean_variable_dictionary.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_NET_INT_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_NOS","D10_clean_variable_dictionary.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_NOS_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_NOS_RESIDUAL_AFTER_MATCHED_FINANCIAL_CLAIMS","D10_clean_us_source_of_truth_panel_long.csv","corporate-clean candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_NOS_RESIDUAL_AFTER_NFC_FINANCIAL_CLAIMS","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_NVA","D10_clean_variable_dictionary.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_NVA_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_PAT_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_PBT","D10_clean_variable_dictionary.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_PBT_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_PROFITS_IVA_CC_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_TAX_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_TRANSFERS","D10_clean_variable_dictionary.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_TRANSFERS_NET_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"FIN_UNDISTRIBUTED_IMPLIED","D10_clean_us_source_of_truth_panel_long.csv","financial/imputed-interest candidates","CANDIDATE_REQUIRES_CROSSWALK","baseline model-ready regressor unless explicitly authorized by D10 metadata","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK"
"G_TOT_GPIM_2017","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","BASELINE_AUTHORIZED","BOUNDARY_LEAKAGE"
"GOV_TRANS__gross_stock_current_cost","D10_clean_variable_dictionary.csv","government transportation","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","D10_clean_variable_dictionary.csv","government transportation","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","D10_clean_variable_dictionary.csv","government transportation","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","D10_clean_variable_dictionary.csv","government transportation","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","D10_clean_variable_dictionary.csv","government transportation","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","D10_clean_variable_dictionary.csv","government transportation","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","D10_clean_variable_dictionary.csv","government transportation","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","D10_clean_variable_dictionary.csv","government transportation","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","D10_clean_variable_dictionary.csv","government transportation","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"government_transportation","metadata_or_ledger","government transportation","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_EXCLUDED_FROM_BASELINE","BLOCKED_OR_PARKED"
"GROWTH_ARITH_G_TOT","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONDITIONAL_SECONDARY","BLOCKED_OR_PARKED"
"GROWTH_ARITH_N_TOT","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONDITIONAL_SECONDARY","BLOCKED_OR_PARKED"
"I_TOT_REAL_2017","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONDITIONAL_SECONDARY","BLOCKED_OR_PARKED"
"IPP","metadata_or_ledger","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_EXCLUDED_FROM_BASELINE","BLOCKED_OR_PARKED"
"K_capacity","D10_clean_us_source_of_truth_panel_long.csv","baseline productive-origin variable","BASELINE_ADMISSIBLE","baseline model-ready regressor unless explicitly authorized by D10 metadata","BASELINE_AUTHORIZED","BASELINE_ADMISSIBLE"
"K_ME","D10_clean_us_source_of_truth_panel_long.csv","baseline productive-origin variable","BASELINE_ADMISSIBLE","baseline model-ready regressor unless explicitly authorized by D10 metadata","BASELINE_AUTHORIZED","BASELINE_ADMISSIBLE"
"K_NRC","D10_clean_us_source_of_truth_panel_long.csv","baseline productive-origin variable","BASELINE_ADMISSIBLE","baseline model-ready regressor unless explicitly authorized by D10 metadata","BASELINE_AUTHORIZED","BASELINE_ADMISSIBLE"
"L1_DLOG_G_TOT","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONDITIONAL_SECONDARY","BLOCKED_OR_PARKED"
"L1_DLOG_N_TOT","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONDITIONAL_SECONDARY","BLOCKED_OR_PARKED"
"L1_LOG_G_TOT","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONDITIONAL_SECONDARY","BLOCKED_OR_PARKED"
"L1_LOG_N_TOT","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONDITIONAL_SECONDARY","BLOCKED_OR_PARKED"
"LOG_G_TOT_GPIM_2017","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","BASELINE_AUTHORIZED","BOUNDARY_LEAKAGE"
"LOG_I_TOT_REAL_2017","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONDITIONAL_SECONDARY","BLOCKED_OR_PARKED"
"LOG_N_TOT_GPIM_2017","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","ROBUSTNESS_AUTHORIZED","BLOCKED_OR_PARKED"
"N_TOT_GPIM_2017","D10_clean_us_source_of_truth_panel_long.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","ROBUSTNESS_AUTHORIZED","BLOCKED_OR_PARKED"
"NFC__IPP__cfc_current_cost","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"NFC__IPP__gross_investment_current_cost","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"NFC__IPP__gross_stock_current_cost","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED"
"NFC__IPP__net_stock_current_cost","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"NFC__IPP__net_stock_quantity_index","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","CONTEXTUAL_AUTHORIZED","BLOCKED_OR_PARKED"
"NFC__IPP__official_price_index","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"NFC__IPP__retirements","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED"
"NFC__IPP__revaluation_holding_gains","D10_clean_variable_dictionary.csv","IPP","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED"
"NFC__TOTAL__cfc_current_cost","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"NFC__TOTAL__gross_investment_current_cost","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","DIAGNOSTIC_ONLY","BLOCKED_OR_PARKED"
"NFC__TOTAL__gross_stock_current_cost","D10_clean_variable_dictionary.csv","total capital","BLOCKED_OR_PARKED","baseline model-ready regressor unless explicitly authorized by D10 metadata","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED"
