"variable_name","raw_value_domain","log_admissible","differencing_admissible","lagging_preserves_enough_observations","transformation_requires_new_theoretical_authorization","D11_transformation_status"
"FIN__TOTAL__gross_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__TOTAL__net_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__TOTAL__net_stock_quantity_index","unknown","no","no","no","yes","METADATA_ONLY"
"FIN__TOTAL__official_price_index","unknown","no","no","no","yes","METADATA_ONLY"
"FIN_AFTER_TAX_IMPLIED","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_CFC","unknown","no","no","no","yes","METADATA_ONLY"
"FIN_CFC_IMPLIED","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_COMP","unknown","no","no","no","yes","METADATA_ONLY"
"FIN_COMP_IMPLIED","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_DIVIDENDS","unknown","no","no","no","yes","METADATA_ONLY"
"FIN_DIVIDENDS_NET_IMPLIED","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_GVA","unknown","no","no","no","yes","METADATA_ONLY"
"FIN_GVA_IMPLIED","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_NET_INT","unknown","no","no","no","yes","METADATA_ONLY"
"FIN_NET_INT_IMPLIED","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_NOS","unknown","no","no","no","yes","METADATA_ONLY"
"FIN_NOS_IMPLIED","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_NOS_RESIDUAL_AFTER_MATCHED_FINANCIAL_CLAIMS","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_NOS_RESIDUAL_AFTER_NFC_FINANCIAL_CLAIMS","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_NVA","unknown","no","no","no","yes","METADATA_ONLY"
"FIN_NVA_IMPLIED","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_PAT_IMPLIED","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_PBT","unknown","no","no","no","yes","METADATA_ONLY"
"FIN_PBT_IMPLIED","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_PROFITS_IVA_CC_IMPLIED","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_TAX_IMPLIED","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_TRANSFERS","unknown","no","no","no","yes","METADATA_ONLY"
"FIN_TRANSFERS_NET_IMPLIED","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"FIN_UNDISTRIBUTED_IMPLIED","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"G_TOT_GPIM_2017","positive","yes","yes","yes","no","READY_FOR_LEVEL_USE"
"GOV_TRANS__gross_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","unknown","no","no","no","no","METADATA_ONLY"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","unknown","no","no","no","no","METADATA_ONLY"
"government_transportation","unknown","no","no","no","yes","METADATA_ONLY"
"GPIM_RECONSTRUCTION","unknown","no","no","no","yes","METADATA_ONLY"
"GROWTH_ARITH_G_TOT","signed","no","yes","yes","no","READY_FOR_DIFFERENCE_ONLY"
"GROWTH_ARITH_N_TOT","signed","no","yes","yes","no","READY_FOR_DIFFERENCE_ONLY"
"I_TOT_REAL_2017","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
"INVENTORIES_MENU","unknown","no","no","no","no","METADATA_ONLY"
"IPP","unknown","no","no","no","yes","METADATA_ONLY"
"K_capacity","positive","yes","yes","yes","no","READY_FOR_LEVEL_USE"
"K_ME","positive","yes","yes","yes","no","READY_FOR_LEVEL_USE"
"K_NRC","positive","yes","yes","yes","no","READY_FOR_LEVEL_USE"
"L1_DLOG_G_TOT","signed","no","yes","yes","no","READY_FOR_DIFFERENCE_ONLY"
"L1_DLOG_N_TOT","signed","no","yes","yes","no","READY_FOR_DIFFERENCE_ONLY"
"L1_LOG_G_TOT","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
"L1_LOG_N_TOT","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
"LOG_G_TOT_GPIM_2017","positive","yes","yes","yes","no","READY_FOR_LEVEL_USE"
"LOG_I_TOT_REAL_2017","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
"LOG_N_TOT_GPIM_2017","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
"N_TOT_GPIM_2017","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
"NFC__current_transfer_payments","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__current_transfer_receipts","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__dividends_paid","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__dividends_received","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__IPP__cfc_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"NFC__IPP__gross_investment_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"NFC__IPP__gross_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__IPP__net_stock_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"NFC__IPP__net_stock_quantity_index","unknown","no","no","no","no","METADATA_ONLY"
"NFC__IPP__official_price_index","unknown","no","no","no","no","METADATA_ONLY"
"NFC__IPP__retirements","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__IPP__revaluation_holding_gains","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__ME__gross_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__ME__official_price_index","unknown","no","no","no","no","METADATA_ONLY"
"NFC__ME__retirements","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__ME__revaluation_holding_gains","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__NRC__gross_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__NRC__official_price_index","unknown","no","no","no","no","METADATA_ONLY"
"NFC__NRC__retirements","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__NRC__revaluation_holding_gains","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__TOTAL__cfc_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"NFC__TOTAL__gross_investment_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"NFC__TOTAL__gross_stock_current_cost","unknown","no","no","no","yes","METADATA_ONLY"
"NFC__TOTAL__net_stock_current_cost","unknown","no","no","no","no","METADATA_ONLY"
"NFC__TOTAL__net_stock_quantity_index","unknown","no","no","no","no","METADATA_ONLY"
"NFC__TOTAL__official_price_index","unknown","no","no","no","no","METADATA_ONLY"
"NFC_COMPENSATION_SHARE_GVA","positive","yes","yes","yes","no","READY_FOR_RATIO_OR_SHARE_USE"
"NFC_COMPENSATION_SHARE_NVA","positive","yes","yes","yes","no","READY_FOR_RATIO_OR_SHARE_USE"
"NFC_FINANCIAL_CLAIMS_BURDEN_NOS","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"NFC_FINANCIAL_CLAIMS_BURDEN_NVA","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"NFC_NET_INTEREST_MISC_PAYMENTS_PROXY","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","positive","yes","yes","yes","no","READY_FOR_RATIO_OR_SHARE_USE"
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","positive","yes","yes","yes","no","READY_FOR_RATIO_OR_SHARE_USE"
"NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_GVA","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_NVA","signed","no","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"OLD_APPENDIX_6_7_LINE_REPLICATION","unknown","no","no","no","yes","METADATA_ONLY"
"omega_CORP_raw_GVA","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"omega_CORP_raw_NVA","positive","yes","yes","yes","yes","TRANSFORMATION_REQUIRES_THEORETICAL_DECISION"
"omega_NFC_productive_origin_GVA","positive","yes","yes","yes","no","READY_FOR_LEVEL_USE"
"pi_NFC_productive_origin_GVA","positive","yes","yes","yes","no","READY_FOR_LEVEL_USE"
"POST_S20_CHAPTER2_STAGES","unknown","no","no","no","yes","METADATA_ONLY"
"PRODUCTIVE_CAPACITY","unknown","no","no","no","yes","METADATA_ONLY"
"PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE","unknown","no","no","no","yes","METADATA_ONLY"
"q_omega","unknown","no","no","no","yes","METADATA_ONLY"
"q_omega_family_columns","unknown","no","no","no","yes","METADATA_ONLY"
"QWEN_HOUSING_PROXY_PATHS","unknown","no","no","no","yes","METADATA_ONLY"
"residential_capital","unknown","no","no","no","yes","METADATA_ONLY"
"RESIDENTIAL_CAPITAL_MENU","unknown","no","no","no","no","METADATA_ONLY"
"SHINY_APP","unknown","no","no","no","yes","METADATA_ONLY"
"T711_L28","unknown","no","no","no","no","METADATA_ONLY"
"T711_L4","unknown","no","no","no","no","METADATA_ONLY"
"T711_L44","unknown","no","no","no","no","METADATA_ONLY"
"T711_L52","unknown","no","no","no","no","METADATA_ONLY"
"T711_L53","unknown","no","no","no","no","METADATA_ONLY"
"T711_L73","unknown","no","no","no","no","METADATA_ONLY"
"T711_L74","unknown","no","no","no","no","METADATA_ONLY"
"T711_L91","unknown","no","no","no","no","METADATA_ONLY"
"THETA_ECONOMETRICS","unknown","no","no","no","yes","METADATA_ONLY"
"total_capital","unknown","no","no","no","yes","METADATA_ONLY"
"total_fixed_assets","unknown","no","no","no","yes","METADATA_ONLY"
"UTILIZATION","unknown","no","no","no","yes","METADATA_ONLY"
"WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE","unknown","no","no","no","no","METADATA_ONLY"
"y_real_nfc_gva_baseline","positive","yes","yes","yes","no","READY_FOR_LEVEL_USE"
"Y_REAL_NFC_GVA_BASELINE","positive","yes","yes","yes","no","READY_FOR_LEVEL_USE"
"Y_REAL_NFC_GVA_BASELINE_D09","positive","yes","yes","yes","no","READY_FOR_LEVEL_USE"
"y_real_nfc_gva_proxy_business_output","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
"y_real_nfc_gva_proxy_gdp_implicit","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","positive","yes","yes","yes","no","TRANSFORMATION_BLOCKED_BY_MISSINGNESS"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","positive","yes","yes","yes","no","TRANSFORMATION_BLOCKED_BY_MISSINGNESS"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","positive","yes","yes","yes","no","TRANSFORMATION_BLOCKED_BY_MISSINGNESS"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","positive","yes","yes","yes","no","TRANSFORMATION_BLOCKED_BY_MISSINGNESS"
"y_real_nfc_gva_proxy_nonfarm_business_output","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","positive","yes","yes","yes","no","READY_FOR_LOG_LEVEL"
