"variable_name","variable_group","first_available_year","last_available_year","non_missing_observations","longest_contiguous_non_missing_span","number_of_gaps","gap_years","D11_window_status"
"CORP__IPP__revaluation_holding_gains","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__ME__gross_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__ME__official_price_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__ME__retirements","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__ME__revaluation_holding_gains","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__NRC__gross_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__NRC__official_price_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__NRC__retirements","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__NRC__revaluation_holding_gains","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__TOTAL__cfc_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__TOTAL__gross_investment_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__TOTAL__gross_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__TOTAL__net_stock_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__TOTAL__net_stock_quantity_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP__TOTAL__official_price_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP_GOS_SHAIKH_RECONCILIATION","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP_GVA_SHAIKH_RECONCILIATION","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP_IMPUTED_INTEREST_ADJ","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","distribution",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","distribution",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"CORP_NOS_EBIT_SHAIKH_RECONCILIATION","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_PROXY","corporate_clean_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_GVA","corporate_clean_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_NVA","corporate_clean_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","corporate_clean_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_GVA","corporate_clean_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_NVA","corporate_clean_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"D09_S_sensitivity_stocks","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DELTA_G_TOT","capital",1902,2024,123,123,0,"","FULLY_USABLE_FOR_REVIEW"
"DLOG_G_TOT","capital",1902,2024,123,123,0,"","FULLY_USABLE_FOR_REVIEW"
"DLOG_N_TOT","capital",1902,2024,123,123,0,"","FULLY_USABLE_FOR_REVIEW"
"DOWNSTREAM__e_adj_CORP","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__e_adj_NFC","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__e_x_Kcap","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__e_x_ME","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__e_x_ME_NRC_gap","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__e_x_NRC","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__GOV_TRANS_GPIM","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__IPP_NFC_GPIM","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__K_G_NFC_KCAP_GPIM","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__K_G_NFC_ME_GPIM","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__K_G_NFC_NRC_GPIM","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__K_N_NFC_KCAP_GPIM","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__K_N_NFC_ME_GPIM","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__K_N_NFC_NRC_GPIM","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__ln_e_adj_CORP","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__ln_e_adj_NFC","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__omega_adj_CORP","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__omega_adj_NFC","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__P_K_NFC_ME_GPIM","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__P_K_NFC_NRC_GPIM","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__pi_adj_CORP","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"DOWNSTREAM__pi_adj_NFC","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__current_transfer_payments","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__current_transfer_receipts","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__dividends_paid","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__dividends_received","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__IPP__cfc_current_cost","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__IPP__gross_investment_current_cost","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__IPP__gross_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__IPP__net_stock_current_cost","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__IPP__net_stock_quantity_index","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__IPP__official_price_index","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__ME__cfc_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__ME__gross_investment_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__ME__gross_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__ME__net_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__ME__net_stock_quantity_index","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__ME__official_price_index","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__NRC__cfc_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__NRC__gross_investment_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__NRC__gross_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__NRC__net_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__NRC__net_stock_quantity_index","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__NRC__official_price_index","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__TOTAL__cfc_current_cost","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__TOTAL__gross_investment_current_cost","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__TOTAL__gross_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__TOTAL__net_stock_current_cost","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__TOTAL__net_stock_quantity_index","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN__TOTAL__official_price_index","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN_AFTER_TAX_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_CFC","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN_CFC_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_COMP","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN_COMP_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_DIVIDENDS","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN_DIVIDENDS_NET_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_GVA","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN_GVA_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_NET_INT","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN_NET_INT_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_NOS","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN_NOS_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_NOS_RESIDUAL_AFTER_MATCHED_FINANCIAL_CLAIMS","corporate_clean_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_NOS_RESIDUAL_AFTER_NFC_FINANCIAL_CLAIMS","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_NVA","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN_NVA_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_PAT_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_PBT","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN_PBT_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_PROFITS_IVA_CC_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_TAX_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_TRANSFERS","financial_imputed_interest_candidate",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"FIN_TRANSFERS_NET_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"FIN_UNDISTRIBUTED_IMPLIED","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"G_TOT_GPIM_2017","nfc_productive_origin_baseline",1901,2024,124,124,0,"","FULLY_USABLE_FOR_REVIEW"
"GOV_TRANS__gross_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"government_transportation","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"GPIM_RECONSTRUCTION","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"GROWTH_ARITH_G_TOT","capital",1902,2024,123,123,0,"","FULLY_USABLE_FOR_REVIEW"
"GROWTH_ARITH_N_TOT","capital",1902,2024,123,123,0,"","FULLY_USABLE_FOR_REVIEW"
"I_TOT_REAL_2017","capital",1901,2024,124,124,0,"","FULLY_USABLE_FOR_REVIEW"
"INVENTORIES_MENU","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"IPP","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"K_capacity","nfc_productive_origin_baseline",1931,2024,94,94,0,"","FULLY_USABLE_FOR_REVIEW"
"K_ME","nfc_productive_origin_baseline",1931,2024,94,94,0,"","FULLY_USABLE_FOR_REVIEW"
"K_NRC","nfc_productive_origin_baseline",1931,2024,94,94,0,"","FULLY_USABLE_FOR_REVIEW"
"L1_DLOG_G_TOT","capital",1903,2024,122,122,0,"","FULLY_USABLE_FOR_REVIEW"
"L1_DLOG_N_TOT","capital",1903,2024,122,122,0,"","FULLY_USABLE_FOR_REVIEW"
"L1_LOG_G_TOT","capital",1902,2024,123,123,0,"","FULLY_USABLE_FOR_REVIEW"
"L1_LOG_N_TOT","capital",1902,2024,123,123,0,"","FULLY_USABLE_FOR_REVIEW"
"LOG_G_TOT_GPIM_2017","nfc_productive_origin_baseline",1901,2024,124,124,0,"","FULLY_USABLE_FOR_REVIEW"
"LOG_I_TOT_REAL_2017","capital",1901,2024,124,124,0,"","FULLY_USABLE_FOR_REVIEW"
"LOG_N_TOT_GPIM_2017","capital",1901,2024,124,124,0,"","FULLY_USABLE_FOR_REVIEW"
"N_TOT_GPIM_2017","capital",1901,2024,124,124,0,"","FULLY_USABLE_FOR_REVIEW"
"NFC__current_transfer_payments","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__current_transfer_receipts","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__dividends_paid","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__dividends_received","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__IPP__cfc_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__IPP__gross_investment_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__IPP__gross_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__IPP__net_stock_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__IPP__net_stock_quantity_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__IPP__official_price_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__IPP__retirements","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__IPP__revaluation_holding_gains","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__ME__gross_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__ME__official_price_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__ME__retirements","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__ME__revaluation_holding_gains","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__NRC__gross_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__NRC__official_price_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__NRC__retirements","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__NRC__revaluation_holding_gains","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__TOTAL__cfc_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__TOTAL__gross_investment_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__TOTAL__gross_stock_current_cost","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__TOTAL__net_stock_current_cost","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__TOTAL__net_stock_quantity_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC__TOTAL__official_price_index","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"NFC_COMPENSATION_SHARE_GVA","nfc_productive_origin_baseline",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"NFC_COMPENSATION_SHARE_NVA","distribution",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"NFC_FINANCIAL_CLAIMS_BURDEN_NOS","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"NFC_FINANCIAL_CLAIMS_BURDEN_NVA","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"NFC_NET_INTEREST_MISC_PAYMENTS_PROXY","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","distribution",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","distribution",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_GVA","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_NVA","financial_imputed_interest_candidate",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"OLD_APPENDIX_6_7_LINE_REPLICATION","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"omega_CORP_raw_GVA","raw_corporate_comparison",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"omega_CORP_raw_NVA","raw_corporate_comparison",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"omega_NFC_productive_origin_GVA","nfc_productive_origin_baseline",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"pi_NFC_productive_origin_GVA","nfc_productive_origin_baseline",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"POST_S20_CHAPTER2_STAGES","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"PRODUCTIVE_CAPACITY","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"PRODUCTIVE_SURPLUS_VALUE_CORP_WHOLE","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"q_omega","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"q_omega_family_columns","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"QWEN_HOUSING_PROXY_PATHS","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"residential_capital","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"RESIDENTIAL_CAPITAL_MENU","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"SHINY_APP","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"T711_L28","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"T711_L4","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"T711_L44","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"T711_L52","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"T711_L53","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"T711_L73","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"T711_L74","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"T711_L91","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"THETA_ECONOMETRICS","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"total_capital","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"total_fixed_assets","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"UTILIZATION","blocked_or_parked",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE","contextual",,,0,0,0,"","METADATA_ONLY_NO_WINDOW"
"y_real_nfc_gva_baseline","nfc_productive_origin_baseline",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"Y_REAL_NFC_GVA_BASELINE","nfc_productive_origin_baseline",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"Y_REAL_NFC_GVA_BASELINE_D09","nfc_productive_origin_baseline",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"y_real_nfc_gva_proxy_business_output","output",1947,2025,79,79,0,"","FULLY_USABLE_FOR_REVIEW"
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","output",1947,2025,79,79,0,"","FULLY_USABLE_FOR_REVIEW"
"y_real_nfc_gva_proxy_gdp_implicit","output",1929,2024,96,96,0,"","FULLY_USABLE_FOR_REVIEW"
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","output",1929,2024,96,96,0,"","FULLY_USABLE_FOR_REVIEW"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","output",1997,2025,29,29,0,"","SHORT_WINDOW_REQUIRES_CAUTION"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","output",1997,2025,29,29,0,"","SHORT_WINDOW_REQUIRES_CAUTION"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","output",1997,2025,29,29,0,"","SHORT_WINDOW_REQUIRES_CAUTION"
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","output",1997,2025,29,29,0,"","SHORT_WINDOW_REQUIRES_CAUTION"
"y_real_nfc_gva_proxy_nonfarm_business_output","output",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","output",1929,2025,97,97,0,"","FULLY_USABLE_FOR_REVIEW"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls","output",1947,2025,79,79,0,"","FULLY_USABLE_FOR_REVIEW"
