"variable_name","accounting_layer","D10_status","D11_role","reason","can_enter_D12_baseline_design","can_enter_D12_robustness_design","excluded_from_estimation","required_reconciliation"
"CORP__NRC__official_price_index","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP__NRC__retirements","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__NRC__revaluation_holding_gains","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__TOTAL__cfc_current_cost","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP__TOTAL__gross_investment_current_cost","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP__TOTAL__gross_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"CORP__TOTAL__net_stock_current_cost","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP__TOTAL__net_stock_quantity_index","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP__TOTAL__official_price_index","contextual","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP_GOS_SHAIKH_RECONCILIATION","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP_GVA_SHAIKH_RECONCILIATION","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP_IMPUTED_INTEREST_ADJ","financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","distribution","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","distribution","DIAGNOSTIC_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP_NOS_EBIT_SHAIKH_RECONCILIATION","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_PROXY","corporate_clean_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Corporate-clean candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_GVA","corporate_clean_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Corporate-clean candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_NVA","corporate_clean_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Corporate-clean candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","corporate_clean_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Corporate-clean candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_GVA","corporate_clean_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Corporate-clean candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_NVA","corporate_clean_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Corporate-clean candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"CORP_SHAIKH_OPERATING_LADDER_RECONCILIATION_BUNDLE","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"D09_S_sensitivity_stocks","blocked_or_parked","REPORT_ONLY_NOT_BASELINE","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"DELTA_G_TOT","capital","CONDITIONAL_SECONDARY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DLOG_G_TOT","capital","CONDITIONAL_SECONDARY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DLOG_N_TOT","capital","CONDITIONAL_SECONDARY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__e_adj_CORP","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__e_adj_NFC","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__e_x_Kcap","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__e_x_ME","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__e_x_ME_NRC_gap","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__e_x_NRC","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__GOV_TRANS_GPIM","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__IPP_NFC_GPIM","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__K_G_NFC_KCAP_GPIM","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__K_G_NFC_ME_GPIM","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__K_G_NFC_NRC_GPIM","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__K_N_NFC_KCAP_GPIM","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__K_N_NFC_ME_GPIM","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__K_N_NFC_NRC_GPIM","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__ln_e_adj_CORP","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__ln_e_adj_NFC","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__omega_adj_CORP","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__omega_adj_NFC","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__P_K_NFC_ME_GPIM","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__P_K_NFC_NRC_GPIM","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__pi_adj_CORP","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"DOWNSTREAM__pi_adj_NFC","contextual","METADATA_REFERENCE_ONLY","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"FIN__current_transfer_payments","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__current_transfer_receipts","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__dividends_paid","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__dividends_received","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__IPP__cfc_current_cost","financial_imputed_interest_candidate","CONTEXTUAL_AUTHORIZED","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN__IPP__gross_investment_current_cost","financial_imputed_interest_candidate","CONTEXTUAL_AUTHORIZED","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN__IPP__gross_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__IPP__net_stock_current_cost","financial_imputed_interest_candidate","CONTEXTUAL_AUTHORIZED","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN__IPP__net_stock_quantity_index","financial_imputed_interest_candidate","CONTEXTUAL_AUTHORIZED","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN__IPP__official_price_index","financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN__ME__cfc_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__ME__gross_investment_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__ME__gross_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__ME__net_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__ME__net_stock_quantity_index","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__ME__official_price_index","financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN__NRC__cfc_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__NRC__gross_investment_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__NRC__gross_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__NRC__net_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__NRC__net_stock_quantity_index","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__NRC__official_price_index","financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN__TOTAL__cfc_current_cost","financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN__TOTAL__gross_investment_current_cost","financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN__TOTAL__gross_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"FIN__TOTAL__net_stock_current_cost","financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN__TOTAL__net_stock_quantity_index","financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN__TOTAL__official_price_index","financial_imputed_interest_candidate","DIAGNOSTIC_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_AFTER_TAX_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_CFC","financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_CFC_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_COMP","financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_COMP_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_DIVIDENDS","financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_DIVIDENDS_NET_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_GVA","financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_GVA_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_NET_INT","financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_NET_INT_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_NOS","financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_NOS_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_NOS_RESIDUAL_AFTER_MATCHED_FINANCIAL_CLAIMS","corporate_clean_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Corporate-clean candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_NOS_RESIDUAL_AFTER_NFC_FINANCIAL_CLAIMS","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_NVA","financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_NVA_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_PAT_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_PBT","financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_PBT_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_PROFITS_IVA_CC_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_TAX_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_TRANSFERS","financial_imputed_interest_candidate","METADATA_REFERENCE_ONLY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_TRANSFERS_NET_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"FIN_UNDISTRIBUTED_IMPLIED","financial_imputed_interest_candidate","CANDIDATE_ADJUSTMENT_REQUIRES_CROSSWALK; NOT_MODEL_READY","CANDIDATE_REQUIRES_CROSSWALK","Financial/imputed-interest candidate remains not model-ready.","no","no","yes","Explicit crosswalk decision required."
"G_TOT_GPIM_2017","nfc_productive_origin_baseline","BASELINE_AUTHORIZED","BASELINE_CONTROL_CANDIDATE","D10 baseline-authorized support variable.","yes","no","no",""
"GOV_TRANS__gross_stock_current_cost","blocked_or_parked","PARKED_FOR_FUTURE_RESEARCH","BLOCKED_OR_PARKED","Blocked or parked in D10.","no","no","yes",""
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","contextual","CONTEXTUAL_AUTHORIZED","EXCLUDED_FROM_MODEL_MENU","Metadata or contextual object not authorized for D12 baseline menu.","no","no","yes",""
