"target_variable","object_family","construction_stage","required_inputs","input_source_files","provider_variable_ids","price_object_used","baseline_or_robustness","construction_formula","allowed_status","blocked_reason","validation_rule","downstream_stage_owner","notes"
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","real_output_proxy","S12_real_output_robustness","NFC current-dollar GVA and P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md; output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","gva_current_nfc","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","robustness","100 * gva_current_nfc / P_Y_PROXY_NONFARM_BUSINESS_OUTPUT after frequency, unit, and index-base harmonization","robustness_planned","Proxy observations are not included in the provider handoff bundle.","Compare only with Y_REAL_NFC_GVA_BASELINE; retain the P_Y_PROXY source name and boundary limitation.","S12_source_of_truth","Robustness-only real-output variant; never relabel as CORP or FC real GVA."
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","real_output_proxy","S12_real_output_robustness","NFC current-dollar GVA and P_Y_PROXY_BUSINESS_OUTPUT","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md; output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","gva_current_nfc","P_Y_PROXY_BUSINESS_OUTPUT","robustness","100 * gva_current_nfc / P_Y_PROXY_BUSINESS_OUTPUT after frequency, unit, and index-base harmonization","robustness_planned","Proxy observations are not included in the provider handoff bundle.","Compare only with Y_REAL_NFC_GVA_BASELINE; retain the P_Y_PROXY source name and boundary limitation.","S12_source_of_truth","Robustness-only real-output variant; never relabel as CORP or FC real GVA."
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","real_output_proxy","S12_real_output_robustness","NFC current-dollar GVA and P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md; output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","gva_current_nfc","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","robustness","100 * gva_current_nfc / P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS after frequency, unit, and index-base harmonization","robustness_planned","Proxy observations are not included in the provider handoff bundle.","Compare only with Y_REAL_NFC_GVA_BASELINE; retain the P_Y_PROXY source name and boundary limitation.","S12_source_of_truth","Robustness-only real-output variant; never relabel as CORP or FC real GVA."
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","real_output_proxy","S12_real_output_robustness","NFC current-dollar GVA and P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md; output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","gva_current_nfc","P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","robustness","100 * gva_current_nfc / P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE after frequency, unit, and index-base harmonization","robustness_planned","Proxy observations are not included in the provider handoff bundle.","Compare only with Y_REAL_NFC_GVA_BASELINE; retain the P_Y_PROXY source name and boundary limitation.","S12_source_of_truth","Robustness-only real-output variant; never relabel as CORP or FC real GVA."
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","real_output_proxy","S12_real_output_robustness","NFC current-dollar GVA and P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md; output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","gva_current_nfc","P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","robustness","100 * gva_current_nfc / P_Y_PROXY_GDPBYIND_VA_MANUFACTURING after frequency, unit, and index-base harmonization","robustness_planned","Proxy observations are not included in the provider handoff bundle.","Compare only with Y_REAL_NFC_GVA_BASELINE; retain the P_Y_PROXY source name and boundary limitation.","S12_source_of_truth","Robustness-only real-output variant; never relabel as CORP or FC real GVA."
"I_NOM_NFC_ME_DIRECT","capital_investment_input","S12_capital_input_staging","me_investment_current_dollar_nfc","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","me_investment_current_dollar_nfc","","baseline_input","Import direct FAAt407 NFC equipment current-dollar investment.","source_input_ready","Observation payload is not included in the provider handoff bundle.","Match FAAt407 line 38 and preserve nominal millions-of-dollars units.","S12_source_of_truth","Canonical ME investment input."
"I_NOM_NFC_NRC_DIRECT","capital_investment_input","S12_capital_input_staging","nrc_investment_current_dollar_nfc","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","nrc_investment_current_dollar_nfc","","baseline_input","Import direct FAAt407 NFC structures current-dollar investment.","source_input_ready","Observation payload is not included in the provider handoff bundle.","Match FAAt407 line 39 and preserve nominal millions-of-dollars units.","S12_source_of_truth","Canonical NRC investment input."
"K_NET_CC_NFC_ME_VALIDATION","capital_stock_validation_input","S12_capital_input_staging","me_netstock_current_cost_nfc","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","me_netstock_current_cost_nfc","","validation","Import FAAt401 NFC equipment current-cost net stock for validation only.","validation_ready","Observation payload is not included in the provider handoff bundle.","Use only to validate scale and trajectory of downstream ME capital.","S12_source_of_truth","Not a GPIM gross-stock product."
"K_NET_CC_NFC_NRC_VALIDATION","capital_stock_validation_input","S12_capital_input_staging","nrc_netstock_current_cost_nfc","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","nrc_netstock_current_cost_nfc","","validation","Import FAAt401 NFC structures current-cost net stock for validation only.","validation_ready","Observation payload is not included in the provider handoff bundle.","Use only to validate scale and trajectory of downstream NRC capital.","S12_source_of_truth","Not a GPIM gross-stock product."
"CFC_CC_NFC_ME_INPUT","capital_depreciation_input","S12_capital_input_staging","me_cfc_nfc","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","me_cfc_nfc","","baseline_input","Import FAAt404 NFC equipment current-cost depreciation.","diagnostic_ready","Observation payload is not included in the provider handoff bundle.","Match FAAt404 line 38; do not infer real investment by residual.","S12_source_of_truth","Fallback and validation ingredient."
"CFC_CC_NFC_NRC_INPUT","capital_depreciation_input","S12_capital_input_staging","nrc_cfc_nfc","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","nrc_cfc_nfc","","baseline_input","Import FAAt404 NFC structures current-cost depreciation.","diagnostic_ready","Observation payload is not included in the provider handoff bundle.","Match FAAt404 line 39; do not infer real investment by residual.","S12_source_of_truth","Fallback and validation ingredient."
"Q_K_BEAFIXEDASSETS_ME_VALIDATION","capital_quantity_validation_input","S12_capital_input_staging","me_price_or_qindex","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","me_price_or_qindex","","validation","Import the FAAt402 ME Fisher quantity index for comparison only.","validation_only","Observation payload is not included in the provider handoff bundle.","Compare trajectories only; do not use as a price, revaluation index, GPIM input, or GPIM output.","S12_source_of_truth","FAAt402 baseline use is prohibited."
"Q_K_BEAFIXEDASSETS_NRC_VALIDATION","capital_quantity_validation_input","S12_capital_input_staging","nrc_price_or_qindex","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","nrc_price_or_qindex","","validation","Import the FAAt402 NRC Fisher quantity index for comparison only.","validation_only","Observation payload is not included in the provider handoff bundle.","Compare trajectories only; do not use as a price, revaluation index, GPIM input, or GPIM output.","S12_source_of_truth","FAAt402 baseline use is prohibited."
"K_G_NFC_ME_GPIM","gpim_gross_capital","S12_GPIM_construction_plan","me_investment_current_dollar_nfc; me_cfc_nfc; alpha_ME; L_ME","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","me_investment_current_dollar_nfc; me_cfc_nfc; alpha_ME; L_ME","","baseline","Apply the downstream-approved ME GPIM recursion using direct nominal ME investment and approved ME price, survival, depreciation, and initialization rules.","protocol_definition_required","Exact GPIM initialization and admissible capital-price treatment remain downstream protocol work; FAAt402 cannot fill that role.","Validate separately against FAAt401 current-cost stocks and FAAt402 quantity-index trajectories without promoting either to the GPIM baseline.","S12_source_of_truth","Registered only; no GPIM stock is constructed by this scaffold."
"K_G_NFC_NRC_GPIM","gpim_gross_capital","S12_GPIM_construction_plan","nrc_investment_current_dollar_nfc; nrc_cfc_nfc; alpha_NRC; L_NRC","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","nrc_investment_current_dollar_nfc; nrc_cfc_nfc; alpha_NRC; L_NRC","","baseline","Apply the downstream-approved NRC GPIM recursion using direct nominal NRC investment and approved NRC price, survival, depreciation, and initialization rules.","protocol_definition_required","Exact GPIM initialization and admissible capital-price treatment remain downstream protocol work; FAAt402 cannot fill that role.","Validate separately against FAAt401 current-cost stocks and FAAt402 quantity-index trajectories without promoting either to the GPIM baseline.","S12_source_of_truth","Registered only; no GPIM stock is constructed by this scaffold."
"K_G_NFC_KCAP_GPIM","gpim_gross_capital","S12_GPIM_construction_plan","K_G_NFC_ME_GPIM; K_G_NFC_NRC_GPIM","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","K_G_NFC_ME_GPIM; K_G_NFC_NRC_GPIM","","baseline","K_G_NFC_ME_GPIM + K_G_NFC_NRC_GPIM after confirming common real-price basis.","protocol_definition_required","Exact GPIM initialization and admissible capital-price treatment remain downstream protocol work; FAAt402 cannot fill that role.","Validate separately against FAAt401 current-cost stocks and FAAt402 quantity-index trajectories without promoting either to the GPIM baseline.","S12_source_of_truth","Registered only; no GPIM stock is constructed by this scaffold."
"omega_NFC","distribution_placeholder","S12_distribution_plan","comp_emp_nfc; gva_current_nfc","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","comp_emp_nfc; gva_current_nfc","","baseline","comp_emp_nfc / gva_current_nfc after matching frequency, units, and NFC boundary","baseline_allowed_not_constructed","Observation payload is not included in the provider handoff bundle.","Require 0 <= omega_NFC <= 1 where both inputs are positive.","S12_source_of_truth","Unadjusted wage share is allowed as the first-pass baseline."
"omega_CORP","distribution_placeholder","S12_distribution_plan","comp_emp_corp; gva_current_corp","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md","comp_emp_corp; gva_current_corp","","baseline","comp_emp_corp / gva_current_corp after matching frequency, units, and CORP boundary","baseline_allowed_not_constructed","Observation payload is not included in the provider handoff bundle.","Require 0 <= omega_CORP <= 1 where both inputs are positive.","S12_source_of_truth","Unadjusted wage share is allowed as the first-pass baseline."
"BankMonIntPaid_t","distribution_protocol_placeholder","S12_current_release_Shaikh_protocol","Protocol-approved current-release T711 and corporate income-account ingredients","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","T711 candidate ingredients only","","gated","No formula is admissible until the current-release Shaikh protocol passes.","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance ingredients, not formula-admissible inputs.","Require a separately documented semantic and accounting protocol before construction.","S12_source_of_truth","Must not overwrite the unadjusted distribution baseline."
"CorpNFNetImpIntPaid_t","distribution_protocol_placeholder","S12_current_release_Shaikh_protocol","Protocol-approved current-release T711 and corporate income-account ingredients","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","T711 candidate ingredients only","","gated","No formula is admissible until the current-release Shaikh protocol passes.","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance ingredients, not formula-admissible inputs.","Require a separately documented semantic and accounting protocol before construction.","S12_source_of_truth","Must not overwrite the unadjusted distribution baseline."
"CorpImpIntAdj_t","distribution_protocol_placeholder","S12_current_release_Shaikh_protocol","Protocol-approved current-release T711 and corporate income-account ingredients","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","T711 candidate ingredients only","","gated","No formula is admissible until the current-release Shaikh protocol passes.","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance ingredients, not formula-admissible inputs.","Require a separately documented semantic and accounting protocol before construction.","S12_source_of_truth","Must not overwrite the unadjusted distribution baseline."
"GVAcorp_adj_t","distribution_protocol_placeholder","S12_current_release_Shaikh_protocol","Protocol-approved current-release T711 and corporate income-account ingredients","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","T711 candidate ingredients only","","gated","No formula is admissible until the current-release Shaikh protocol passes.","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance ingredients, not formula-admissible inputs.","Require a separately documented semantic and accounting protocol before construction.","S12_source_of_truth","Must not overwrite the unadjusted distribution baseline."
"NOScorp_adj_t","distribution_protocol_placeholder","S12_current_release_Shaikh_protocol","Protocol-approved current-release T711 and corporate income-account ingredients","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","T711 candidate ingredients only","","gated","No formula is admissible until the current-release Shaikh protocol passes.","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance ingredients, not formula-admissible inputs.","Require a separately documented semantic and accounting protocol before construction.","S12_source_of_truth","Must not overwrite the unadjusted distribution baseline."
"VAcorp_adj_t","distribution_protocol_placeholder","S12_current_release_Shaikh_protocol","Protocol-approved current-release T711 and corporate income-account ingredients","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","T711 candidate ingredients only","","gated","No formula is admissible until the current-release Shaikh protocol passes.","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance ingredients, not formula-admissible inputs.","Require a separately documented semantic and accounting protocol before construction.","S12_source_of_truth","Must not overwrite the unadjusted distribution baseline."
"omega_adj_CORP_t","distribution_protocol_placeholder","S12_current_release_Shaikh_protocol","Protocol-approved current-release T711 and corporate income-account ingredients","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","T711 candidate ingredients only","","gated","No formula is admissible until the current-release Shaikh protocol passes.","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance ingredients, not formula-admissible inputs.","Require a separately documented semantic and accounting protocol before construction.","S12_source_of_truth","Must not overwrite the unadjusted distribution baseline."
"pi_adj_res_CORP_t","distribution_protocol_placeholder","S12_current_release_Shaikh_protocol","Protocol-approved current-release T711 and corporate income-account ingredients","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","T711 candidate ingredients only","","gated","No formula is admissible until the current-release Shaikh protocol passes.","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance ingredients, not formula-admissible inputs.","Require a separately documented semantic and accounting protocol before construction.","S12_source_of_truth","Must not overwrite the unadjusted distribution baseline."
"e_adj_CORP_t","distribution_protocol_placeholder","S12_current_release_Shaikh_protocol","Protocol-approved current-release T711 and corporate income-account ingredients","chapter2_vault/04_data_measurement/V01_DataProvenance_Managment.md","T711 candidate ingredients only","","gated","No formula is admissible until the current-release Shaikh protocol passes.","blocked_pending_current_release_protocol","Current BEA candidate lines are provenance ingredients, not formula-admissible inputs.","Require a separately documented semantic and accounting protocol before construction.","S12_source_of_truth","Must not overwrite the unadjusted distribution baseline."
"gva_real_or_qindex_corp","prohibited_real_output","S12_prohibited_registry","CORP and NFC chained-dollar GVA","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md; output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","","","prohibited","CORP real GVA minus NFC real GVA","prohibited","No same-boundary CORP real GVA source exists; chained-dollar residual subtraction is prohibited.","The object must remain absent from all source-of-truth datasets.","S12_source_of_truth","Registry row documents a hard construction prohibition."
"gva_real_or_qindex_fc","prohibited_real_output","S12_prohibited_registry","CORP and NFC chained-dollar GVA","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md; output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","","","prohibited","CORP real GVA minus NFC real GVA","prohibited","No same-boundary FC real GVA source exists; chained-dollar residual subtraction is prohibited.","The object must remain absent from all source-of-truth datasets.","S12_source_of_truth","Registry row documents a hard construction prohibition."
"gva_price_or_deflator_corp","prohibited_output_price","S12_prohibited_registry","CORP nominal GVA and any proxy or residual real GVA","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md; output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","","","prohibited","Any residual or proxy-relabeled CORP GVA deflator","prohibited","No same-boundary CORP real/price counterpart exists.","The object must remain absent from all source-of-truth datasets.","S12_source_of_truth","Registry row documents a hard construction prohibition."
"gva_price_or_deflator_fc","prohibited_output_price","S12_prohibited_registry","FC nominal GVA and any proxy or residual real GVA","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_master_variable_menu.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/ch2_provider_fetch_status.csv; data/provider_handoffs/US_BEA_FixedAssets/2026-06-11/HANDOFF.md; output/US/S12_SOURCE_OF_TRUTH_READINESS/csv/S12_price_object_construction_registry.csv","","","prohibited","Any residual or proxy-relabeled FC GVA deflator","prohibited","No same-boundary FC real/price counterpart exists.","The object must remain absent from all source-of-truth datasets.","S12_source_of_truth","Registry row documents a hard construction prohibition."
