"check_id","input_kind","input_reference","required_for","required","present","metadata_status","observation_status","check_status","notes"
"provider_id_gva_price_or_deflator_nfc","provider_variable_id","gva_price_or_deflator_nfc","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"derivable_from_bea_components / source_level_derived","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_comp_emp_nfc","provider_variable_id","comp_emp_nfc","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_bea / primitive_fetch","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_comp_emp_corp","provider_variable_id","comp_emp_corp","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_bea / primitive_fetch","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_gva_current_corp","provider_variable_id","gva_current_corp","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_bea / primitive_fetch","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_me_investment_current_dollar_nfc","provider_variable_id","me_investment_current_dollar_nfc","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_bea / primitive_fetch","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_nrc_investment_current_dollar_nfc","provider_variable_id","nrc_investment_current_dollar_nfc","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_bea / primitive_fetch","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_me_cfc_nfc","provider_variable_id","me_cfc_nfc","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_bea / primitive_fetch","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_nrc_cfc_nfc","provider_variable_id","nrc_cfc_nfc","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_bea / primitive_fetch","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_me_netstock_current_cost_nfc","provider_variable_id","me_netstock_current_cost_nfc","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_bea / primitive_fetch","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_nrc_netstock_current_cost_nfc","provider_variable_id","nrc_netstock_current_cost_nfc","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_bea / primitive_fetch","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_me_price_or_qindex","provider_variable_id","me_price_or_qindex","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_bea / metadata_only","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_nrc_price_or_qindex","provider_variable_id","nrc_price_or_qindex","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_bea / metadata_only","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_me_investment_implied_fallback_nfc","provider_variable_id","me_investment_implied_fallback_nfc","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_fetch_available_but_not_used / fallback_constructed","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_nrc_investment_implied_fallback_nfc","provider_variable_id","nrc_investment_implied_fallback_nfc","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"direct_fetch_available_but_not_used / fallback_constructed","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_alpha_ME","provider_variable_id","alpha_ME","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"not_fetchable_parameter / metadata_only","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_alpha_NRC","provider_variable_id","alpha_NRC","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"not_fetchable_parameter / metadata_only","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_L_ME","provider_variable_id","L_ME","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"not_fetchable_parameter / metadata_only","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"provider_id_L_NRC","provider_variable_id","L_NRC","Output, capital, GPIM, or distribution construction plan",TRUE,TRUE,"not_fetchable_parameter / metadata_only","not_in_handoff_bundle","PASS","The closed handoff validates metadata and source mappings; it contains no observation payload."
"price_registry_P_Y_NFC_GVA_IMPLICIT_SOURCE","price_object_registry","P_Y_NFC_GVA_IMPLICIT_SOURCE","Locked output-price hierarchy",TRUE,TRUE,"construction_ready","provider_component_observations_not_in_bundle","PASS","Registry readiness is confirmed; observation import is a later pre-econometric implementation step."
"price_registry_P_Y_NFC_GVA_T115_VALIDATION","price_object_registry","P_Y_NFC_GVA_T115_VALIDATION","Locked output-price hierarchy",TRUE,TRUE,"validation_ready","provider_component_observations_not_in_bundle","PASS","Registry readiness is confirmed; observation import is a later pre-econometric implementation step."
"price_registry_P_Y_PROXY_GDP_IMPLICIT","price_object_registry","P_Y_PROXY_GDP_IMPLICIT","Locked output-price hierarchy",TRUE,TRUE,"robustness_ready","proxy_observations_not_in_bundle","PASS","Registry readiness is confirmed; observation import is a later pre-econometric implementation step."
"price_registry_P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","price_object_registry","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","Locked output-price hierarchy",TRUE,TRUE,"robustness_ready","proxy_observations_not_in_bundle","PASS","Registry readiness is confirmed; observation import is a later pre-econometric implementation step."
"price_registry_P_Y_PROXY_BUSINESS_OUTPUT","price_object_registry","P_Y_PROXY_BUSINESS_OUTPUT","Locked output-price hierarchy",TRUE,TRUE,"robustness_ready","proxy_observations_not_in_bundle","PASS","Registry readiness is confirmed; observation import is a later pre-econometric implementation step."
"price_registry_P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","price_object_registry","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","Locked output-price hierarchy",TRUE,TRUE,"robustness_ready","proxy_observations_not_in_bundle","PASS","Registry readiness is confirmed; observation import is a later pre-econometric implementation step."
"price_registry_P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","price_object_registry","P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","Locked output-price hierarchy",TRUE,TRUE,"robustness_ready","proxy_observations_not_in_bundle","PASS","Registry readiness is confirmed; observation import is a later pre-econometric implementation step."
"price_registry_P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","price_object_registry","P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","Locked output-price hierarchy",TRUE,TRUE,"robustness_ready","proxy_observations_not_in_bundle","PASS","Registry readiness is confirmed; observation import is a later pre-econometric implementation step."
"observation_payload_boundary","scope_boundary","data/provider_handoffs/US_BEA_FixedAssets/2026-06-11","Numerical source-of-truth construction",FALSE,FALSE,"handoff_is_metadata_complete","observations_pending","PENDING","This scaffold intentionally does not fetch or construct observations."
