"year","asset","S12D_B_nominal","S12D_B_price_or_deflator","S12D_B_real_or_quantity","S29C_nominal","S29C_deflator","S29C_real_investment","nominal_difference","price_difference","real_difference","bridge_status","notes"
1956,"ME",18027,2.52481092686332,713994.058255907,18027,2.52481092686332,713994.058255907,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1957,"ME",20136,2.76646578559073,727860.077101958,20136,2.76646578559073,727860.077101959,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1958,"ME",17088,2.92915944180703,583375.549862805,17088,2.92915944180703,583375.549862804,0,0,0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1959,"ME",19106,3.14490235778953,607522.836207516,19106,3.14490235778953,607522.836207516,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1960,"ME",20871,3.31711183671328,629191.930431859,20871,3.31711183671328,629191.93043186,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1961,"ME",20399,3.47387197431603,587212.198688362,20399,3.47387197431603,587212.198688363,0,0,-0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1962,"ME",22774,3.68728884522057,617635.367229758,22774,3.68728884522057,617635.367229759,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1963,"ME",24515,3.89492382466497,629408.971871452,24515,3.89492382466497,629408.971871451,0,0,0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1964,"ME",27685,4.12167900285637,671692.288041208,27685,4.12167900285637,671692.288041208,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1965,"ME",33400,4.33471686694489,770523.220436779,33400,4.33471686694489,770523.220436779,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1966,"ME",39291,4.66579109862621,842107.997753453,39291,4.66579109862621,842107.997753453,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1967,"ME",39600,5.03555286166064,786408.187698791,39600,5.03555286166064,786408.18769879,0,0,0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1968,"ME",43575,5.46754322156365,796975.867116018,43575,5.46754322156365,796975.867116019,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1969,"ME",48513,5.90662323377982,821332.224519679,48513,5.90662323377982,821332.224519679,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1970,"ME",48645,6.45177606178546,753978.432204573,48645,6.45177606178546,753978.432204574,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1971,"ME",49862,6.92884464603134,719629.354492161,49862,6.92884464603134,719629.354492161,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1972,"ME",57532,7.40321499541939,777121.83200943,57532,7.40321499541939,777121.83200943,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1973,"ME",69163,7.98874868830889,865755.110073952,69163,7.98874868830889,865755.110073952,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1974,"ME",77367,9.76980070965512,791899.469592468,77367,9.76980070965512,791899.469592467,0,0,0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1975,"ME",78218,11.3959234238519,686368.248458812,78218,11.3959234238519,686368.248458814,0,0,-0.00000000197906047105789,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1976,"ME",88806,12.7426224526579,696920.907214642,88806,12.7426224526579,696920.907214641,0,0,0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1977,"ME",110693,14.291156757353,774555.915097963,110693,14.291156757353,774555.915097964,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1978,"ME",133246,16.0382162357921,830803.114517424,133246,16.0382162357921,830803.114517424,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1979,"ME",154049,18.2693885494454,843208.29667108,154049,18.2693885494454,843208.296671081,0,0,-0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1980,"ME",160983,21.3587275848104,753710.628878874,160983,21.3587275848104,753710.628878874,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1981,"ME",178582,23.9208649718923,746553.271421577,178582,23.9208649718923,746553.271421577,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1982,"ME",172988,25.8883549548797,668207.772573798,172988,25.8883549548797,668207.772573798,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1983,"ME",178185,27.2834660373431,653087.843590387,178185,27.2834660373431,653087.843590388,0,0,-0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1984,"ME",209990,28.8235459482314,728536.316722285,209990,28.8235459482314,728536.316722283,0,0,0.00000000197906047105789,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1985,"ME",219164,30.6058906046278,716084.373531874,219164,30.6058906046278,716084.373531875,0,0,-0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1986,"ME",218377,32.701767587741,667783.475049416,218377,32.701767587741,667783.475049415,0,0,0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1987,"ME",217507,34.8660416807503,623836.230081967,217507,34.8660416807503,623836.230081967,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1988,"ME",235044,37.5139836648723,626550.360792775,235044,37.5139836648723,626550.360792775,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1989,"ME",252488,40.1218643421816,629302.760825473,252488,40.1218643421816,629302.760825473,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1990,"ME",260938,43.1312078558487,604986.535206934,260938,43.1312078558487,604986.535206934,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1991,"ME",258173,45.4156645533622,568466.855079602,258173,45.4156645533622,568466.855079603,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1992,"ME",278060,47.6907242254597,583048.390469939,278060,47.6907242254597,583048.390469939,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1993,"ME",309640,50.1355101970137,617606.161347978,309640,50.1355101970137,617606.161347977,0,0,0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1994,"ME",348233,52.8223795046679,659252.769878014,348233,52.8223795046679,659252.769878015,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1995,"ME",392489,55.4884273153212,707334.878621849,392489,55.4884273153212,707334.878621849,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1996,"ME",419632,57.2334441544116,733193.688060889,419632,57.2334441544116,733193.688060889,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1997,"ME",452418,58.0870338479469,778862.286520404,452418,58.0870338479469,778862.286520404,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1998,"ME",472594,58.6550204045369,805717.902304992,472594,58.6550204045369,805717.902304993,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1999,"ME",509512,59.5718904757276,855289.291528526,509512,59.5718904757276,855289.291528526,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2000,"ME",548834,60.6952109582979,904245.971526633,548834,60.6952109582979,904245.971526633,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2001,"ME",498324,61.2066231055583,814166.792277658,498324,61.2066231055583,814166.792277658,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2002,"ME",438110,61.7821584036625,709120.579986128,438110,61.7821584036625,709120.579986128,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2003,"ME",445329,62.2965193333916,714853.742657335,445329,62.2965193333916,714853.742657335,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2004,"ME",479955,65.5660584935848,732017.466090265,479955,65.5660584935848,732017.466090264,0,0,0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2005,"ME",537595,67.6048534273354,795201.783223789,537595,67.6048534273354,795201.783223789,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2006,"ME",591246,70.9684351285501,833111.22603878,591246,70.9684351285501,833111.22603878,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2007,"ME",610903,72.9542616434327,837378.086267004,610903,72.9542616434327,837378.086267004,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2008,"ME",592308,76.6875302292563,772365.465714313,592308,76.6875302292563,772365.465714313,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2009,"ME",462764,78.44792241644,589899.624802582,462764,78.44792241644,589899.624802582,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2010,"ME",547722,81.6009440222882,671220.175896981,547722,81.6009440222882,671220.175896981,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2011,"ME",629358,85.689054593157,734467.200027038,629358,85.689054593157,734467.200027038,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2012,"ME",693911,88.862715290316,780879.807389388,693911,88.862715290316,780879.807389388,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2013,"ME",703424,91.0829664578685,772289.295524182,703424,91.0829664578685,772289.295524182,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2014,"ME",771158,93.476171050928,824978.164306554,771158,93.476171050928,824978.164306554,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2015,"ME",782557,94.8262272656852,825253.753697722,782557,94.8262272656852,825253.753697722,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2016,"ME",760222,96.9552622725813,784095.656265363,760222,96.9552622725813,784095.656265363,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2017,"ME",802342,100,802342,802342,100,802342,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2018,"ME",853606,103.902739684419,821543.303470757,853606,103.902739684419,821543.30347076,0,0,-0.0000000030267983675003,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2019,"ME",833030,106.940693290466,778964.46560092,833030,106.940693290466,778964.465600922,0,0,-0.00000000197906047105789,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2020,"ME",746990,111.038458040315,672730.883680668,746990,111.038458040315,672730.883680669,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2021,"ME",829611,122.25545986162,678588.098183126,829611,122.25545986162,678588.098183124,0,0,0.00000000197906047105789,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2022,"ME",913541,133.804976390773,682740.675751876,913541,133.804976390773,682740.675751875,0,0,0.000000000931322574615479,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2023,"ME",979172,141.122048428844,693847.638197877,979172,141.122048428844,693847.638197878,0,0,-0.00000000104773789644241,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
2024,"ME",1028975,147.176933412101,699141.48647114,1028975,147.176933412101,699141.486471138,0,0,0.00000000197906047105789,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1901,"NRC",998,0.0758610894248966,1315562.44125393,998,0.0758610894248966,1315562.44125393,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1902,"NRC",1275,0.0758610894248966,1680703.51963804,1275,0.0758610894248966,1680703.51963804,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1903,"NRC",1426,0.0758610894248966,1879751.54431674,1426,0.0758610894248966,1879751.54431674,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1904,"NRC",1319,0.0758610894248966,1738704.26855104,1319,0.0758610894248966,1738704.26855104,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1905,"NRC",1305,0.0758610894248966,1720249.484806,1305,0.0758610894248966,1720249.484806,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1906,"NRC",1483,0.0758610894248966,1954888.87813586,1483,0.0758610894248966,1954888.87813586,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1907,"NRC",1633,0.0758610894248966,2152618.70397562,1633,0.0758610894248966,2152618.70397563,0,0,-0.00000000977888703346252,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1908,"NRC",1431,0.0758610894248966,1886342.5385114,1431,0.0758610894248966,1886342.5385114,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1909,"NRC",1646,0.0758610894248966,2169755.28888174,1646,0.0758610894248966,2169755.28888174,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1910,"NRC",1934,0.0758610894248966,2549396.5544941,1934,0.0758610894248966,2549396.5544941,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1911,"NRC",1793,0.0758610894248966,2363530.51820471,1793,0.0758610894248966,2363530.51820471,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1912,"NRC",1793,0.0758610894248966,2363530.51820471,1793,0.0758610894248966,2363530.51820471,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1913,"NRC",1807,0.0758610894248966,2381985.30194976,1807,0.0758610894248966,2381985.30194976,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1914,"NRC",1437,0.0758610894248966,1894251.73154499,1437,0.0758610894248966,1894251.73154499,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1915,"NRC",1162,0.0758610894248966,1531747.05083875,1162,0.0758610894248966,1531747.05083875,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1916,"NRC",1541,0.0758610894248966,2031344.4107939,1541,0.0758610894248966,2031344.4107939,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1917,"NRC",1743,0.0758610894248966,2297620.57625812,1743,0.0758610894248966,2297620.57625812,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1918,"NRC",1762,0.0758610894248966,2322666.35419783,1762,0.0758610894248966,2322666.35419783,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1919,"NRC",2035,0.0758610894248966,2682534.63722621,2035,0.0758610894248966,2682534.63722621,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1920,"NRC",3168,0.0758610894248966,4176053.92173593,3168,0.0758610894248966,4176053.92173594,0,0,-0.0000000102445483207703,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1921,"NRC",2148,0.0758610894248966,2831491.1060255,2148,0.0758610894248966,2831491.1060255,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1922,"NRC",2346,0.0758610894248966,3092494.476134,2346,0.0758610894248966,3092494.476134,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1923,"NRC",3035,0.0758610894248966,4000733.47615801,3035,0.0758610894248966,4000733.47615801,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1924,"NRC",3128,0.0758610894248966,4123325.96817866,3128,0.0758610894248966,4123325.96817866,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1925,"NRC",3067,0.0758610894248966,4042915.83900382,3067,0.0758610894248966,4042915.83900382,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1926,"NRC",3583,0.0758610894248966,4723106.43989263,3583,0.0758610894248966,4723106.43989263,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1927,"NRC",3537,0.0758610894248966,4662469.29330177,3537,0.0758610894248966,4662469.29330177,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1928,"NRC",3498,0.0758610894248966,4611059.53858343,3498,0.0758610894248966,4611059.53858343,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1929,"NRC",3892,0.0758610894248966,5130429.88112256,3892,0.0758610894248966,5130429.88112256,0,0,0,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
1930,"NRC",3245,0.0758610894248966,4277555.23233368,3245,0.0758610894248966,4277555.23233369,0,0,-0.0000000102445483207703,"PASS","S29C consumes S12D_B nominal, price, and real investment without reconstruction differences."
