"stage_id","variable_id","permitted_use","permitted"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROSS_ACCUMULATION_NET_FLOW_NRC","alias_compatibility","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROSS_ACCUMULATION_NET_FLOW_TOT","alias_compatibility","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROWTH_ARITH_G_ME","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROWTH_ARITH_G_NRC","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROWTH_ARITH_G_TOT","secondary_growth","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROWTH_ARITH_I_ME","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROWTH_ARITH_I_NRC","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROWTH_ARITH_I_TOT","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROWTH_ARITH_N_ME","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROWTH_ARITH_N_NRC","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GROWTH_ARITH_N_TOT","none","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","I_ME_REAL_2017","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","I_NRC_REAL_2017","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","I_TOT_REAL_2017","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","INV_RATE_G_ME","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","INV_RATE_G_NRC","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","INV_RATE_G_TOT","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","K_GROSS_ME","alias_compatibility","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","K_GROSS_NRC","alias_compatibility","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","K_GROSS_TOT","alias_compatibility","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","K_NET_ME","alias_compatibility","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","K_NET_NRC","alias_compatibility","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","K_NET_TOT","alias_compatibility","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_DLOG_G_ME","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_DLOG_G_NRC","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_DLOG_G_TOT","conditional_lag","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_DLOG_N_ME","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_DLOG_N_NRC","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_DLOG_N_TOT","none","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_LOG_G_ME","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_LOG_G_NRC","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_LOG_G_TOT","conditional_lag","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_LOG_N_ME","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_LOG_N_NRC","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","L1_LOG_N_TOT","none","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","LOG_G_ME_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","LOG_G_NRC_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","LOG_G_TOT_GPIM_2017","baseline_log_level","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","LOG_I_ME_REAL_2017","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","LOG_I_NRC_REAL_2017","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","LOG_I_TOT_REAL_2017","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","LOG_N_ME_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","LOG_N_NRC_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","LOG_N_TOT_GPIM_2017","robustness_log_level","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","N_ME_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","N_NRC_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","N_TOT_GPIM_2017","robustness_level","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","NET_ACCUMULATION_NET_FLOW_ME","alias_compatibility","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","NET_ACCUMULATION_NET_FLOW_NRC","alias_compatibility","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","NET_ACCUMULATION_NET_FLOW_TOT","alias_compatibility","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","RET_ME_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","RET_NRC_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","RET_RATE_G_ME","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","RET_RATE_G_NRC","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","RET_RATE_G_TOT","accounting_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","RET_TOT_GPIM_2017","continuity_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","SHARE_GROSS_ME_TOT","composition_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","SHARE_GROSS_NRC_TOT","composition_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","SHARE_INVESTMENT_ME_TOT","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","SHARE_INVESTMENT_NRC_TOT","accumulation_flow_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","SHARE_NET_ME_TOT","composition_diagnostic","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","SHARE_NET_NRC_TOT","composition_diagnostic","yes"
