"stage_id","variable_id","prohibited_use","prohibited"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_TOT_GPIM_2017","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","CFC_TOT_GPIM_2017","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_ME","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_ME","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_ME","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_ME","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_ME","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_ME","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_NRC","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_NRC","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_NRC","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_NRC","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_NRC","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_NRC","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_TOT","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_TOT","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_TOT","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_TOT","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_G_TOT","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_ME","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_ME","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_ME","not_stock_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_ME","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_ME","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_ME","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_ME","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_NRC","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_NRC","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_NRC","not_stock_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_NRC","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_NRC","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_NRC","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_NRC","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_TOT","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_TOT","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_TOT","not_stock_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_TOT","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_TOT","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_TOT","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_I_TOT","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_ME","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_ME","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_ME","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_ME","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_ME","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_ME","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_NRC","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_NRC","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_NRC","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_NRC","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_NRC","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_NRC","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_TOT","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_TOT","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_TOT","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_TOT","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_TOT","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DELTA_N_TOT","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_ME","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_ME","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_ME","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_ME","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_ME","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_NRC","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_NRC","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_NRC","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_NRC","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_NRC","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_TOT","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_TOT","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_TOT","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_G_TOT","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_ME","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_ME","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_ME","not_stock_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_ME","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_ME","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_ME","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_NRC","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_NRC","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_NRC","not_stock_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_NRC","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_NRC","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_NRC","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_TOT","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_TOT","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_TOT","not_stock_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_TOT","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_TOT","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_I_TOT","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_ME","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_ME","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_ME","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_ME","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_ME","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_NRC","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_NRC","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_NRC","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_NRC","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_NRC","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_TOT","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_TOT","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_TOT","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","DLOG_N_TOT","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_ME_GPIM_2017","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_ME_GPIM_2017","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_ME_GPIM_2017","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_ME_GPIM_2017","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_ME_GPIM_2017","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_NRC_GPIM_2017","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_NRC_GPIM_2017","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_NRC_GPIM_2017","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_NRC_GPIM_2017","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_NRC_GPIM_2017","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_TOT_GPIM_2017","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_TOT_GPIM_2017","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","G_TOT_GPIM_2017","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_ME","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_ME","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_ME","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_ME","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_ME","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_ME","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_NRC","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_NRC","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_NRC","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_NRC","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_NRC","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_NRC","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_TOT","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_TOT","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_TOT","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_TOT","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_TOT","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_G_TOT","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_ME","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_ME","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_ME","not_stock_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_ME","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_ME","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_ME","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_ME","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_NRC","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_NRC","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_NRC","not_stock_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_NRC","not_growth_substitute","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_NRC","not_valid_for_warmup_baseline_estimation","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_NRC","not_q_input_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_NRC","not_distribution_interaction_without_future_authorization","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_TOT","not_baseline_stock","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_TOT","not_model_input","yes"
"S29H_TOTAL_CAPITAL_DOWNSTREAM_INPUT_SELECTION_CONTRACT","GAP_ARITH_LOG_I_TOT","not_stock_substitute","yes"
