spec_id,lhs,regressors,theoretical_role,scale_term,mechanization_state,distribution_state,accumulation_increment,theta_recovery_interpretation,ovb_control_status,i_order_status,design_status,eg_status,standard_grid_status,recommended_role,notes
D10_y_kNRC_Q_log_ME_NRC_ratio_Kcap,y_t,k_NRC + Q_log_ME_NRC_ratio_Kcap,NRC envelope plus log ME/NRC path,k_NRC,log_ME_NRC_ratio_repaired,,d_k_Kcap,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,NEAR_COLLINEAR_WARNING,EG_NOT_RUN_ORDER_INCOMPATIBLE,NOT_STANDARD_AUTHORIZED,CPR_OR_APPENDIX_DIAGNOSTIC,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D11_y_kNRC_Q_log_ME_NRC_ratio_NRC,y_t,k_NRC + Q_log_ME_NRC_ratio_NRC,NRC envelope plus NRC-weighted log ME/NRC path,k_NRC,log_ME_NRC_ratio_repaired,,d_k_NRC,No direct distribution-conditioned theta recovery.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,NEAR_COLLINEAR_WARNING,EG_NOT_RUN_ORDER_INCOMPATIBLE,NOT_STANDARD_AUTHORIZED,CPR_OR_APPENDIX_DIAGNOSTIC,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D12_y_kNRC_Qomega_MEshare_Kcap,y_t,k_NRC + Q_omega_MEshare_Kcap,NRC envelope plus distribution-conditioned mechanization path,k_NRC,ME_share_repaired,omega_NFC,d_k_Kcap,theta_t equals scale coefficient plus path coefficient times lagged distribution-mechanization state in envelope-growth interpretation.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,NOT_STANDARD_AUTHORIZED,DO_NOT_ADVANCE,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D13_y_kNRC_Qomega_MEshare_NRC,y_t,k_NRC + Q_omega_MEshare_NRC,NRC envelope plus NRC-weighted distribution-conditioned mechanization path,k_NRC,ME_share_repaired,omega_NFC,d_k_NRC,theta_t equals scale coefficient plus path coefficient times lagged distribution-mechanization state in envelope-growth interpretation.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_PASS_WEAK,NOT_STANDARD_AUTHORIZED,DO_NOT_ADVANCE,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D14_y_kNRC_Qomega_ME_NRC_ratio_Kcap,y_t,k_NRC + Q_omega_ME_NRC_ratio_Kcap,NRC envelope plus distribution-conditioned ME/NRC ratio path,k_NRC,ME_NRC_ratio_repaired,omega_NFC,d_k_Kcap,theta_t equals scale coefficient plus path coefficient times lagged distribution-mechanization state in envelope-growth interpretation.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_NOT_RUN_ORDER_INCOMPATIBLE,NOT_STANDARD_AUTHORIZED,CPR_OR_APPENDIX_DIAGNOSTIC,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D15_y_kNRC_Qomega_ME_NRC_ratio_NRC,y_t,k_NRC + Q_omega_ME_NRC_ratio_NRC,NRC envelope plus NRC-weighted distribution-conditioned ME/NRC ratio path,k_NRC,ME_NRC_ratio_repaired,omega_NFC,d_k_NRC,theta_t equals scale coefficient plus path coefficient times lagged distribution-mechanization state in envelope-growth interpretation.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_NOT_RUN_ORDER_INCOMPATIBLE,NOT_STANDARD_AUTHORIZED,CPR_OR_APPENDIX_DIAGNOSTIC,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D16_y_kNRC_Qomega_log_ME_NRC_ratio_Kcap,y_t,k_NRC + Q_omega_log_ME_NRC_ratio_Kcap,NRC envelope plus distribution-conditioned log ME/NRC path,k_NRC,log_ME_NRC_ratio_repaired,omega_NFC,d_k_Kcap,theta_t equals scale coefficient plus path coefficient times lagged distribution-mechanization state in envelope-growth interpretation.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,NEAR_COLLINEAR_WARNING,EG_NOT_RUN_ORDER_INCOMPATIBLE,NOT_STANDARD_AUTHORIZED,CPR_OR_APPENDIX_DIAGNOSTIC,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D17_y_kNRC_Qomega_log_ME_NRC_ratio_NRC,y_t,k_NRC + Q_omega_log_ME_NRC_ratio_NRC,NRC envelope plus NRC-weighted distribution-conditioned log ME/NRC path,k_NRC,log_ME_NRC_ratio_repaired,omega_NFC,d_k_NRC,theta_t equals scale coefficient plus path coefficient times lagged distribution-mechanization state in envelope-growth interpretation.,NO_STANDALONE_OMEGA_CONTROL,BLOCK_OR_ROUTE,NEAR_COLLINEAR_WARNING,EG_NOT_RUN_ORDER_INCOMPATIBLE,NOT_STANDARD_AUTHORIZED,CPR_OR_APPENDIX_DIAGNOSTIC,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D18_y_kNRC_Qomega_MEshare_Kcap_omega,y_t,k_NRC + Q_omega_MEshare_Kcap + omega_NFC,OVB-control diagnostic for distribution-conditioned Kcap path,k_NRC,ME_share_repaired,omega_NFC,d_k_Kcap,theta_t equals scale coefficient plus path coefficient times lagged distribution-mechanization state in envelope-growth interpretation.,MIXED_ORDER_CONTROL_DIAGNOSTIC,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_MIXED_ORDER_CONTROL_DIAGNOSTIC,NOT_STANDARD_AUTHORIZED,OVB_CONTROL_DIAGNOSTIC,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D19_y_kNRC_Qomega_MEshare_NRC_omega,y_t,k_NRC + Q_omega_MEshare_NRC + omega_NFC,OVB-control diagnostic for distribution-conditioned NRC path,k_NRC,ME_share_repaired,omega_NFC,d_k_NRC,theta_t equals scale coefficient plus path coefficient times lagged distribution-mechanization state in envelope-growth interpretation.,MIXED_ORDER_CONTROL_DIAGNOSTIC,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_MIXED_ORDER_CONTROL_DIAGNOSTIC,NOT_STANDARD_AUTHORIZED,OVB_CONTROL_DIAGNOSTIC,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D20_y_kNRC_QMEshare_Kcap_omega,y_t,k_NRC + Q_MEshare_Kcap + omega_NFC,OVB-control diagnostic for mechanization-only Kcap path,k_NRC,ME_share_repaired,omega_NFC,d_k_Kcap,No direct distribution-conditioned theta recovery.,MIXED_ORDER_CONTROL_DIAGNOSTIC,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_MIXED_ORDER_CONTROL_DIAGNOSTIC,NOT_STANDARD_AUTHORIZED,OVB_CONTROL_DIAGNOSTIC,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
D21_y_kNRC_QMEshare_NRC_omega,y_t,k_NRC + Q_MEshare_NRC + omega_NFC,OVB-control diagnostic for mechanization-only NRC path,k_NRC,ME_share_repaired,omega_NFC,d_k_NRC,No direct distribution-conditioned theta recovery.,MIXED_ORDER_CONTROL_DIAGNOSTIC,BLOCK_OR_ROUTE,PASS_DESIGN_DIAGNOSTICS,EG_MIXED_ORDER_CONTROL_DIAGNOSTIC,NOT_STANDARD_AUTHORIZED,OVB_CONTROL_DIAGNOSTIC,"Standalone omega, where present, is an OVB-control state and not direct theta recovery."
