"variable_id","display_name","sector_boundary","surplus_ladder","surplus_concept","denominator_concept","wage_component","financial_sector_treatment","tax_treatment","cfc_treatment","transfer_treatment","role","status","allowed_use","prohibited_use","notes"
"NFC_DIVIDENDS_NET","NFC net dividends","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","NONE_NOT_APPLICABLE","not_applicable","excluded_productive_origin_baseline","not_applicable","not_applicable","distribution_component","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","NFC productive-origin accounting ingredient","financial-sector productive equivalence; model-ready transformation","NFC is the strict productive-origin baseline; use available direct provider names."
"CORP_GVA","Corporate gross value added","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","denominator_GVA","not_applicable","included_accounting_boundary","varies_by_line","varies_by_line","varies_by_line","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_NVA","Corporate net value added","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","denominator_NVA","not_applicable","included_accounting_boundary","varies_by_line","varies_by_line","varies_by_line","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_COMP","Corporate compensation of employees","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","NONE_NOT_APPLICABLE","not_applicable","included_accounting_boundary","varies_by_line","varies_by_line","varies_by_line","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_CFC","Corporate consumption of fixed capital","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","NONE_NOT_APPLICABLE","not_applicable","included_accounting_boundary","varies_by_line","varies_by_line","varies_by_line","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_NOS","Corporate net operating surplus","CORP","corporate_reconciliation_variant","NOS","NONE_NOT_APPLICABLE","not_applicable","included_accounting_boundary","varies_by_line","varies_by_line","varies_by_line","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_PBT","Corporate profits before tax","CORP","corporate_reconciliation_variant","PBT","NONE_NOT_APPLICABLE","not_applicable","included_accounting_boundary","varies_by_line","varies_by_line","varies_by_line","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_PAT","Corporate profits after tax","CORP","corporate_reconciliation_variant","PAT","NONE_NOT_APPLICABLE","not_applicable","included_accounting_boundary","varies_by_line","varies_by_line","varies_by_line","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_TAX","Corporate income taxes","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","NONE_NOT_APPLICABLE","not_applicable","included_accounting_boundary","varies_by_line","varies_by_line","varies_by_line","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_UNDISTRIBUTED","Corporate undistributed profits with IVA and CCAdj","CORP","corporate_reconciliation_variant","UNDISTRIBUTED_PROFITS","NONE_NOT_APPLICABLE","not_applicable","included_accounting_boundary","varies_by_line","varies_by_line","varies_by_line","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_NET_INT","Corporate net interest and miscellaneous payments","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","NONE_NOT_APPLICABLE","not_applicable","included_accounting_boundary","varies_by_line","varies_by_line","varies_by_line","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_TRANSFERS_NET","Corporate business current transfers net","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","NONE_NOT_APPLICABLE","not_applicable","included_accounting_boundary","varies_by_line","varies_by_line","varies_by_line","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_DIVIDENDS_NET","Corporate net dividends","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","NONE_NOT_APPLICABLE","not_applicable","included_accounting_boundary","varies_by_line","varies_by_line","varies_by_line","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate reconciliation, robustness, and accounting comparison","clean productive-origin surplus baseline without NFC gate","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"FIN_GVA","FIN_GVA","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","NONE_NOT_APPLICABLE","not_applicable","transfer_adjusted_candidate","unknown_review_required","unknown_review_required","unknown_review_required","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","transfer/reconciliation/correction candidate only","productive-origin baseline; silent substitution for total financial business","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_NVA","FIN_NVA","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","NONE_NOT_APPLICABLE","not_applicable","transfer_adjusted_candidate","unknown_review_required","unknown_review_required","unknown_review_required","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","transfer/reconciliation/correction candidate only","productive-origin baseline; silent substitution for total financial business","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_COMP","FIN_COMP","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","NONE_NOT_APPLICABLE","not_applicable","transfer_adjusted_candidate","unknown_review_required","unknown_review_required","unknown_review_required","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","transfer/reconciliation/correction candidate only","productive-origin baseline; silent substitution for total financial business","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_CFC","FIN_CFC","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","NONE_NOT_APPLICABLE","not_applicable","transfer_adjusted_candidate","unknown_review_required","unknown_review_required","unknown_review_required","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","transfer/reconciliation/correction candidate only","productive-origin baseline; silent substitution for total financial business","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_NOS","FIN_NOS","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","NONE_NOT_APPLICABLE","not_applicable","transfer_adjusted_candidate","unknown_review_required","unknown_review_required","unknown_review_required","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","transfer/reconciliation/correction candidate only","productive-origin baseline; silent substitution for total financial business","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_PBT","FIN_PBT","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","NONE_NOT_APPLICABLE","not_applicable","transfer_adjusted_candidate","unknown_review_required","unknown_review_required","unknown_review_required","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","transfer/reconciliation/correction candidate only","productive-origin baseline; silent substitution for total financial business","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_NET_INT","FIN_NET_INT","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","NONE_NOT_APPLICABLE","not_applicable","transfer_adjusted_candidate","unknown_review_required","unknown_review_required","unknown_review_required","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","transfer/reconciliation/correction candidate only","productive-origin baseline; silent substitution for total financial business","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_TRANSFERS","FIN_TRANSFERS","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","NONE_NOT_APPLICABLE","not_applicable","transfer_adjusted_candidate","unknown_review_required","unknown_review_required","unknown_review_required","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","transfer/reconciliation/correction candidate only","productive-origin baseline; silent substitution for total financial business","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_DIVIDENDS","FIN_DIVIDENDS","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","NONE_NOT_APPLICABLE","not_applicable","transfer_adjusted_candidate","unknown_review_required","unknown_review_required","unknown_review_required","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","transfer/reconciliation/correction candidate only","productive-origin baseline; silent substitution for total financial business","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","GVA","NFC_COMP","excluded_productive_origin_baseline","not_applicable","gross_denominator","not_applicable","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","preferred operational distributive variable","profit-share-first operational replacement; model/econometric use in D07-0","S30B preserves NFC_COMP / NFC_GVA as the preferred unadjusted wage-share baseline."
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","NVA","NFC_COMP","excluded_productive_origin_baseline","not_applicable","net_denominator","not_applicable","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","wage-share robustness variant","profit-share-first operational replacement; model/econometric use in D07-0","S30B preserves this as a net-value-added wage-share robustness variant."
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","GVA","CORP_COMP","included_accounting_boundary","not_applicable","gross_denominator","not_applicable","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate wage-share robustness/reconciliation variant","NFC baseline replacement without explicit choice; model/econometric use in D07-0","Corporate wage share is robustness/reconciliation below the NFC baseline."
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","NVA","CORP_COMP","included_accounting_boundary","not_applicable","net_denominator","not_applicable","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","corporate wage-share robustness/reconciliation variant","NFC baseline replacement without explicit choice; model/econometric use in D07-0","Corporate net-value-added wage share is robustness/reconciliation below the NFC baseline."
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC","NFC_productive_origin_baseline","NOS","GVA","not_applicable","excluded_productive_origin_baseline","pre_tax_operating_surplus","gross_denominator","not_applicable","profit_share_scaffold","DIAGNOSTIC_ONLY","profit/surplus accounting scaffold and diagnostic","primary operational distributive variable; D07-0 regression input","Profit-share variants define surplus concepts and denominators but do not replace wage share."
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","NFC","NFC_productive_origin_baseline","NOS","NVA","not_applicable","excluded_productive_origin_baseline","pre_tax_operating_surplus","net_denominator","not_applicable","profit_share_scaffold","DIAGNOSTIC_ONLY","profit/surplus accounting scaffold and diagnostic","primary operational distributive variable; D07-0 regression input","Profit-share variants define surplus concepts and denominators but do not replace wage share."
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","CORP","corporate_reconciliation_variant","NOS","GVA","not_applicable","included_accounting_boundary","pre_tax_operating_surplus","gross_denominator","not_applicable","profit_share_scaffold","DIAGNOSTIC_ONLY","profit/surplus accounting scaffold and diagnostic","primary operational distributive variable; D07-0 regression input","Profit-share variants define surplus concepts and denominators but do not replace wage share."
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","CORP","corporate_reconciliation_variant","NOS","NVA","not_applicable","included_accounting_boundary","pre_tax_operating_surplus","net_denominator","not_applicable","profit_share_scaffold","DIAGNOSTIC_ONLY","profit/surplus accounting scaffold and diagnostic","primary operational distributive variable; D07-0 regression input","Profit-share variants define surplus concepts and denominators but do not replace wage share."
"e_NFC_CONSTRUCTION_CONTRACT","NFC exploitation-rate construction contract","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","wage_share","NFC_COMPENSATION_SHARE_GVA","excluded_productive_origin_baseline","not_applicable","not_applicable","not_applicable","alternative_exploitation_rate","REVIEW_REQUIRED","alternative distributive measure after construction authorization","primary wage-share replacement; log transformation in D07-0","S30B records exploitation rate as a preserved future alternative; no exploitation-rate series is constructed in the current closure."
"e_CORP_CONSTRUCTION_CONTRACT","CORP exploitation-rate construction contract","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","wage_share","CORP_COMPENSATION_SHARE_GVA","included_accounting_boundary","not_applicable","not_applicable","not_applicable","alternative_exploitation_rate","REVIEW_REQUIRED","alternative distributive measure after construction authorization","primary wage-share replacement; log transformation in D07-0","S30B records exploitation rate as a preserved future alternative; no exploitation-rate series is constructed in the current closure."
