"variable_id","display_name","sector_boundary","accounting_block","role","status","authorized_for_D07_level_panel","reason","required_source","required_prior_stage","notes"
"FIN_GVA","Financial corporate gross value added","FIN","output_value_added","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","financial-sector accounting/correction candidate","see output_value_added_block","S30A/provider","Financial-sector value added is retained as transfer/reconciliation evidence."
"FIN_NVA","Financial corporate net value added","FIN","output_value_added","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","financial-sector accounting/correction candidate","see output_value_added_block","S30A/provider","Financial net value added is retained as transfer/reconciliation evidence."
"gva_real_or_qindex_corp","Corporate real GVA or quantity index","CORP","output_value_added","blocked","BLOCKED_BOUNDARY_CONFLICT","FALSE","none","see output_value_added_block","S30A/provider","S30A blocks same-boundary CORP real GVA because no validated source exists."
"gva_real_or_qindex_fc","Financial corporate real GVA or quantity index","FIN","output_value_added","blocked","BLOCKED_BOUNDARY_CONFLICT","FALSE","none","see output_value_added_block","S30A/provider","S30A blocks same-boundary financial real GVA because no validated source exists."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","P_Y_NFC_GVA_IMPLICIT_SOURCE","NFC","output_value_added","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","same-boundary NFC GVA deflation support","see output_value_added_block","S30A/provider","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
"P_Y_NFC_GVA_T115_VALIDATION","P_Y_NFC_GVA_T115_VALIDATION","NFC","output_value_added","diagnostic","DIAGNOSTIC_ONLY","FALSE","diagnostic/robustness/context support only","see output_value_added_block","S30A/provider","Validation only | Source-native annual observation retained."
"P_Y_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","TOTAL_ECONOMY","output_value_added","frontier_conditioning","PARKED_FRONTIER_CONTEXT","FALSE","diagnostic/robustness/context support only","see output_value_added_block","S30A/provider","Transparent macro proxy | Source-native annual observation retained."
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","NONFARM_BUSINESS","output_value_added","frontier_conditioning","PARKED_FRONTIER_CONTEXT","FALSE","diagnostic/robustness/context support only","see output_value_added_block","S30A/provider","Includes noncorporate nonfarm business | Source-native annual observation retained."
"P_Y_PROXY_BUSINESS_OUTPUT","P_Y_PROXY_BUSINESS_OUTPUT","BUSINESS_SECTOR","output_value_added","frontier_conditioning","PARKED_FRONTIER_CONTEXT","FALSE","diagnostic/robustness/context support only","see output_value_added_block","S30A/provider","BLS productivity-program boundary | Source-native quarterly index annualized by calendar-year arithmetic mean; incomplete calendar years are excluded."
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","NONFARM_BUSINESS_SECTOR","output_value_added","frontier_conditioning","PARKED_FRONTIER_CONTEXT","FALSE","diagnostic/robustness/context support only","see output_value_added_block","S30A/provider","Excludes farms but includes noncorporate business | Source-native quarterly index annualized by calendar-year arithmetic mean; incomplete calendar years are excluded."
"P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","FINANCE_AND_INSURANCE_INDUSTRY","output_value_added","frontier_conditioning","PARKED_FRONTIER_CONTEXT","FALSE","diagnostic/robustness/context support only","see output_value_added_block","S30A/provider","Does not identify financial corporate business | Source-native annual observation retained."
"P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","MANUFACTURING_INDUSTRY","output_value_added","frontier_conditioning","PARKED_FRONTIER_CONTEXT","FALSE","diagnostic/robustness/context support only","see output_value_added_block","S30A/provider","Manufacturing is narrower than NFC | Source-native annual observation retained."
"NFC_GVA","NFC gross value added","NFC","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","NFC productive-origin accounting ingredient","see surplus_distribution_scaffold","S30B/provider","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_NVA","NFC net value added","NFC","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","NFC productive-origin accounting ingredient","see surplus_distribution_scaffold","S30B/provider","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_COMP","NFC compensation of employees","NFC","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","NFC productive-origin accounting ingredient","see surplus_distribution_scaffold","S30B/provider","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_CFC","NFC consumption of fixed capital","NFC","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","NFC productive-origin accounting ingredient","see surplus_distribution_scaffold","S30B/provider","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_NOS","NFC net operating surplus","NFC","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","NFC productive-origin accounting ingredient","see surplus_distribution_scaffold","S30B/provider","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_PBT","NFC profits before tax","NFC","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","NFC productive-origin accounting ingredient","see surplus_distribution_scaffold","S30B/provider","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_PAT","NFC profits after tax","NFC","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","NFC productive-origin accounting ingredient","see surplus_distribution_scaffold","S30B/provider","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_TAX","NFC corporate income taxes","NFC","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","NFC productive-origin accounting ingredient","see surplus_distribution_scaffold","S30B/provider","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_UNDISTRIBUTED","NFC undistributed profits with IVA and CCAdj","NFC","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","NFC productive-origin accounting ingredient","see surplus_distribution_scaffold","S30B/provider","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_RETAINED","NFC undistributed profits after tax","NFC","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","NFC productive-origin accounting ingredient","see surplus_distribution_scaffold","S30B/provider","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_NET_INT","NFC net interest and miscellaneous payments","NFC","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","NFC productive-origin accounting ingredient","see surplus_distribution_scaffold","S30B/provider","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_TRANSFERS_NET","NFC business current transfers net","NFC","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","NFC productive-origin accounting ingredient","see surplus_distribution_scaffold","S30B/provider","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_DIVIDENDS_NET","NFC net dividends","NFC","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","NFC productive-origin accounting ingredient","see surplus_distribution_scaffold","S30B/provider","NFC is the strict productive-origin baseline; use available direct provider names."
"CORP_GVA","Corporate gross value added","CORP","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation, robustness, and accounting comparison","see surplus_distribution_scaffold","S30B/provider","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_NVA","Corporate net value added","CORP","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation, robustness, and accounting comparison","see surplus_distribution_scaffold","S30B/provider","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_COMP","Corporate compensation of employees","CORP","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation, robustness, and accounting comparison","see surplus_distribution_scaffold","S30B/provider","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_CFC","Corporate consumption of fixed capital","CORP","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation, robustness, and accounting comparison","see surplus_distribution_scaffold","S30B/provider","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_NOS","Corporate net operating surplus","CORP","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation, robustness, and accounting comparison","see surplus_distribution_scaffold","S30B/provider","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_PBT","Corporate profits before tax","CORP","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation, robustness, and accounting comparison","see surplus_distribution_scaffold","S30B/provider","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_PAT","Corporate profits after tax","CORP","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation, robustness, and accounting comparison","see surplus_distribution_scaffold","S30B/provider","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_TAX","Corporate income taxes","CORP","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation, robustness, and accounting comparison","see surplus_distribution_scaffold","S30B/provider","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_UNDISTRIBUTED","Corporate undistributed profits with IVA and CCAdj","CORP","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation, robustness, and accounting comparison","see surplus_distribution_scaffold","S30B/provider","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_NET_INT","Corporate net interest and miscellaneous payments","CORP","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation, robustness, and accounting comparison","see surplus_distribution_scaffold","S30B/provider","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_TRANSFERS_NET","Corporate business current transfers net","CORP","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation, robustness, and accounting comparison","see surplus_distribution_scaffold","S30B/provider","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_DIVIDENDS_NET","Corporate net dividends","CORP","surplus_distribution","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate reconciliation, robustness, and accounting comparison","see surplus_distribution_scaffold","S30B/provider","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"FIN_GVA","FIN_GVA","FIN","surplus_distribution","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","transfer/reconciliation/correction candidate only","see surplus_distribution_scaffold","S30B/provider","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_NVA","FIN_NVA","FIN","surplus_distribution","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","transfer/reconciliation/correction candidate only","see surplus_distribution_scaffold","S30B/provider","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_COMP","FIN_COMP","FIN","surplus_distribution","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","transfer/reconciliation/correction candidate only","see surplus_distribution_scaffold","S30B/provider","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_CFC","FIN_CFC","FIN","surplus_distribution","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","transfer/reconciliation/correction candidate only","see surplus_distribution_scaffold","S30B/provider","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_NOS","FIN_NOS","FIN","surplus_distribution","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","transfer/reconciliation/correction candidate only","see surplus_distribution_scaffold","S30B/provider","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_PBT","FIN_PBT","FIN","surplus_distribution","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","transfer/reconciliation/correction candidate only","see surplus_distribution_scaffold","S30B/provider","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_NET_INT","FIN_NET_INT","FIN","surplus_distribution","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","transfer/reconciliation/correction candidate only","see surplus_distribution_scaffold","S30B/provider","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_TRANSFERS","FIN_TRANSFERS","FIN","surplus_distribution","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","transfer/reconciliation/correction candidate only","see surplus_distribution_scaffold","S30B/provider","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"FIN_DIVIDENDS","FIN_DIVIDENDS","FIN","surplus_distribution","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","transfer/reconciliation/correction candidate only","see surplus_distribution_scaffold","S30B/provider","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use."
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","NFC","surplus_distribution","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","preferred operational distributive variable","see surplus_distribution_scaffold","S30B/provider","S30B preserves NFC_COMP / NFC_GVA as the preferred unadjusted wage-share baseline."
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","NFC","surplus_distribution","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","wage-share robustness variant","see surplus_distribution_scaffold","S30B/provider","S30B preserves this as a net-value-added wage-share robustness variant."
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","CORP","surplus_distribution","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate wage-share robustness/reconciliation variant","see surplus_distribution_scaffold","S30B/provider","Corporate wage share is robustness/reconciliation below the NFC baseline."
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","CORP","surplus_distribution","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","corporate wage-share robustness/reconciliation variant","see surplus_distribution_scaffold","S30B/provider","Corporate net-value-added wage share is robustness/reconciliation below the NFC baseline."
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC","surplus_distribution","profit_share_scaffold","DIAGNOSTIC_ONLY","FALSE","profit/surplus accounting scaffold and diagnostic","see surplus_distribution_scaffold","S30B/provider","Profit-share variants define surplus concepts and denominators but do not replace wage share."
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","NFC","surplus_distribution","profit_share_scaffold","DIAGNOSTIC_ONLY","FALSE","profit/surplus accounting scaffold and diagnostic","see surplus_distribution_scaffold","S30B/provider","Profit-share variants define surplus concepts and denominators but do not replace wage share."
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","CORP","surplus_distribution","profit_share_scaffold","DIAGNOSTIC_ONLY","FALSE","profit/surplus accounting scaffold and diagnostic","see surplus_distribution_scaffold","S30B/provider","Profit-share variants define surplus concepts and denominators but do not replace wage share."
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","CORP","surplus_distribution","profit_share_scaffold","DIAGNOSTIC_ONLY","FALSE","profit/surplus accounting scaffold and diagnostic","see surplus_distribution_scaffold","S30B/provider","Profit-share variants define surplus concepts and denominators but do not replace wage share."
"e_NFC_CONSTRUCTION_CONTRACT","NFC exploitation-rate construction contract","NFC","surplus_distribution","alternative_exploitation_rate","REVIEW_REQUIRED","FALSE","alternative distributive measure after construction authorization","see surplus_distribution_scaffold","S30B/provider","S30B records exploitation rate as a preserved future alternative; no exploitation-rate series is constructed in the current closure."
"e_CORP_CONSTRUCTION_CONTRACT","CORP exploitation-rate construction contract","CORP","surplus_distribution","alternative_exploitation_rate","REVIEW_REQUIRED","FALSE","alternative distributive measure after construction authorization","see surplus_distribution_scaffold","S30B/provider","S30B records exploitation rate as a preserved future alternative; no exploitation-rate series is constructed in the current closure."
"NFC_NET_INT","NFC_net_interest_misc_payments","NFC","financial_correction_candidate","candidate_only","DIAGNOSTIC_ONLY","FALSE","bounded diagnostic/proxy evidence; not exact Shaikh correction","see financial_correction_candidate_ledger","S30G/S30H","Counterparty is not identified; actual and imputed components are not separated; miscellaneous payments are included; not an exact Appendix 6.7 measure."
"CORP_NET_INT","CORP_net_interest_misc_payments","CORP","financial_correction_candidate","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","candidate audit trail only","see financial_correction_candidate_ledger","S30G/S30H","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L4","BankMonIntPaid_paid_financial","FIN","financial_correction_candidate","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","candidate audit trail only","see financial_correction_candidate_ledger","S30G/S30H","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L28","BankMonIntPaid_received_financial","FIN","financial_correction_candidate","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","candidate audit trail only","see financial_correction_candidate_ledger","S30G/S30H","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L44","BankMonIntPaid_paid_banks_credit_investment","FIN_SUBSECTOR","financial_correction_candidate","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","candidate audit trail only","see financial_correction_candidate_ledger","S30G/S30H","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L52","BankMonIntPaid_paid_state_local","STATE_LOCAL_GOVERNMENT","financial_correction_candidate","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","candidate audit trail only","see financial_correction_candidate_ledger","S30G/S30H","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L53","CorpNFNetImpIntPaid_line53","REST_OF_WORLD","financial_correction_candidate","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","candidate audit trail only","see financial_correction_candidate_ledger","S30G/S30H","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L73","BankMonIntPaid_received_federal","FEDERAL_GOVERNMENT","financial_correction_candidate","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","candidate audit trail only","see financial_correction_candidate_ledger","S30G/S30H","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L74","CorpNFNetImpIntPaid_line74","STATE_LOCAL_GOVERNMENT","financial_correction_candidate","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","candidate audit trail only","see financial_correction_candidate_ledger","S30G/S30H","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"T711_L91","BankMonIntPaid_paid_government","GOVERNMENT","financial_correction_candidate","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","candidate audit trail only","see financial_correction_candidate_ledger","S30G/S30H","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"CORP_IMPUTED_INTEREST_ADJ","Corp Imputed Interest Adj","CORPORATE_CONCEPTUAL","financial_correction_candidate","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","candidate audit trail only","see financial_correction_candidate_ledger","S30G/S30H","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy."
"NFC_NOS","NFC_NOS","CORP_FIN_BOUNDARY","financial_correction_candidate","surplus_accounting_ingredient","DIAGNOSTIC_ONLY","FALSE","role-lock evidence; baseline authorization is recorded in the surplus scaffold, not this financial-correction ledger","see financial_correction_candidate_ledger","S30G/S30H","Observable productive-origin corporate surplus proxy before financial distribution."
"FIN_NOS_IMPLIED","FIN_NOS_IMPLIED","FIN","financial_correction_candidate","candidate_only","DIAGNOSTIC_ONLY","FALSE","diagnostic or sensitivity evidence only","see financial_correction_candidate_ledger","S30G/S30H","Financial profit form embedded in published corporate NOS; redistributed rather than independently produced surplus."
"FIN_COMP_IMPLIED","FIN_COMP_IMPLIED","FIN","financial_correction_candidate","candidate_only","DIAGNOSTIC_ONLY","FALSE","diagnostic or sensitivity evidence only","see financial_correction_candidate_ledger","S30G/S30H","Unproductive financial labor cost financed from value generated in primary productive activity."
"FIN_NVA_IMPLIED","FIN_NVA_IMPLIED","FIN","financial_correction_candidate","candidate_only","DIAGNOSTIC_ONLY","FALSE","diagnostic or sensitivity evidence only","see financial_correction_candidate_ledger","S30G/S30H","Total financial-sector absorption of primary value; broader than financial profit."
"FIN_GVA_IMPLIED","FIN_GVA_IMPLIED","FIN","financial_correction_candidate","candidate_only","DIAGNOSTIC_ONLY","FALSE","diagnostic or sensitivity evidence only","see financial_correction_candidate_ledger","S30G/S30H","Gross accounting residual including CFC; not current redistributed net surplus."
"NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","CORP_FIN_BOUNDARY","financial_correction_candidate","candidate_only","DIAGNOSTIC_ONLY","FALSE","diagnostic or sensitivity evidence only","see financial_correction_candidate_ledger","S30G/S30H","NFC surplus remaining after the bounded net-interest and miscellaneous-payment position."
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","CORP_FIN_BOUNDARY","financial_correction_candidate","candidate_only","DIAGNOSTIC_ONLY","FALSE","diagnostic or sensitivity evidence only","see financial_correction_candidate_ledger","S30G/S30H","Published corporate NOS after removing one bounded NFC financial-claims channel."
