"file","field","matched_pattern","offending_value","D11R_qomega_status"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_validation_checks.csv","check","q_omega","Q_OMEGA_PARKED; NO_Q_OMEGA_COLUMNS","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_validation_checks.csv","notes","q_omega","q_omega remains parked and is listed only in the blocked/parked ledger.","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_validation_checks.csv","check","omega_","Q_OMEGA_PARKED; NO_Q_OMEGA_COLUMNS","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_variable_dictionary.csv","variable_id","omega_","DOWNSTREAM__omega_adj_CORP; DOWNSTREAM__omega_adj_NFC; omega_CORP_raw_GVA; omega_CORP_raw_NVA; omega_NFC_productive_origin_GVA","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_variable_dictionary.csv","display_name","omega_","omega_adj_CORP; omega_adj_NFC; omega_CORP_raw_GVA; omega_CORP_raw_NVA","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_variable_dictionary.csv","authoritative_variable_id","omega_","DOWNSTREAM__omega_adj_CORP; DOWNSTREAM__omega_adj_NFC; omega_NFC_productive_origin_GVA","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/handoff/D10_clean_session_handoff.md","text","q_omega","q_omega","PARKED_REFERENCE_ONLY"
"output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/reports/D10_clean_decision_report.md","text","q_omega","q_omega","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_COINTEGRATION_READINESS_LEDGER.csv","column_name","q_omega","q_omega_reintroduced","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_COINTEGRATION_READINESS_LEDGER.csv","column_name","omega_","q_omega_reintroduced","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_COINTEGRATION_READINESS_LEDGER.csv","variables","omega_","Y_REAL_NFC_GVA_BASELINE_D09; K_capacity; K_ME; K_NRC; omega_NFC_productive_origin_GVA; pi_NFC_productive_origin_GVA; omega_CORP_raw_GVA; omega_CORP_raw_NVA","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_D10_INPUT_DISCOVERY_LEDGER.csv","column_names","omega_","year | CORP_NET_OPERATING_SURPLUS_SHARE_GVA | CORP_NET_OPERATING_SURPLUS_SHARE_NVA | CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_PROXY | CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_GVA | CORP_NOS_NET_MATCHED_FINANCIAL_CLAIMS_SHARE_NVA | CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY | CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_GVA | CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_SHARE_NVA | DELTA_G_TOT | DLOG_G_TOT | DLOG_N_TOT | FIN_AFTER_TAX_IMPLIED | FIN_CFC_IMPLIED | FIN_COMP_IMPLIED | FIN_DIVIDENDS_NET_IMPLIED | FIN_GVA_IMPLIED | FIN_NET_INT_IMPLIED | FIN_NOS_IMPLIED | FIN_NOS_RESIDUAL_AFTER_MATCHED_FINANCIAL_CLAIMS | FIN_NOS_RESIDUAL_AFTER_NFC_FINANCIAL_CLAIMS | FIN_NVA_IMPLIED | FIN_PAT_IMPLIED | FIN_PBT_IMPLIED | FIN_PROFITS_IVA_CC_IMPLIED | FIN_TAX_IMPLIED | FIN_TRANSFERS_NET_IMPLIED | FIN_UNDISTRIBUTED_IMPLIED | G_TOT_GPIM_2017 | GROWTH_ARITH_G_TOT | GROWTH_ARITH_N_TOT | I_TOT_REAL_2017 | K_capacity | K_ME | K_NRC | L1_DLOG_G_TOT | L1_DLOG_N_TOT | L1_LOG_G_TOT | L1_LOG_N_TOT | LOG_G_TOT_GPIM_2017 | LOG_I_TOT_REAL_2017 | LOG_N_TOT_GPIM_2017 | N_TOT_GPIM_2017 | NFC_COMPENSATION_SHARE_GVA | NFC_COMPENSATION_SHARE_NVA | NFC_FINANCIAL_CLAIMS_BURDEN_NOS | NFC_FINANCIAL_CLAIMS_BURDEN_NVA | NFC_NET_INTEREST_MISC_PAYMENTS_PROXY | NFC_NET_OPERATING_SURPLUS_SHARE_GVA | NFC_NET_OPERATING_SURPLUS_SHARE_NVA | NFC_SURPLUS_AFTER_NET_INTEREST_PROXY | NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_GVA | NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_NVA | omega_CORP_raw_GVA | omega_CORP_raw_NVA | omega_NFC_productive_origin_GVA | pi_NFC_productive_origin_GVA | y_real_nfc_gva_baseline | Y_REAL_NFC_GVA_BASELINE | Y_REAL_NFC_GVA_BASELINE_D09 | y_real_nfc_gva_proxy_business_output | Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT | y_real_nfc_gva_proxy_gdp_implicit | Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT | y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance | Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE | y_real_nfc_gva_proxy_gdpbyind_va_manufacturing | Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING | y_real_nfc_gva_proxy_nonfarm_business_output | Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT | y_real_nfc_gva_proxy_nonfarm_business_output_bls | Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_INTEGRATION_DIAGNOSTICS_LEDGER.csv","variable_name","omega_","omega_NFC_productive_origin_GVA","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_MISSINGNESS_LEDGER.csv","variable_name","q_omega","q_omega; q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_MISSINGNESS_LEDGER.csv","variable_name","omega_","DOWNSTREAM__omega_adj_CORP; DOWNSTREAM__omega_adj_NFC; omega_CORP_raw_GVA; omega_CORP_raw_NVA; omega_NFC_productive_origin_GVA; q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_MODEL_MENU_ADMISSIBILITY_LEDGER.csv","variable_name","q_omega","q_omega; q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_MODEL_MENU_ADMISSIBILITY_LEDGER.csv","variable_name","omega_","DOWNSTREAM__omega_adj_CORP; DOWNSTREAM__omega_adj_NFC; omega_CORP_raw_GVA; omega_CORP_raw_NVA; omega_NFC_productive_origin_GVA; q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_QOMEGA_LEAKAGE_AUDIT.csv","matched_pattern","q_omega","q_omega","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_QOMEGA_LEAKAGE_AUDIT.csv","offending_value","q_omega","q_omega; q_omega_family_columns; q_omega_family_columns; q_omega remains parked and was not constructed.; No q_omega-family columns were created.; q_omega; q_omega remains parked and is listed only in the blocked/parked ledger.","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_QOMEGA_LEAKAGE_AUDIT.csv","D11_status","qomega","OMEGA_NAMING_REFERENCE_NOT_QOMEGA","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_QOMEGA_LEAKAGE_AUDIT.csv","matched_pattern","omega_","omega_","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_QOMEGA_LEAKAGE_AUDIT.csv","offending_value","omega_","q_omega; q_omega_family_columns; q_omega_family_columns; omega_NFC_productive_origin_GVA; omega_CORP_raw_GVA; omega_CORP_raw_NVA; omega_CORP_raw_GVA; omega_CORP_raw_NVA; omega_NFC_productive_origin_GVA; DOWNSTREAM__omega_adj_CORP; DOWNSTREAM__omega_adj_NFC; omega_CORP_raw_GVA; omega_CORP_raw_NVA; omega_NFC_productive_origin_GVA","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_QOMEGA_LEAKAGE_AUDIT.csv","D11_status","omega_","OMEGA_NAMING_REFERENCE_NOT_QOMEGA","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_SAMPLE_WINDOW_LEDGER.csv","variable_name","q_omega","q_omega; q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_SAMPLE_WINDOW_LEDGER.csv","variable_name","omega_","DOWNSTREAM__omega_adj_CORP; DOWNSTREAM__omega_adj_NFC; omega_CORP_raw_GVA; omega_CORP_raw_NVA; omega_NFC_productive_origin_GVA; q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_THEORETICAL_BOUNDARY_AUDIT.csv","variable_name","q_omega","q_omega; q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_THEORETICAL_BOUNDARY_AUDIT.csv","detected_category","q_omega","q_omega_or_parked_qomega","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_THEORETICAL_BOUNDARY_AUDIT.csv","detected_category","qomega","q_omega_or_parked_qomega","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_THEORETICAL_BOUNDARY_AUDIT.csv","variable_name","omega_","omega_CORP_raw_GVA; omega_CORP_raw_NVA; omega_NFC_productive_origin_GVA; q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_THEORETICAL_BOUNDARY_AUDIT.csv","detected_category","omega_","q_omega_or_parked_qomega","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_TRANSFORMATION_READINESS_LEDGER.csv","variable_name","q_omega","q_omega; q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_TRANSFORMATION_READINESS_LEDGER.csv","variable_name","omega_","DOWNSTREAM__omega_adj_CORP; DOWNSTREAM__omega_adj_NFC; omega_CORP_raw_GVA; omega_CORP_raw_NVA; omega_NFC_productive_origin_GVA; q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_VALIDATION_CHECKS.csv","check_name","q_omega","q_omega leakage audit written; No q_omega constructed-variable leakage","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_VARIABLE_AVAILABILITY_LEDGER.csv","variable_name","q_omega","q_omega; q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/csv/D11_VARIABLE_AVAILABILITY_LEDGER.csv","variable_name","omega_","DOWNSTREAM__omega_adj_CORP; DOWNSTREAM__omega_adj_NFC; omega_CORP_raw_GVA; omega_CORP_raw_NVA; omega_NFC_productive_origin_GVA; q_omega_family_columns","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/D11_README.md","text","q_omega","q_omega","PARKED_REFERENCE_ONLY"
"output/US/D11_INTEGRATION_AND_ESTIMATION_READINESS_REVIEW/D11_TERMINAL_DECISION.md","text","q_omega","q_omega","PARKED_REFERENCE_ONLY"
