queue_rank,variable_id,display_name,concept_family,construction_family,sector_boundary,account_position,candidate_status,object_admissibility,source_observation_rows,coverage_start,coverage_end,s23_authorization_scope,can_construct_in_s23,can_model_in_s23,required_before_implementation,notes_s23
1,CORP_AFTER_TAX,CORP_profits_after_tax_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
12,CORP_TAX,CORP_taxes_corporate_income,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
13,CORP_TRANSFERS_NET,CORP_business_current_transfers_net,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
14,CORP_UNDISTRIBUTED,CORP_undistributed_profits_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,CORP,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
15,NFC_AFTER_TAX,NFC_profits_after_tax_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
16,NFC_CFC,NFC_consumption_fixed_capital,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
17,NFC_COMP,NFC_compensation_employees,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
18,NFC_DIVIDENDS_NET,NFC_net_dividends,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
19,NFC_GVA,NFC_gross_value_added,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
20,NFC_NET_INT,NFC_net_interest_misc_payments,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
21,NFC_NOS,NFC_net_operating_surplus,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
22,NFC_NVA,NFC_net_value_added,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
23,NFC_PAT,NFC_profits_after_tax,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
24,NFC_PBT,NFC_profits_before_tax,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
25,NFC_PROFITS_IVA_CC,NFC_profits_with_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
26,NFC_RETAINED,NFC_undistributed_profits_after_tax,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
27,NFC_TAX,NFC_taxes_corporate_income,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
28,NFC_TRANSFERS_NET,NFC_business_current_transfers_net,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
29,NFC_UNDISTRIBUTED,NFC_undistributed_profits_IVA_CCAdj,Shaikh_income_correction_and_distributive_variables,income_distribution_source_inputs,NFC,income_accounts,READY_AS_BASELINE,eligible_for_model_input_preparation_only,97.0,1929.0,2025.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
1,GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost,GOV_TRANS_highways_streets_cfc_current_cost,GOV_TRANS_GPIM_and_frontier_conditioning_variables,fixed_assets_source_inputs,GOV_TRANS,government_fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
2,GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost,GOV_TRANS_highways_streets_gross_investment_current_cost,GOV_TRANS_GPIM_and_frontier_conditioning_variables,fixed_assets_source_inputs,GOV_TRANS,government_fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
3,GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost,GOV_TRANS_highways_streets_net_stock_current_cost,GOV_TRANS_GPIM_and_frontier_conditioning_variables,fixed_assets_source_inputs,GOV_TRANS,government_fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
4,GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index,GOV_TRANS_highways_streets_net_stock_quantity_index,GOV_TRANS_GPIM_and_frontier_conditioning_variables,fixed_assets_source_inputs,GOV_TRANS,government_fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
5,GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost,GOV_TRANS_transportation_structures_cfc_current_cost,GOV_TRANS_GPIM_and_frontier_conditioning_variables,fixed_assets_source_inputs,GOV_TRANS,government_fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
6,GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost,GOV_TRANS_transportation_structures_gross_investment_current_cost,GOV_TRANS_GPIM_and_frontier_conditioning_variables,fixed_assets_source_inputs,GOV_TRANS,government_fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
7,GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost,GOV_TRANS_transportation_structures_net_stock_current_cost,GOV_TRANS_GPIM_and_frontier_conditioning_variables,fixed_assets_source_inputs,GOV_TRANS,government_fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
8,GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index,GOV_TRANS_transportation_structures_net_stock_quantity_index,GOV_TRANS_GPIM_and_frontier_conditioning_variables,fixed_assets_source_inputs,GOV_TRANS,government_fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
9,CORP__ME__cfc_current_cost,CORP_machinery_equipment_cfc_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
10,CORP__ME__gross_investment_current_cost,CORP_machinery_equipment_gross_investment_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
11,CORP__ME__net_stock_current_cost,CORP_machinery_equipment_net_stock_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
12,CORP__ME__net_stock_quantity_index,CORP_machinery_equipment_net_stock_quantity_index,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
13,CORP__NRC__cfc_current_cost,CORP_nonresidential_structures_cfc_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
14,CORP__NRC__gross_investment_current_cost,CORP_nonresidential_structures_gross_investment_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
15,CORP__NRC__net_stock_current_cost,CORP_nonresidential_structures_net_stock_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
16,CORP__NRC__net_stock_quantity_index,CORP_nonresidential_structures_net_stock_quantity_index,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
17,FIN__ME__cfc_current_cost,FIN_machinery_equipment_cfc_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
18,FIN__ME__gross_investment_current_cost,FIN_machinery_equipment_gross_investment_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
19,FIN__ME__net_stock_current_cost,FIN_machinery_equipment_net_stock_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
20,FIN__ME__net_stock_quantity_index,FIN_machinery_equipment_net_stock_quantity_index,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
21,FIN__NRC__cfc_current_cost,FIN_nonresidential_structures_cfc_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
22,FIN__NRC__gross_investment_current_cost,FIN_nonresidential_structures_gross_investment_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
23,FIN__NRC__net_stock_current_cost,FIN_nonresidential_structures_net_stock_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
24,FIN__NRC__net_stock_quantity_index,FIN_nonresidential_structures_net_stock_quantity_index,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
25,NFC__ME__cfc_current_cost,NFC_machinery_equipment_cfc_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
26,NFC__ME__gross_investment_current_cost,NFC_machinery_equipment_gross_investment_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
27,NFC__ME__net_stock_current_cost,NFC_machinery_equipment_net_stock_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
28,NFC__ME__net_stock_quantity_index,NFC_machinery_equipment_net_stock_quantity_index,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
29,NFC__NRC__cfc_current_cost,NFC_nonresidential_structures_cfc_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
30,NFC__NRC__gross_investment_current_cost,NFC_nonresidential_structures_gross_investment_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
31,NFC__NRC__net_stock_current_cost,NFC_nonresidential_structures_net_stock_current_cost,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
32,NFC__NRC__net_stock_quantity_index,NFC_nonresidential_structures_net_stock_quantity_index,downstream_GPIM_and_K_cap,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
33,CORP__IPP__cfc_current_cost,CORP_intellectual_property_products_cfc_current_cost,frontier_conditioning_variables,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
34,CORP__IPP__gross_investment_current_cost,CORP_intellectual_property_products_gross_investment_current_cost,frontier_conditioning_variables,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
35,CORP__IPP__net_stock_current_cost,CORP_intellectual_property_products_net_stock_current_cost,frontier_conditioning_variables,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
36,CORP__IPP__net_stock_quantity_index,CORP_intellectual_property_products_net_stock_quantity_index,frontier_conditioning_variables,fixed_assets_source_inputs,CORP,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
37,FIN__IPP__cfc_current_cost,FIN_intellectual_property_products_cfc_current_cost,frontier_conditioning_variables,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
38,FIN__IPP__gross_investment_current_cost,FIN_intellectual_property_products_gross_investment_current_cost,frontier_conditioning_variables,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
39,FIN__IPP__net_stock_current_cost,FIN_intellectual_property_products_net_stock_current_cost,frontier_conditioning_variables,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
40,FIN__IPP__net_stock_quantity_index,FIN_intellectual_property_products_net_stock_quantity_index,frontier_conditioning_variables,fixed_assets_source_inputs,FIN,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
41,NFC__IPP__cfc_current_cost,NFC_intellectual_property_products_cfc_current_cost,frontier_conditioning_variables,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
42,NFC__IPP__gross_investment_current_cost,NFC_intellectual_property_products_gross_investment_current_cost,frontier_conditioning_variables,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,124.0,1901.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
43,NFC__IPP__net_stock_current_cost,NFC_intellectual_property_products_net_stock_current_cost,frontier_conditioning_variables,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
44,NFC__IPP__net_stock_quantity_index,NFC_intellectual_property_products_net_stock_quantity_index,frontier_conditioning_variables,fixed_assets_source_inputs,NFC,fixed_assets,READY_AS_BASELINE,eligible_for_model_input_preparation_only,100.0,1925.0,2024.0,future_implementation_planning_only,no,no,separate S24 implementation pass; preserve provider provenance; no modeling,Authorized baseline object from S22; queued for future implementation only.
