"variable_id","source_file","source_stage","sector_account_boundary","numerator","denominator","unit","frequency","year_coverage_start","year_coverage_end","finite_observations","adjusted_unadjusted","kind","authorization","s20_support_compatibility","joinable_by_year","candidate_status","evidence"
"omega_CORP","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","historical_pre_GPIM_S20_capital_distribution_frontier","corporate","CORP_COMP","CORP_GVA","ratio","annual",1929,2025,97,"unadjusted","wage_share_or_wage_share_ingredient","HISTORICAL_VALIDATED_OUTPUT_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract; old panel includes superseded capital/frontier layer","yes","AUDITED_NOT_ATTACHABLE_CURRENT_S20","Legacy panel has annual observations, but current S20 output/US/S20_MODEL_INPUT_LAYER remains the governing S20 layer. The current S20 distribution ledger keeps wage-share attachment pending."
"omega_NFC","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","historical_pre_GPIM_S20_capital_distribution_frontier","nonfinancial_corporate","NFC_COMP","NFC_GVA","ratio","annual",1929,2025,97,"unadjusted","wage_share_or_wage_share_ingredient","HISTORICAL_VALIDATED_OUTPUT_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract; old panel includes superseded capital/frontier layer","yes","AUDITED_NOT_ATTACHABLE_CURRENT_S20","Legacy panel has annual observations, but current S20 output/US/S20_MODEL_INPUT_LAYER remains the governing S20 layer. The current S20 distribution ledger keeps wage-share attachment pending."
"pi_res_CORP","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","historical_pre_GPIM_S20_capital_distribution_frontier","corporate","1_minus_unadjusted_wage_share","gross_value_added","ratio","annual",1929,2025,97,"unadjusted","profit_share_or_profit_ingredient","HISTORICAL_VALIDATED_OUTPUT_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract; old panel includes superseded capital/frontier layer","yes","AUDITED_NOT_ATTACHABLE_CURRENT_S20","Legacy panel has annual observations, but current S20 output/US/S20_MODEL_INPUT_LAYER remains the governing S20 layer. The current S20 distribution ledger keeps wage-share attachment pending."
"pi_res_NFC","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","historical_pre_GPIM_S20_capital_distribution_frontier","nonfinancial_corporate","1_minus_unadjusted_wage_share","gross_value_added","ratio","annual",1929,2025,97,"unadjusted","profit_share_or_profit_ingredient","HISTORICAL_VALIDATED_OUTPUT_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract; old panel includes superseded capital/frontier layer","yes","AUDITED_NOT_ATTACHABLE_CURRENT_S20","Legacy panel has annual observations, but current S20 output/US/S20_MODEL_INPUT_LAYER remains the governing S20 layer. The current S20 distribution ledger keeps wage-share attachment pending."
"e_CORP","data/processed/us_s20/us_s20_construction_ledger.csv","historical_pre_GPIM_S20_construction_ledger","corporate","pi_res_CORP","omega_CORP","ratio","annual",,,,"unadjusted","alternative_distribution_proxy","HISTORICAL_LEDGER_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract","not_observation_table","AUDITED_NOT_ATTACHABLE_CURRENT_S20","alternative_proxy | constructed | S10 stages direct NIPA compensation and gross-value-added lines and registers unadjusted wage shares as the preferred first-pass baseline."
"e_NFC","data/processed/us_s20/us_s20_construction_ledger.csv","historical_pre_GPIM_S20_construction_ledger","nonfinancial_corporate","pi_res_NFC","omega_NFC","ratio","annual",,,,"unadjusted","alternative_distribution_proxy","HISTORICAL_LEDGER_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract","not_observation_table","AUDITED_NOT_ATTACHABLE_CURRENT_S20","alternative_proxy | constructed | S10 stages direct NIPA compensation and gross-value-added lines and registers unadjusted wage shares as the preferred first-pass baseline."
"ln_e_CORP","data/processed/us_s20/us_s20_construction_ledger.csv","historical_pre_GPIM_S20_construction_ledger","corporate","declared_in_formula","declared_in_formula","ratio","annual",,,,"unadjusted","alternative_distribution_proxy","HISTORICAL_LEDGER_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract","not_observation_table","AUDITED_NOT_ATTACHABLE_CURRENT_S20","alternative_proxy | constructed | S10 stages direct NIPA compensation and gross-value-added lines and registers unadjusted wage shares as the preferred first-pass baseline."
"ln_e_NFC","data/processed/us_s20/us_s20_construction_ledger.csv","historical_pre_GPIM_S20_construction_ledger","nonfinancial_corporate","declared_in_formula","declared_in_formula","ratio","annual",,,,"unadjusted","alternative_distribution_proxy","HISTORICAL_LEDGER_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract","not_observation_table","AUDITED_NOT_ATTACHABLE_CURRENT_S20","alternative_proxy | constructed | S10 stages direct NIPA compensation and gross-value-added lines and registers unadjusted wage shares as the preferred first-pass baseline."
"omega_CORP","data/processed/us_s20/us_s20_construction_ledger.csv","historical_pre_GPIM_S20_construction_ledger","corporate","CORP_COMP","CORP_GVA","ratio","annual",,,,"unadjusted","wage_share_or_wage_share_ingredient","HISTORICAL_LEDGER_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract","not_observation_table","AUDITED_NOT_ATTACHABLE_CURRENT_S20","preferred_baseline | constructed | S10 stages direct NIPA compensation and gross-value-added lines and registers unadjusted wage shares as the preferred first-pass baseline."
"omega_NFC","data/processed/us_s20/us_s20_construction_ledger.csv","historical_pre_GPIM_S20_construction_ledger","nonfinancial_corporate","NFC_COMP","NFC_GVA","ratio","annual",,,,"unadjusted","wage_share_or_wage_share_ingredient","HISTORICAL_LEDGER_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract","not_observation_table","AUDITED_NOT_ATTACHABLE_CURRENT_S20","preferred_baseline | constructed | S10 stages direct NIPA compensation and gross-value-added lines and registers unadjusted wage shares as the preferred first-pass baseline."
"pi_res_CORP","data/processed/us_s20/us_s20_construction_ledger.csv","historical_pre_GPIM_S20_construction_ledger","corporate","declared_in_formula","declared_in_formula","ratio","annual",,,,"unadjusted","profit_share_or_profit_ingredient","HISTORICAL_LEDGER_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract","not_observation_table","AUDITED_NOT_ATTACHABLE_CURRENT_S20","residual_share | constructed | S10 stages direct NIPA compensation and gross-value-added lines and registers unadjusted wage shares as the preferred first-pass baseline."
"pi_res_NFC","data/processed/us_s20/us_s20_construction_ledger.csv","historical_pre_GPIM_S20_construction_ledger","nonfinancial_corporate","declared_in_formula","declared_in_formula","ratio","annual",,,,"unadjusted","profit_share_or_profit_ingredient","HISTORICAL_LEDGER_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","not_current_S20_contract","not_observation_table","AUDITED_NOT_ATTACHABLE_CURRENT_S20","residual_share | constructed | S10 stages direct NIPA compensation and gross-value-added lines and registers unadjusted wage shares as the preferred first-pass baseline."
"e","data/processed/us_nf_corporate_stageBC.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","legacy_formula","legacy_formula","ratio_or_index","annual",1929,2024,96,"unadjusted_legacy","distribution_related","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"mu","data/processed/us_nf_corporate_stageBC.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","legacy_formula","legacy_formula","ratio_or_index","annual",1929,2024,96,"econometric_or_capacity_object","distribution_related","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"mu_ect","data/processed/us_nf_corporate_stageBC.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","legacy_formula","legacy_formula","ratio_or_index","annual",1929,2024,96,"econometric_or_capacity_object","distribution_related","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"omega","data/processed/us_nf_corporate_stageBC.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","EC","GVA","ratio_or_index","annual",1929,2024,96,"unadjusted_legacy","wage_share_or_wage_share_ingredient","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"pi","data/processed/us_nf_corporate_stageBC.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","GOS","GVA","ratio_or_index","annual",1929,2024,96,"unadjusted_legacy","profit_share_or_profit_ingredient","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"theta","data/processed/us_nf_corporate_stageBC.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","legacy_formula","legacy_formula","ratio_or_index","annual",1929,2024,96,"econometric_or_capacity_object","distribution_related","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"e","data/processed/us_nf_corporate_stageC.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","legacy_formula","legacy_formula","ratio_or_index","annual",1929,2024,96,"unadjusted_legacy","distribution_related","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"mu","data/processed/us_nf_corporate_stageC.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","legacy_formula","legacy_formula","ratio_or_index","annual",1929,2024,96,"econometric_or_capacity_object","distribution_related","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"mu_ect","data/processed/us_nf_corporate_stageC.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","legacy_formula","legacy_formula","ratio_or_index","annual",1929,2024,96,"econometric_or_capacity_object","distribution_related","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"omega","data/processed/us_nf_corporate_stageC.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","EC","GVA","ratio_or_index","annual",1929,2024,96,"unadjusted_legacy","wage_share_or_wage_share_ingredient","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"pi","data/processed/us_nf_corporate_stageC.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","GOS","GVA","ratio_or_index","annual",1929,2024,96,"unadjusted_legacy","profit_share_or_profit_ingredient","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"theta","data/processed/us_nf_corporate_stageC.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","legacy_formula","legacy_formula","ratio_or_index","annual",1929,2024,96,"econometric_or_capacity_object","distribution_related","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"mu","output/_legacy/stage_a/US/csv/theta_omega_tibble_us.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","legacy_formula","legacy_formula","ratio_or_index","annual",1929,2024,96,"econometric_or_capacity_object","distribution_related","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"mu_ect","output/_legacy/stage_a/US/csv/theta_omega_tibble_us.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","legacy_formula","legacy_formula","ratio_or_index","annual",1929,2024,96,"econometric_or_capacity_object","distribution_related","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"omega","output/_legacy/stage_a/US/csv/theta_omega_tibble_us.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","EC","GVA","ratio_or_index","annual",1929,2024,96,"unadjusted_legacy","wage_share_or_wage_share_ingredient","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"theta","output/_legacy/stage_a/US/csv/theta_omega_tibble_us.csv","legacy_or_econometric_artifact","legacy_nonfinancial_corporate_or_not_declared","legacy_formula","legacy_formula","ratio_or_index","annual",1929,2024,96,"econometric_or_capacity_object","distribution_related","LEGACY_NOT_CURRENT_AUTHORITY","no; contains legacy econometric/capacity objects or pre-current capital boundary","yes","BLOCKED_LEGACY_OR_ECONOMETRIC_ARTIFACT","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"CORP_COMP","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","corporate","direct_observation_if_numerator","direct_observation_if_denominator","Millions of current dollars","A",1929,2025,97,"unadjusted_source_ingredient","wage_share_or_wage_share_ingredient","STAGED_SOURCE_INGREDIENT_NOT_SHARE_ATTACHMENT","ingredients_only; share formula not authorized in current S20","yes","AUDITED_INGREDIENT_ONLY_NOT_ATTACHABLE","Direct ingredient observations exist in repo-local S10 panel; S20B does not construct a new wage share from ingredients."
"CORP_GVA","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","corporate","direct_observation_if_numerator","direct_observation_if_denominator","Millions of current dollars","A",1929,2025,97,"unadjusted_source_ingredient","distribution_related","STAGED_SOURCE_INGREDIENT_NOT_SHARE_ATTACHMENT","ingredients_only; share formula not authorized in current S20","yes","AUDITED_INGREDIENT_ONLY_NOT_ATTACHABLE","Direct ingredient observations exist in repo-local S10 panel; S20B does not construct a new wage share from ingredients."
"CORP_NOS","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","corporate","direct_observation_if_numerator","direct_observation_if_denominator","Millions of current dollars","A",1929,2025,97,"unadjusted_source_ingredient","profit_share_or_profit_ingredient","STAGED_SOURCE_INGREDIENT_NOT_SHARE_ATTACHMENT","ingredients_only; share formula not authorized in current S20","yes","AUDITED_INGREDIENT_ONLY_NOT_ATTACHABLE","Direct ingredient observations exist in repo-local S10 panel; S20B does not construct a new wage share from ingredients."
"CORP_NVA","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","corporate","direct_observation_if_numerator","direct_observation_if_denominator","Millions of current dollars","A",1929,2025,97,"unadjusted_source_ingredient","distribution_related","STAGED_SOURCE_INGREDIENT_NOT_SHARE_ATTACHMENT","ingredients_only; share formula not authorized in current S20","yes","AUDITED_INGREDIENT_ONLY_NOT_ATTACHABLE","Direct ingredient observations exist in repo-local S10 panel; S20B does not construct a new wage share from ingredients."
"NFC_COMP","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","nonfinancial_corporate","direct_observation_if_numerator","direct_observation_if_denominator","Millions of current dollars","A",1929,2025,97,"unadjusted_source_ingredient","wage_share_or_wage_share_ingredient","STAGED_SOURCE_INGREDIENT_NOT_SHARE_ATTACHMENT","ingredients_only; share formula not authorized in current S20","yes","AUDITED_INGREDIENT_ONLY_NOT_ATTACHABLE","Direct ingredient observations exist in repo-local S10 panel; S20B does not construct a new wage share from ingredients."
"NFC_GVA","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","nonfinancial_corporate","direct_observation_if_numerator","direct_observation_if_denominator","Millions of current dollars","A",1929,2025,97,"unadjusted_source_ingredient","distribution_related","STAGED_SOURCE_INGREDIENT_NOT_SHARE_ATTACHMENT","ingredients_only; share formula not authorized in current S20","yes","AUDITED_INGREDIENT_ONLY_NOT_ATTACHABLE","Direct ingredient observations exist in repo-local S10 panel; S20B does not construct a new wage share from ingredients."
"NFC_NOS","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","nonfinancial_corporate","direct_observation_if_numerator","direct_observation_if_denominator","Millions of current dollars","A",1929,2025,97,"unadjusted_source_ingredient","profit_share_or_profit_ingredient","STAGED_SOURCE_INGREDIENT_NOT_SHARE_ATTACHMENT","ingredients_only; share formula not authorized in current S20","yes","AUDITED_INGREDIENT_ONLY_NOT_ATTACHABLE","Direct ingredient observations exist in repo-local S10 panel; S20B does not construct a new wage share from ingredients."
"NFC_NVA","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","nonfinancial_corporate","direct_observation_if_numerator","direct_observation_if_denominator","Millions of current dollars","A",1929,2025,97,"unadjusted_source_ingredient","distribution_related","STAGED_SOURCE_INGREDIENT_NOT_SHARE_ATTACHMENT","ingredients_only; share formula not authorized in current S20","yes","AUDITED_INGREDIENT_ONLY_NOT_ATTACHABLE","Direct ingredient observations exist in repo-local S10 panel; S20B does not construct a new wage share from ingredients."
"CORP_COMP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","wage_share_or_wage_share_ingredient","staged_source_ingredient","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","income_account_ingredient | staged_source_ingredient | S10 registers candidates but current S20B requires a current attachment contract."
"CORP_PROFITS_IVA_CC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"unadjusted_or_source_ingredient","profit_share_or_profit_ingredient","staged_source_ingredient","not_current_S20_attachment_contract","not_validated_here","REGISTERED_OR_PENDING_NOT_ATTACHABLE","income_account_ingredient | staged_source_ingredient | S10 registers candidates but current S20B requires a current attachment contract."
"CorpImpIntAdj_t","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S10_source_of_truth_scaffold","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"adjusted_blocked","profit_share_or_profit_ingredient","blocked_pending_current_release_protocol","not_current_S20_attachment_contract","not_validated_here","BLOCKED","Shaikh_style_interest_adjustment | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
