"stage_id","variable_id","transformation_family","exact_formula","lag_order","formula_status","construction_status"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GAP_ARITH_LOG_G_TOT","arithmetic_log_growth_gap","GAP_ARITH_LOG_G_TOT = GROWTH_ARITH_G_TOT - DLOG_G_TOT",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GAP_ARITH_LOG_I_ME","arithmetic_log_growth_gap","GAP_ARITH_LOG_I_ME = GROWTH_ARITH_I_ME - DLOG_I_ME",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GAP_ARITH_LOG_I_NRC","arithmetic_log_growth_gap","GAP_ARITH_LOG_I_NRC = GROWTH_ARITH_I_NRC - DLOG_I_NRC",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GAP_ARITH_LOG_I_TOT","arithmetic_log_growth_gap","GAP_ARITH_LOG_I_TOT = GROWTH_ARITH_I_TOT - DLOG_I_TOT",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GAP_ARITH_LOG_N_ME","arithmetic_log_growth_gap","GAP_ARITH_LOG_N_ME = GROWTH_ARITH_N_ME - DLOG_N_ME",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GAP_ARITH_LOG_N_NRC","arithmetic_log_growth_gap","GAP_ARITH_LOG_N_NRC = GROWTH_ARITH_N_NRC - DLOG_N_NRC",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GAP_ARITH_LOG_N_TOT","arithmetic_log_growth_gap","GAP_ARITH_LOG_N_TOT = GROWTH_ARITH_N_TOT - DLOG_N_TOT",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GROSS_ACCUMULATION_NET_FLOW_ME","gross_stock_flow_net_change","I_ME_REAL_2017 - RET_ME_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GROSS_ACCUMULATION_NET_FLOW_NRC","gross_stock_flow_net_change","I_NRC_REAL_2017 - RET_NRC_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GROSS_ACCUMULATION_NET_FLOW_TOT","gross_stock_flow_net_change","I_TOT_REAL_2017 - RET_TOT_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GROWTH_ARITH_G_ME","arithmetic_growth","GROWTH_ARITH_G_ME = (X_t - X_t_minus_1) / X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GROWTH_ARITH_G_NRC","arithmetic_growth","GROWTH_ARITH_G_NRC = (X_t - X_t_minus_1) / X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GROWTH_ARITH_G_TOT","arithmetic_growth","GROWTH_ARITH_G_TOT = (X_t - X_t_minus_1) / X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GROWTH_ARITH_I_ME","arithmetic_growth","GROWTH_ARITH_I_ME = (X_t - X_t_minus_1) / X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GROWTH_ARITH_I_NRC","arithmetic_growth","GROWTH_ARITH_I_NRC = (X_t - X_t_minus_1) / X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GROWTH_ARITH_I_TOT","arithmetic_growth","GROWTH_ARITH_I_TOT = (X_t - X_t_minus_1) / X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GROWTH_ARITH_N_ME","arithmetic_growth","GROWTH_ARITH_N_ME = (X_t - X_t_minus_1) / X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GROWTH_ARITH_N_NRC","arithmetic_growth","GROWTH_ARITH_N_NRC = (X_t - X_t_minus_1) / X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","GROWTH_ARITH_N_TOT","arithmetic_growth","GROWTH_ARITH_N_TOT = (X_t - X_t_minus_1) / X_t_minus_1",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","I_TOT_REAL_2017","tot_alias","I_TOT_REAL_2017 = I_CORE_REAL_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","INV_RATE_G_ME","investment_rate_diagnostic","I_ME_REAL_2017 / lag1(G_ME_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","INV_RATE_G_NRC","investment_rate_diagnostic","I_NRC_REAL_2017 / lag1(G_NRC_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","INV_RATE_G_TOT","investment_rate_diagnostic","I_TOT_REAL_2017 / lag1(G_TOT_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","K_GROSS_ME","level_alias","K_GROSS_ME = G_ME_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","K_GROSS_NRC","level_alias","K_GROSS_NRC = G_NRC_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","K_GROSS_TOT","level_alias","K_GROSS_TOT = G_TOT_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","K_NET_ME","level_alias","K_NET_ME = N_ME_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","K_NET_NRC","level_alias","K_NET_NRC = N_NRC_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","K_NET_TOT","level_alias","K_NET_TOT = N_TOT_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","L1_DLOG_G_ME","lag1","L1_DLOG_G_ME = lag1(DLOG_G_ME)",1,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","L1_DLOG_G_NRC","lag1","L1_DLOG_G_NRC = lag1(DLOG_G_NRC)",1,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","L1_DLOG_G_TOT","lag1","L1_DLOG_G_TOT = lag1(DLOG_G_TOT)",1,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","L1_DLOG_N_ME","lag1","L1_DLOG_N_ME = lag1(DLOG_N_ME)",1,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","L1_DLOG_N_NRC","lag1","L1_DLOG_N_NRC = lag1(DLOG_N_NRC)",1,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","L1_DLOG_N_TOT","lag1","L1_DLOG_N_TOT = lag1(DLOG_N_TOT)",1,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","L1_LOG_G_ME","lag1","L1_LOG_G_ME = lag1(LOG_G_ME_GPIM_2017)",1,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","L1_LOG_G_NRC","lag1","L1_LOG_G_NRC = lag1(LOG_G_NRC_GPIM_2017)",1,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","L1_LOG_G_TOT","lag1","L1_LOG_G_TOT = lag1(LOG_G_TOT_GPIM_2017)",1,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","L1_LOG_N_ME","lag1","L1_LOG_N_ME = lag1(LOG_N_ME_GPIM_2017)",1,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","L1_LOG_N_NRC","lag1","L1_LOG_N_NRC = lag1(LOG_N_NRC_GPIM_2017)",1,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","L1_LOG_N_TOT","lag1","L1_LOG_N_TOT = lag1(LOG_N_TOT_GPIM_2017)",1,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","LOG_G_ME_GPIM_2017","log_gross","LOG_G_ME_GPIM_2017 = log(G_ME_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","LOG_G_NRC_GPIM_2017","log_gross","LOG_G_NRC_GPIM_2017 = log(G_NRC_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","LOG_G_TOT_GPIM_2017","log_gross","LOG_G_TOT_GPIM_2017 = log(G_TOT_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","LOG_I_ME_REAL_2017","log_investment","LOG_I_ME_REAL_2017 = log(I_ME_REAL_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","LOG_I_NRC_REAL_2017","log_investment","LOG_I_NRC_REAL_2017 = log(I_NRC_REAL_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","LOG_I_TOT_REAL_2017","log_investment","LOG_I_TOT_REAL_2017 = log(I_TOT_REAL_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","LOG_N_ME_GPIM_2017","log_net","LOG_N_ME_GPIM_2017 = log(N_ME_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","LOG_N_NRC_GPIM_2017","log_net","LOG_N_NRC_GPIM_2017 = log(N_NRC_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","LOG_N_TOT_GPIM_2017","log_net","LOG_N_TOT_GPIM_2017 = log(N_TOT_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","N_TOT_GPIM_2017","tot_alias","N_TOT_GPIM_2017 = N_CORE_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","NET_ACCUMULATION_NET_FLOW_ME","net_stock_flow_net_change","I_ME_REAL_2017 - CFC_ME_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","NET_ACCUMULATION_NET_FLOW_NRC","net_stock_flow_net_change","I_NRC_REAL_2017 - CFC_NRC_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","NET_ACCUMULATION_NET_FLOW_TOT","net_stock_flow_net_change","I_TOT_REAL_2017 - CFC_TOT_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","RET_RATE_G_ME","retirement_rate_diagnostic","RET_ME_GPIM_2017 / lag1(G_ME_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","RET_RATE_G_NRC","retirement_rate_diagnostic","RET_NRC_GPIM_2017 / lag1(G_NRC_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","RET_RATE_G_TOT","retirement_rate_diagnostic","RET_TOT_GPIM_2017 / lag1(G_TOT_GPIM_2017)",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","RET_TOT_GPIM_2017","tot_alias","RET_TOT_GPIM_2017 = RET_CORE_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","SHARE_GROSS_ME_TOT","gross_composition_share","G_ME_GPIM_2017 / G_TOT_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","SHARE_GROSS_NRC_TOT","gross_composition_share","G_NRC_GPIM_2017 / G_TOT_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","SHARE_INVESTMENT_ME_TOT","investment_composition_share","I_ME_REAL_2017 / I_TOT_REAL_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","SHARE_INVESTMENT_NRC_TOT","investment_composition_share","I_NRC_REAL_2017 / I_TOT_REAL_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","SHARE_NET_ME_TOT","net_composition_share","N_ME_GPIM_2017 / N_TOT_GPIM_2017",0,"PASS","constructed"
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","SHARE_NET_NRC_TOT","net_composition_share","N_NRC_GPIM_2017 / N_TOT_GPIM_2017",0,"PASS","constructed"
