"review_item_id","candidate_model_id","model_family","window_id","grid_id","term","review_topic","severity","reason","recommended_review_scope"
"D12G_NO_TREND_REVIEW_011","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","full_sample","LL22","k_me_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_012","RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","full_sample","LL22","k_nrc_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_013","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","bridge_1940_1978","LL22","(Intercept)","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_014","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","bridge_1940_1978","LL22","k_me_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_015","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","bridge_1940_1978","LL22","k_nrc_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_016","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","bridge_1940_1978","LL22","omega_nfc","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_017","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","bridge_1940_1978","LL22","k_me_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_018","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","bridge_1940_1978","LL22","k_nrc_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_019","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","fordist_core","LL00","(Intercept)","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_020","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","fordist_core","LL00","k_me_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_021","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","fordist_core","LL00","k_nrc_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_022","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","fordist_core","LL00","omega_nfc","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_023","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","fordist_core","LL00","k_me_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_024","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","fordist_core","LL00","k_nrc_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_025","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","fordist_core","LL11","(Intercept)","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_026","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","fordist_core","LL11","k_me_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_027","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","fordist_core","LL11","k_nrc_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_028","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","fordist_core","LL11","omega_nfc","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_029","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","fordist_core","LL11","k_me_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_030","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","fordist_core","LL11","k_nrc_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_031","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","post_1973_full","LL00","k_me_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_032","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","post_1973_full","LL11","k_me_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_033","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","post_1973_full","LL11","k_nrc_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_034","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","post_1973_full","LL11","omega_nfc","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_035","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","post_1973_full","LL11","k_nrc_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_036","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","post_1973_full","LL22","(Intercept)","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_037","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","post_1973_full","LL22","k_me_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_038","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","post_1973_full","LL22","k_nrc_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_039","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","post_1973_full","LL22","omega_nfc","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_040","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","post_1973_full","LL22","k_nrc_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_041","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL33","NO_TREND_TREND_COMPARISON","post_1973_full","LL33","k_me_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_042","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL33","NO_TREND_TREND_COMPARISON","post_1973_full","LL33","k_nrc_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_043","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL33","NO_TREND_TREND_COMPARISON","post_1973_full","LL33","k_me_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_044","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","pre_1974_alt_1940_1973","LL00","(Intercept)","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_045","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","pre_1974_alt_1940_1973","LL00","k_me_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_046","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","pre_1974_alt_1940_1973","LL00","k_me_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_047","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","pre_1974_full","LL00","(Intercept)","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_048","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","pre_1974_full","LL00","k_me_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_049","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","pre_1974_full","LL00","k_nrc_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_050","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","pre_1974_full","LL00","omega_nfc","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_051","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","pre_1974_full","LL00","k_me_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_052","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL00","NO_TREND_TREND_COMPARISON","pre_1974_full","LL00","k_nrc_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_053","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL11","NO_TREND_TREND_COMPARISON","pre_1974_full","LL11","k_me_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_054","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","pre_1974_full","LL22","k_me_log","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_055","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","pre_1974_full","LL22","omega_nfc","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_056","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","pre_1974_full","LL22","k_me_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_057","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL22","NO_TREND_TREND_COMPARISON","pre_1974_full","LL22","k_nrc_log_x_omega","trend sensitivity relative to D12F","WARN","Trend-included diagnostic and no-trend result differ under D12F-R thresholds.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_058","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","bridge_1940_1978","LL00","k_me_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_059","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL11","WINDOWED_NO_TREND_ROBUSTNESS","bridge_1940_1978","LL11","k_me_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_060","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL22","WINDOWED_NO_TREND_ROBUSTNESS","bridge_1940_1978","LL22","k_me_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_061","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","fordist_core","LL00","k_me_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_062","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL11","WINDOWED_NO_TREND_ROBUSTNESS","fordist_core","LL11","k_me_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_063","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL33","WINDOWED_NO_TREND_ROBUSTNESS","post_1973_full","LL33","k_me_log","MAGNITUDE_SHIFT_REQUIRES_REVIEW","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_064","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","pre_1974_alt_1940_1973","LL00","k_me_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_065","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_NO_TREND_LL11","WINDOWED_NO_TREND_ROBUSTNESS","pre_1974_alt_1940_1973","LL11","k_me_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_066","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","pre_1974_alt_1947_1973","LL00","k_me_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_067","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","pre_1974_full","LL00","k_me_log","MAGNITUDE_SHIFT_REQUIRES_REVIEW","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_068","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL11","WINDOWED_NO_TREND_ROBUSTNESS","pre_1974_full","LL11","k_me_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_069","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_FULL_NO_TREND_LL22","WINDOWED_NO_TREND_ROBUSTNESS","pre_1974_full","LL22","k_me_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_070","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","bridge_1940_1978","LL00","k_nrc_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_071","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL11","WINDOWED_NO_TREND_ROBUSTNESS","bridge_1940_1978","LL11","k_nrc_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_072","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_NO_TREND_LL22","WINDOWED_NO_TREND_ROBUSTNESS","bridge_1940_1978","LL22","k_nrc_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_073","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","fordist_core","LL00","k_nrc_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_074","RDOLS_ME_NRC_OMEGA_INT_FORDIST_CORE_NO_TREND_LL11","WINDOWED_NO_TREND_ROBUSTNESS","fordist_core","LL11","k_nrc_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_075","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL22","WINDOWED_NO_TREND_ROBUSTNESS","post_1973_full","LL22","k_nrc_log","SIGNIFICANCE_SHIFT_REQUIRES_REVIEW","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_076","RDOLS_ME_NRC_OMEGA_INT_POST_1973_FULL_NO_TREND_LL33","WINDOWED_NO_TREND_ROBUSTNESS","post_1973_full","LL33","k_nrc_log","SIGNIFICANCE_SHIFT_REQUIRES_REVIEW","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_077","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","pre_1974_alt_1940_1973","LL00","k_nrc_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_078","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_NO_TREND_LL11","WINDOWED_NO_TREND_ROBUSTNESS","pre_1974_alt_1940_1973","LL11","k_nrc_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
"D12G_NO_TREND_REVIEW_079","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1947_1973_NO_TREND_LL00","WINDOWED_NO_TREND_ROBUSTNESS","pre_1974_alt_1947_1973","LL00","k_nrc_log","SIGN_FLIP","WARN","No-trend comparison against RDOLS_ME_NRC_OMEGA_INT_FULL_SAMPLE_NO_TREND_LL11 requires review.","Preliminary no-trend robustness review only."
