"object_id","object_label","object_type","construction_stage","required_source_family","analytical_role","admissibility_status","blocking_reason","notes"
"NFC__TOTAL__net_stock_current_cost","NFC_total_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt401","capital_menu_total","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__TOTAL__net_stock_quantity_index","NFC_total_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt402","capital_menu_total","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__TOTAL__official_price_index","NFC_total_official_price_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","capital_menu_total","diagnostic_pending","","Provider artifact preserved without construction. Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output."
"INVENTORIES_MENU","inventories_menu","provider_variable_contract","S00_provider_handoff","BEA:NIPA:not_available","circulation_stockflow_diagnostic","diagnostic_pending","","Provider artifact preserved without construction. Optional circulation stock-flow diagnostic."
"FIN_CFC","FIN_CFC","provider_variable_contract","S00_provider_handoff","BEA:NIPA:downstream_only","corporate_boundary_diagnostic","downstream_constructed_pending","","Provider artifact preserved without construction. Do not silently substitute total financial business. Downstream derivation must cite inputs."
"FIN_COMP","FIN_COMP","provider_variable_contract","S00_provider_handoff","BEA:NIPA:downstream_only","corporate_boundary_diagnostic","downstream_constructed_pending","","Provider artifact preserved without construction. Do not silently substitute total financial business. Downstream derivation must cite inputs."
"FIN_DIVIDENDS","FIN_DIVIDENDS","provider_variable_contract","S00_provider_handoff","BEA:NIPA:downstream_only","corporate_boundary_diagnostic","downstream_constructed_pending","","Provider artifact preserved without construction. Do not silently substitute total financial business. Downstream derivation must cite inputs."
"FIN_GVA","FIN_gross_value_added","provider_variable_contract","S00_provider_handoff","BEA:NIPA:T11400","corporate_boundary_diagnostic","staged_source_ingredient","","Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"FIN_NET_INT","FIN_NET_INT","provider_variable_contract","S00_provider_handoff","BEA:NIPA:downstream_only","corporate_boundary_diagnostic","downstream_constructed_pending","","Provider artifact preserved without construction. Do not silently substitute total financial business. Downstream derivation must cite inputs."
"FIN_NOS","FIN_NOS","provider_variable_contract","S00_provider_handoff","BEA:NIPA:downstream_only","corporate_boundary_diagnostic","downstream_constructed_pending","","Provider artifact preserved without construction. Do not silently substitute total financial business. Downstream derivation must cite inputs."
"FIN_NVA","FIN_NVA","provider_variable_contract","S00_provider_handoff","BEA:NIPA:downstream_only","corporate_boundary_diagnostic","downstream_constructed_pending","","Provider artifact preserved without construction. Do not silently substitute total financial business. Downstream derivation must cite inputs."
"FIN_PBT","FIN_PBT","provider_variable_contract","S00_provider_handoff","BEA:NIPA:downstream_only","corporate_boundary_diagnostic","downstream_constructed_pending","","Provider artifact preserved without construction. Do not silently substitute total financial business. Downstream derivation must cite inputs."
"FIN_TRANSFERS","FIN_TRANSFERS","provider_variable_contract","S00_provider_handoff","BEA:NIPA:downstream_only","corporate_boundary_diagnostic","downstream_constructed_pending","","Provider artifact preserved without construction. Do not silently substitute total financial business. Downstream derivation must cite inputs."
"CORP__ME__cfc_current_cost","CORP_machinery_equipment_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt404","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__ME__gross_investment_current_cost","CORP_machinery_equipment_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt407","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__ME__gross_stock_current_cost","CORP_machinery_equipment_gross_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Preserve as a required gap. Do not substitute net stock or construct GPIM here."
"CORP__ME__net_stock_current_cost","CORP_machinery_equipment_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt401","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__ME__net_stock_quantity_index","CORP_machinery_equipment_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt402","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__ME__official_price_index","CORP_machinery_equipment_official_price_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","diagnostic_pending","","Provider artifact preserved without construction. Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output."
"CORP__ME__retirements","CORP_machinery_equipment_retirements","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Retain as an explicit provider gap; no residual construction is permitted here."
"CORP__ME__revaluation_holding_gains","CORP_machinery_equipment_revaluation_holding_gains","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Retain as an explicit provider gap; no residual construction is permitted here."
"CORP__NRC__cfc_current_cost","CORP_nonresidential_structures_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt404","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__NRC__gross_investment_current_cost","CORP_nonresidential_structures_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt407","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__NRC__gross_stock_current_cost","CORP_nonresidential_structures_gross_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Preserve as a required gap. Do not substitute net stock or construct GPIM here."
"CORP__NRC__net_stock_current_cost","CORP_nonresidential_structures_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt401","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__NRC__net_stock_quantity_index","CORP_nonresidential_structures_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt402","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__NRC__official_price_index","CORP_nonresidential_structures_official_price_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","diagnostic_pending","","Provider artifact preserved without construction. Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output."
"CORP__NRC__retirements","CORP_nonresidential_structures_retirements","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Retain as an explicit provider gap; no residual construction is permitted here."
"CORP__NRC__revaluation_holding_gains","CORP_nonresidential_structures_revaluation_holding_gains","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Retain as an explicit provider gap; no residual construction is permitted here."
"FIN__ME__cfc_current_cost","FIN_machinery_equipment_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt404","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__ME__gross_investment_current_cost","FIN_machinery_equipment_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt407","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__ME__gross_stock_current_cost","FIN_machinery_equipment_gross_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","diagnostic_pending","","Provider artifact preserved without construction. Preserve as a required gap. Do not substitute net stock or construct GPIM here."
"FIN__ME__net_stock_current_cost","FIN_machinery_equipment_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt401","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__ME__net_stock_quantity_index","FIN_machinery_equipment_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt402","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__ME__official_price_index","FIN_machinery_equipment_official_price_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","diagnostic_pending","","Provider artifact preserved without construction. Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output."
"FIN__NRC__cfc_current_cost","FIN_nonresidential_structures_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt404","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__NRC__gross_investment_current_cost","FIN_nonresidential_structures_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt407","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__NRC__gross_stock_current_cost","FIN_nonresidential_structures_gross_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","diagnostic_pending","","Provider artifact preserved without construction. Preserve as a required gap. Do not substitute net stock or construct GPIM here."
"FIN__NRC__net_stock_current_cost","FIN_nonresidential_structures_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt401","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__NRC__net_stock_quantity_index","FIN_nonresidential_structures_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt402","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__NRC__official_price_index","FIN_nonresidential_structures_official_price_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","diagnostic_pending","","Provider artifact preserved without construction. Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output."
"NFC__ME__cfc_current_cost","NFC_machinery_equipment_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt404","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__ME__gross_investment_current_cost","NFC_machinery_equipment_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt407","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__ME__gross_stock_current_cost","NFC_machinery_equipment_gross_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Preserve as a required gap. Do not substitute net stock or construct GPIM here."
"NFC__ME__net_stock_current_cost","NFC_machinery_equipment_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt401","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__ME__net_stock_quantity_index","NFC_machinery_equipment_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt402","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__ME__official_price_index","NFC_machinery_equipment_official_price_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","diagnostic_pending","","Provider artifact preserved without construction. Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output."
"NFC__ME__retirements","NFC_machinery_equipment_retirements","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Retain as an explicit provider gap; no residual construction is permitted here."
"NFC__ME__revaluation_holding_gains","NFC_machinery_equipment_revaluation_holding_gains","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Retain as an explicit provider gap; no residual construction is permitted here."
"NFC__NRC__cfc_current_cost","NFC_nonresidential_structures_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt404","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__NRC__gross_investment_current_cost","NFC_nonresidential_structures_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt407","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__NRC__gross_stock_current_cost","NFC_nonresidential_structures_gross_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Preserve as a required gap. Do not substitute net stock or construct GPIM here."
"NFC__NRC__net_stock_current_cost","NFC_nonresidential_structures_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt401","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__NRC__net_stock_quantity_index","NFC_nonresidential_structures_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt402","direct_productive_capacity_capital","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"NFC__NRC__official_price_index","NFC_nonresidential_structures_official_price_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","diagnostic_pending","","Provider artifact preserved without construction. Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output."
"NFC__NRC__retirements","NFC_nonresidential_structures_retirements","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Retain as an explicit provider gap; no residual construction is permitted here."
"NFC__NRC__revaluation_holding_gains","NFC_nonresidential_structures_revaluation_holding_gains","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","direct_productive_capacity_capital","not_in_baseline","Provider contract status: not_available","Provider artifact preserved without construction. Retain as an explicit provider gap; no residual construction is permitted here."
"DOWNSTREAM__GOV_TRANS_GPIM","GOV_TRANS_GPIM","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","downstream_analytical_object","downstream_constructed_pending","","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__IPP_NFC_GPIM","IPP_NFC_GPIM","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","downstream_analytical_object","downstream_constructed_pending","","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__K_G_NFC_KCAP_GPIM","K_G_NFC_KCAP_GPIM","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","downstream_analytical_object","downstream_constructed_pending","","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__K_G_NFC_ME_GPIM","K_G_NFC_ME_GPIM","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","downstream_analytical_object","downstream_constructed_pending","","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__K_G_NFC_NRC_GPIM","K_G_NFC_NRC_GPIM","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","downstream_analytical_object","downstream_constructed_pending","","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__K_N_NFC_KCAP_GPIM","K_N_NFC_KCAP_GPIM","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","downstream_analytical_object","downstream_constructed_pending","","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__K_N_NFC_ME_GPIM","K_N_NFC_ME_GPIM","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","downstream_analytical_object","downstream_constructed_pending","","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__K_N_NFC_NRC_GPIM","K_N_NFC_NRC_GPIM","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","downstream_analytical_object","downstream_constructed_pending","","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__P_K_NFC_ME_GPIM","P_K_NFC_ME_GPIM","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","downstream_analytical_object","downstream_constructed_pending","","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"DOWNSTREAM__P_K_NFC_NRC_GPIM","P_K_NFC_NRC_GPIM","provider_variable_contract","S00_provider_handoff","downstream_repo:not_applicable:downstream_only","downstream_analytical_object","downstream_constructed_pending","","Provider artifact preserved without construction. Provider supplies ingredients only. This row is a construction contract, not staged data."
"RESIDENTIAL_CAPITAL_MENU","residential_capital_menu","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","exclusion_diagnostic","diagnostic_pending","","Provider artifact preserved without construction. Preserve as an exclusion diagnostic; never include silently in K_cap."
"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt404","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__IPP__gross_investment_current_cost","CORP_intellectual_property_products_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt407","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__IPP__gross_stock_current_cost","CORP_intellectual_property_products_gross_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","frontier_conditioner","frontier_conditioner_pending","","Provider artifact preserved without construction. Preserve as a required gap. Do not substitute net stock or construct GPIM here."
"CORP__IPP__net_stock_current_cost","CORP_intellectual_property_products_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt401","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__IPP__net_stock_quantity_index","CORP_intellectual_property_products_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt402","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"CORP__IPP__official_price_index","CORP_intellectual_property_products_official_price_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","frontier_conditioner","diagnostic_pending","","Provider artifact preserved without construction. Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output."
"CORP__IPP__retirements","CORP_intellectual_property_products_retirements","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","frontier_conditioner","frontier_conditioner_pending","","Provider artifact preserved without construction. Retain as an explicit provider gap; no residual construction is permitted here."
"CORP__IPP__revaluation_holding_gains","CORP_intellectual_property_products_revaluation_holding_gains","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","frontier_conditioner","frontier_conditioner_pending","","Provider artifact preserved without construction. Retain as an explicit provider gap; no residual construction is permitted here."
"FIN__IPP__cfc_current_cost","FIN_intellectual_property_products_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt404","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__IPP__gross_investment_current_cost","FIN_intellectual_property_products_gross_investment_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt407","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__IPP__gross_stock_current_cost","FIN_intellectual_property_products_gross_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","frontier_conditioner","diagnostic_pending","","Provider artifact preserved without construction. Preserve as a required gap. Do not substitute net stock or construct GPIM here."
"FIN__IPP__net_stock_current_cost","FIN_intellectual_property_products_net_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt401","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__IPP__net_stock_quantity_index","FIN_intellectual_property_products_net_stock_quantity_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt402","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Direct BEA line. ME and NRC enter preferred K_cap downstream; IPP does not."
"FIN__IPP__official_price_index","FIN_intellectual_property_products_official_price_index","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","frontier_conditioner","diagnostic_pending","","Provider artifact preserved without construction. Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output."
"GOV_TRANS__gross_stock_current_cost","GOV_TRANS_gross_stock_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:not_available","frontier_conditioner","frontier_conditioner_pending","","Provider artifact preserved without construction. Do not substitute net stock. Downstream GPIM must be explicit."
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","GOV_TRANS_highways_streets_cfc_current_cost","provider_variable_contract","S00_provider_handoff","BEA:FixedAssets:FAAt703","frontier_conditioner","staged_source_ingredient","","Provider artifact preserved without construction. Component of downstream GOV_TRANS aggregate; do not add to preferred private K_cap."
