"stage_id","variable_id","asset_scope","transformation_family","primary_classification","review_note"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_I_TOT","TOT","first_difference","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_N_ME","ME","first_difference","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_N_NRC","NRC","first_difference","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DELTA_N_TOT","TOT","first_difference","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_G_ME","ME","log_growth","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_G_NRC","NRC","log_growth","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_G_TOT","TOT","log_growth","AUTHORIZED_SECONDARY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_I_ME","ME","log_growth","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_I_NRC","NRC","log_growth","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_I_TOT","TOT","log_growth","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_N_ME","ME","log_growth","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_N_NRC","NRC","log_growth","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","DLOG_N_TOT","TOT","log_growth","AUTHORIZED_SECONDARY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","G_ME_GPIM_2017","ME","source_preserved","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","G_NRC_GPIM_2017","NRC","source_preserved","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","G_TOT_GPIM_2017","TOT","tot_alias","AUTHORIZED_PRIMARY","Authoritative S29F TOT level alias for validated S29E gross core stock; preferred level object."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_G_ME","ME","arithmetic_log_growth_gap","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_G_NRC","NRC","arithmetic_log_growth_gap","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_G_TOT","TOT","arithmetic_log_growth_gap","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_I_ME","ME","arithmetic_log_growth_gap","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_I_NRC","NRC","arithmetic_log_growth_gap","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_I_TOT","TOT","arithmetic_log_growth_gap","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_N_ME","ME","arithmetic_log_growth_gap","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_N_NRC","NRC","arithmetic_log_growth_gap","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_N_TOT","TOT","arithmetic_log_growth_gap","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROSS_ACCUMULATION_NET_FLOW_ME","ME","gross_stock_flow_net_change","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROSS_ACCUMULATION_NET_FLOW_NRC","NRC","gross_stock_flow_net_change","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROSS_ACCUMULATION_NET_FLOW_TOT","TOT","gross_stock_flow_net_change","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_G_ME","ME","arithmetic_growth","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_G_NRC","NRC","arithmetic_growth","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_G_TOT","TOT","arithmetic_growth","AUTHORIZED_SECONDARY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_I_ME","ME","arithmetic_growth","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_I_NRC","NRC","arithmetic_growth","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_I_TOT","TOT","arithmetic_growth","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_N_ME","ME","arithmetic_growth","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_N_NRC","NRC","arithmetic_growth","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_N_TOT","TOT","arithmetic_growth","AUTHORIZED_SECONDARY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","I_ME_REAL_2017","ME","source_preserved","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","I_NRC_REAL_2017","NRC","source_preserved","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","I_TOT_REAL_2017","TOT","tot_alias","AUTHORIZED_SECONDARY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","INV_RATE_G_ME","ME","investment_rate_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","INV_RATE_G_NRC","NRC","investment_rate_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","INV_RATE_G_TOT","TOT","investment_rate_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_GROSS_ME","ME","level_alias","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_GROSS_NRC","NRC","level_alias","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_GROSS_TOT","TOT","level_alias","REDUNDANT_ALIAS","Exact presentation alias of G_TOT_GPIM_2017; not independent."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_NET_ME","ME","level_alias","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_NET_NRC","NRC","level_alias","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_NET_TOT","TOT","level_alias","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_DLOG_G_ME","ME","lag1","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_DLOG_G_NRC","NRC","lag1","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_DLOG_G_TOT","TOT","lag1","AUTHORIZED_SECONDARY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_DLOG_N_ME","ME","lag1","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_DLOG_N_NRC","NRC","lag1","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_DLOG_N_TOT","TOT","lag1","AUTHORIZED_SECONDARY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_LOG_G_ME","ME","lag1","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_LOG_G_NRC","NRC","lag1","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_LOG_G_TOT","TOT","lag1","AUTHORIZED_SECONDARY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_LOG_N_ME","ME","lag1","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_LOG_N_NRC","NRC","lag1","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_LOG_N_TOT","TOT","lag1","AUTHORIZED_SECONDARY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_G_ME_GPIM_2017","ME","log_gross","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_G_NRC_GPIM_2017","NRC","log_gross","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_G_TOT_GPIM_2017","TOT","log_gross","AUTHORIZED_PRIMARY","Preferred logged form of gross productive capital for later selection."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_I_ME_REAL_2017","ME","log_investment","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_I_NRC_REAL_2017","NRC","log_investment","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_I_TOT_REAL_2017","TOT","log_investment","AUTHORIZED_SECONDARY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_N_ME_GPIM_2017","ME","log_net","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_N_NRC_GPIM_2017","NRC","log_net","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_N_TOT_GPIM_2017","TOT","log_net","AUTHORIZED_SECONDARY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","N_ME_GPIM_2017","ME","source_preserved","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","N_NRC_GPIM_2017","NRC","source_preserved","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","N_TOT_GPIM_2017","TOT","tot_alias","AUTHORIZED_SECONDARY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","NET_ACCUMULATION_NET_FLOW_ME","ME","net_stock_flow_net_change","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","NET_ACCUMULATION_NET_FLOW_NRC","NRC","net_stock_flow_net_change","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","NET_ACCUMULATION_NET_FLOW_TOT","TOT","net_stock_flow_net_change","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","RET_ME_GPIM_2017","ME","source_preserved","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","RET_NRC_GPIM_2017","NRC","source_preserved","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","RET_RATE_G_ME","ME","retirement_rate_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","RET_RATE_G_NRC","NRC","retirement_rate_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","RET_RATE_G_TOT","TOT","retirement_rate_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","RET_TOT_GPIM_2017","TOT","tot_alias","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_GROSS_ME_TOT","ME","gross_composition_share","DIAGNOSTIC_ONLY","Composition diagnostic only; not a stock-construction weight."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_GROSS_NRC_TOT","NRC","gross_composition_share","DIAGNOSTIC_ONLY","Composition diagnostic only; not a stock-construction weight."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_INVESTMENT_ME_TOT","ME","investment_composition_share","DIAGNOSTIC_ONLY","Composition diagnostic only; not a stock-construction weight."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_INVESTMENT_NRC_TOT","NRC","investment_composition_share","DIAGNOSTIC_ONLY","Composition diagnostic only; not a stock-construction weight."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_NET_ME_TOT","ME","net_composition_share","DIAGNOSTIC_ONLY","Composition diagnostic only; not a stock-construction weight."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_NET_NRC_TOT","NRC","net_composition_share","DIAGNOSTIC_ONLY","Composition diagnostic only; not a stock-construction weight."
