"stage_id","variable_id","asset_scope","transformation_family","downstream_role","primary_classification","review_note"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_I_NRC","NRC","arithmetic_log_growth_gap","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_I_TOT","TOT","arithmetic_log_growth_gap","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_N_ME","ME","arithmetic_log_growth_gap","growth_gap_diagnostic","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_N_NRC","NRC","arithmetic_log_growth_gap","growth_gap_diagnostic","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GAP_ARITH_LOG_N_TOT","TOT","arithmetic_log_growth_gap","growth_gap_diagnostic","DIAGNOSTIC_ONLY","Diagnostic difference between arithmetic and log growth; not an empirical regressor selected here."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROSS_ACCUMULATION_NET_FLOW_ME","ME","gross_stock_flow_net_change","accounting_redundancy","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROSS_ACCUMULATION_NET_FLOW_NRC","NRC","gross_stock_flow_net_change","accounting_redundancy","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROSS_ACCUMULATION_NET_FLOW_TOT","TOT","gross_stock_flow_net_change","accounting_redundancy","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_G_ME","ME","arithmetic_growth","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_G_NRC","NRC","arithmetic_growth","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_G_TOT","TOT","arithmetic_growth","productive_capital_growth_candidate","AUTHORIZED_SECONDARY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_I_ME","ME","arithmetic_growth","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_I_NRC","NRC","arithmetic_growth","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_I_TOT","TOT","arithmetic_growth","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_N_ME","ME","arithmetic_growth","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_N_NRC","NRC","arithmetic_growth","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_N_TOT","TOT","arithmetic_growth","net_stock_robustness_candidate","AUTHORIZED_SECONDARY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","I_ME_REAL_2017","ME","source_preserved","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","I_NRC_REAL_2017","NRC","source_preserved","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","I_TOT_REAL_2017","TOT","tot_alias","investment_flow_diagnostic","AUTHORIZED_SECONDARY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","INV_RATE_G_ME","ME","investment_rate_diagnostic","depreciation_and_retirement_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","INV_RATE_G_NRC","NRC","investment_rate_diagnostic","depreciation_and_retirement_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","INV_RATE_G_TOT","TOT","investment_rate_diagnostic","depreciation_and_retirement_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_GROSS_ME","ME","level_alias","accounting_redundancy","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_GROSS_NRC","NRC","level_alias","accounting_redundancy","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_GROSS_TOT","TOT","level_alias","accounting_redundancy","REDUNDANT_ALIAS","Exact presentation alias of G_TOT_GPIM_2017; not independent."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_NET_ME","ME","level_alias","accounting_redundancy","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_NET_NRC","NRC","level_alias","accounting_redundancy","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","K_NET_TOT","TOT","level_alias","accounting_redundancy","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_DLOG_G_ME","ME","lag1","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_DLOG_G_NRC","NRC","lag1","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_DLOG_G_TOT","TOT","lag1","productive_capital_lagged_growth_candidate","AUTHORIZED_SECONDARY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_DLOG_N_ME","ME","lag1","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_DLOG_N_NRC","NRC","lag1","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_DLOG_N_TOT","TOT","lag1","net_stock_robustness_candidate","AUTHORIZED_SECONDARY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_LOG_G_ME","ME","lag1","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_LOG_G_NRC","NRC","lag1","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_LOG_G_TOT","TOT","lag1","productive_capital_lagged_level_candidate","AUTHORIZED_SECONDARY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_LOG_N_ME","ME","lag1","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_LOG_N_NRC","NRC","lag1","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","L1_LOG_N_TOT","TOT","lag1","net_stock_robustness_candidate","AUTHORIZED_SECONDARY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_G_ME_GPIM_2017","ME","log_gross","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_G_NRC_GPIM_2017","NRC","log_gross","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_G_TOT_GPIM_2017","TOT","log_gross","productive_capital_log_primary","AUTHORIZED_PRIMARY","Preferred logged form of gross productive capital for later selection."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_I_ME_REAL_2017","ME","log_investment","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_I_NRC_REAL_2017","NRC","log_investment","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_I_TOT_REAL_2017","TOT","log_investment","investment_flow_diagnostic","AUTHORIZED_SECONDARY","Investment is a flow and is not a substitute for productive-capital stock."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_N_ME_GPIM_2017","ME","log_net","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_N_NRC_GPIM_2017","NRC","log_net","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","LOG_N_TOT_GPIM_2017","TOT","log_net","net_stock_robustness_log","AUTHORIZED_SECONDARY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","N_ME_GPIM_2017","ME","source_preserved","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","N_NRC_GPIM_2017","NRC","source_preserved","component_diagnostic","DIAGNOSTIC_ONLY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","N_TOT_GPIM_2017","TOT","tot_alias","net_stock_robustness_level","AUTHORIZED_SECONDARY","Net stock is retained as secondary or robustness object, not the baseline productive-capital quantity."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","NET_ACCUMULATION_NET_FLOW_ME","ME","net_stock_flow_net_change","accounting_redundancy","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","NET_ACCUMULATION_NET_FLOW_NRC","NRC","net_stock_flow_net_change","accounting_redundancy","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","NET_ACCUMULATION_NET_FLOW_TOT","TOT","net_stock_flow_net_change","accounting_redundancy","REDUNDANT_ALIAS","Redundant accounting representation of an already retained source or first difference."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","RET_ME_GPIM_2017","ME","source_preserved","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","RET_NRC_GPIM_2017","NRC","source_preserved","component_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","RET_RATE_G_ME","ME","retirement_rate_diagnostic","depreciation_and_retirement_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","RET_RATE_G_NRC","NRC","retirement_rate_diagnostic","depreciation_and_retirement_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","RET_RATE_G_TOT","TOT","retirement_rate_diagnostic","depreciation_and_retirement_diagnostic","DIAGNOSTIC_ONLY","Accounting intensity diagnostic only; not a structural depreciation parameter."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","RET_TOT_GPIM_2017","TOT","tot_alias","capital_diagnostic","DIAGNOSTIC_ONLY","Reviewed for S29H selection; no construction defect identified."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_GROSS_ME_TOT","ME","gross_composition_share","composition_diagnostic","DIAGNOSTIC_ONLY","Composition diagnostic only; not a stock-construction weight."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_GROSS_NRC_TOT","NRC","gross_composition_share","composition_diagnostic","DIAGNOSTIC_ONLY","Composition diagnostic only; not a stock-construction weight."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_INVESTMENT_ME_TOT","ME","investment_composition_share","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Composition diagnostic only; not a stock-construction weight."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_INVESTMENT_NRC_TOT","NRC","investment_composition_share","investment_flow_diagnostic","DIAGNOSTIC_ONLY","Composition diagnostic only; not a stock-construction weight."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_NET_ME_TOT","ME","net_composition_share","composition_diagnostic","DIAGNOSTIC_ONLY","Composition diagnostic only; not a stock-construction weight."
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_NET_NRC_TOT","NRC","net_composition_share","composition_diagnostic","DIAGNOSTIC_ONLY","Composition diagnostic only; not a stock-construction weight."
