"stage_id","variable_id","related_variable_id","relationship_type","exact_or_approximate","maximum_difference","recommended_authoritative_variable","recommended_retained_status"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROSS_ACCUMULATION_NET_FLOW_TOT","DELTA_G_TOT","stock-flow net-change reproduces first difference","near-exact numerical",0.000000169035047292709,"DELTA_G_TOT","REDUNDANT_ALIAS"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","NET_ACCUMULATION_NET_FLOW_ME","DELTA_N_ME","stock-flow net-change reproduces first difference","near-exact numerical",0.0000000598374754190445,"DELTA_N_ME","REDUNDANT_ALIAS"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","NET_ACCUMULATION_NET_FLOW_NRC","DELTA_N_NRC","stock-flow net-change reproduces first difference","near-exact numerical",0.0000000941217876970768,"DELTA_N_NRC","REDUNDANT_ALIAS"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","NET_ACCUMULATION_NET_FLOW_TOT","DELTA_N_TOT","stock-flow net-change reproduces first difference","near-exact numerical",0.000000130850821733475,"DELTA_N_TOT","REDUNDANT_ALIAS"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_GROSS_ME_TOT","SHARE_GROSS_NRC_TOT","complementary shares sum to one","exact up to numerical tolerance",0.00000000000000310862446895044,"both retained as diagnostics","DIAGNOSTIC_ONLY"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_NET_ME_TOT","SHARE_NET_NRC_TOT","complementary shares sum to one","exact up to numerical tolerance",0.00000000000000421884749357559,"both retained as diagnostics","DIAGNOSTIC_ONLY"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","SHARE_INVESTMENT_ME_TOT","SHARE_INVESTMENT_NRC_TOT","complementary shares sum to one","exact up to numerical tolerance",0.00000000000000399680288865056,"both retained as diagnostics","DIAGNOSTIC_ONLY"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_I_ME","DLOG_I_ME","arithmetic and log growth comparison","not redundant when movements are material",0.141947345055543,"S29H must select formula-specific growth measure","reviewed separately"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_I_NRC","DLOG_I_NRC","arithmetic and log growth comparison","not redundant when movements are material",0.333779744898818,"S29H must select formula-specific growth measure","reviewed separately"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_I_TOT","DLOG_I_TOT","arithmetic and log growth comparison","not redundant when movements are material",0.234605370703792,"S29H must select formula-specific growth measure","reviewed separately"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_G_ME","DLOG_G_ME","arithmetic and log growth comparison","not redundant when movements are material",0.366934624373347,"S29H must select formula-specific growth measure","reviewed separately"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_G_NRC","DLOG_G_NRC","arithmetic and log growth comparison","not redundant when movements are material",0.452417424265202,"S29H must select formula-specific growth measure","reviewed separately"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_G_TOT","DLOG_G_TOT","arithmetic and log growth comparison","not redundant when movements are material",0.431731585203121,"S29H must select formula-specific growth measure","reviewed separately"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_N_ME","DLOG_N_ME","arithmetic and log growth comparison","not redundant when movements are material",0.310806495851263,"S29H must select formula-specific growth measure","reviewed separately"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_N_NRC","DLOG_N_NRC","arithmetic and log growth comparison","not redundant when movements are material",0.439076361342948,"S29H must select formula-specific growth measure","reviewed separately"
"S29G_TOTAL_CAPITAL_ANALYTICAL_READINESS_REVIEW","GROWTH_ARITH_N_TOT","DLOG_N_TOT","arithmetic and log growth comparison","not redundant when movements are material",0.407574703372501,"S29H must select formula-specific growth measure","reviewed separately"
