ws_id,file_name,relative_path,file_type,folder_cluster,title_guess,author_guess,year_guess,citekey_guess,source_type,probable_dimension_primary,probable_dimension_secondary,probable_source_role,probable_evidentiary_status,probable_corridor_scope,has_bib_entry,related_note_exists,related_note_path,file_size_kb,last_modified,status_flag,notes,relevance_grade,read_status,title_verified,author_verified,year_verified,pages,checksum,dimension_final_primary,dimension_final_secondary,mechanism_1,mechanism_2,mechanism_3,observable_1,observable_2,observable_3,variable_1,variable_2,evidence_marker_1,evidence_marker_2,crosslink_dimensions,keep_flag,notes_path,bib_status
WS_011,"Book_Odd Arne Westad - The Cold War_ A World History (2017, Basic Books).pdf","docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Book_Odd Arne Westad - The Cold War_ A World History (2017, Basic Books).pdf",pdf,flat_current_corpus,The Cold War: A World History,Odd Arne Westad,2017,westad2017coldwar,book,Cold War geopolitics,Third World / Non-Aligned Movement / NIEO politics,historiography,historiographic,WS-only,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_011.md,4263.1,2026-04-12T10:55:53,ok,first_pass mapped; tier=1; see docs/data_sources_WS_corridor/02_notes/sources/WS_011.md,B,first_pass_complete,The Cold War: A World History,Odd Arne Westad,2017,684,a5b1e01f46a4b25756c314c94eb224f12a42446928129d79d5c26bc194939337,Cold War geopolitics,Third World / Non-Aligned Movement / NIEO politics,security_doctrine_legitimation,counter_hegemonic_alignment,commodity_sovereignty_conflict,anticommunist or hemispheric-security legitimation frames,efforts to build non-hegemonic international alignment,resource nationalization or copper-sovereignty disputes,security_doctrine_invocation_count,alignment_reference_count,EM_SECURITY_FRAME,EM_RESOURCE_SOVEREIGNTY,D01;D03,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_011.md,verified
WS_012,BookReview_Hunneus_GonzalezVidela.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/BookReview_Hunneus_GonzalezVidela.pdf,pdf,flat_current_corpus,La Guerra Fria Chilena: Gabriel Gonzalez Videla y la Ley Maldita,Alfonso Salgado,unknown,ws012huneeusreview,book review,Cold War geopolitics,Inter-American order / hemispheric security doctrine,historiography,historiographic,overlap,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_012.md,267.6,2026-04-11T22:05:36,needs_manual_review,first_pass mapped; tier=3; see docs/data_sources_WS_corridor/02_notes/sources/WS_012.md,C,first_pass_complete,La Guerra Fria Chilena: Gabriel Gonzalez Videla y la Ley Maldita,Alfonso Salgado,unknown,4,87705b223bf3c27f7df2c1753aa23d8bd797889061bf170c112923adb8fd7196,Cold War geopolitics,Inter-American order / hemispheric security doctrine,security_doctrine_legitimation,coercive_state_pressure,unclear,anticommunist or hemispheric-security legitimation frames,documented episodes of direct or indirect state pressure,unclear / requires deeper reading,security_doctrine_invocation_count,pressure_episode_count,EM_BOOK_REVIEW,EM_SECURITY_FRAME,D01;D08,peripheral,docs/data_sources_WS_corridor/02_notes/sources/WS_012.md,unresolved
WS_013,Boook_Edited_inSpanish_Ulianova2020_Chile_URSS_AnosSesenta.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Boook_Edited_inSpanish_Ulianova2020_Chile_URSS_AnosSesenta.pdf,pdf,flat_current_corpus,Chile en los archivos sovieticos: anos 60,Olga Ulianova (comp.),2020,ulianova2020archivossovieticos,edited volume,Cold War geopolitics,unclear,evidence,archival,overlap,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_013.md,3578.6,2026-04-12T22:51:23,ok,first_pass mapped; tier=2; see docs/data_sources_WS_corridor/02_notes/sources/WS_013.md,B,first_pass_complete,Chile en los archivos sovieticos: anos 60,Olga Ulianova (comp.),2020,331,640ebfd0db5c647924d91ca3d0e6ca71ffa3efda2fd54811963e4ebb995771cf,Cold War geopolitics,unclear,counter_hegemonic_alignment,diplomatic_isolation,unclear,efforts to build non-hegemonic international alignment,"recognition shifts, OAS/UN positioning, or bilateral distancing",unclear / requires deeper reading,alignment_reference_count,diplomatic_isolation_episode,EM_ARCHIVAL_SOVIET,EM_ALIGNMENT_REFERENCE,D01,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_013.md,verified
WS_014,CIA_DeclassifiedDoc_NonAllignedMovement.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/CIA_DeclassifiedDoc_NonAllignedMovement.pdf,pdf,flat_current_corpus,THE NONALIGNED MOVEMENT: DYNAMICS AND PROSPECTS <Sanitized>,unknown,unknown,ciaNonalignedUndated,declassified document,Third World / Non-Aligned Movement / NIEO politics,"Diplomatic isolation, blockade, recognition, and alliance structure",evidence,archival,WS-only,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_014.md,1687.7,2026-04-12T11:38:09,needs_manual_review,first_pass mapped; tier=1; see docs/data_sources_WS_corridor/02_notes/sources/WS_014.md,A,first_pass_complete,THE NONALIGNED MOVEMENT: DYNAMICS AND PROSPECTS <Sanitized>,unknown,unknown,23,b591fe61998150cda84aa6a0c6499f5e35339567d5bbf2869041edc163c6c9e7,Third World / Non-Aligned Movement / NIEO politics,"Diplomatic isolation, blockade, recognition, and alliance structure",diplomatic_isolation,counter_hegemonic_alignment,security_doctrine_legitimation,"recognition shifts, OAS/UN positioning, or bilateral distancing",efforts to build non-hegemonic international alignment,anticommunist or hemispheric-security legitimation frames,diplomatic_isolation_episode,alignment_reference_count,EM_POLICY_PRESSURE,EM_ALIGNMENT_REFERENCE,D03;D09,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_014.md,unresolved
WS_015,JournalColdWar_01_Tunstall2014.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_01_Tunstall2014.pdf,pdf,flat_current_corpus,The First Alliance for Progress? Reshaping the Eisenhower Administration's Policy toward Latin America,Thomas Tunstall Allcock,2014,allcock2014alliance,journal article,Inter-American order / hemispheric security doctrine,U.S. interventionism,historiography,historiographic,overlap,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_015.md,139.6,2026-04-11T22:37:50,ok,first_pass mapped; tier=2; see docs/data_sources_WS_corridor/02_notes/sources/WS_015.md,B,first_pass_complete,The First Alliance for Progress? Reshaping the Eisenhower Administration's Policy toward Latin America,Thomas Tunstall Allcock,2014,27,8a413055963c7e240c3e2d9105db63c112be9aecc1ddc775006eb380dd74c7ed,Inter-American order / hemispheric security doctrine,U.S. interventionism,coercive_state_pressure,security_doctrine_legitimation,unclear,documented episodes of direct or indirect state pressure,anticommunist or hemispheric-security legitimation frames,unclear / requires deeper reading,pressure_episode_count,security_doctrine_invocation_count,EM_POLICY_PRESSURE,EM_SECURITY_FRAME,D08;D02,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_015.md,verified
WS_016,JournalColdWar_02_Friedman2018.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_02_Friedman2018.pdf,pdf,flat_current_corpus,"The Enemy of My Enemy: The Soviet Union, East Germany, and the Iranian Tudeh Party's Support for Ayatollah Khomeini",Jeremy Friedman,2018,friedman2018enemy,journal article,Cold War geopolitics,unclear,historiography,historiographic,WS-only,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_016.md,251.1,2026-04-11T22:38:10,needs_manual_review,first_pass mapped; tier=3; see docs/data_sources_WS_corridor/02_notes/sources/WS_016.md,C,first_pass_complete,"The Enemy of My Enemy: The Soviet Union, East Germany, and the Iranian Tudeh Party's Support for Ayatollah Khomeini",Jeremy Friedman,2018,35,12c0f2c83f9503dd86f9f8f51a51572e64a49f3f6ae70d1c2766db0acaf3bbc7,Cold War geopolitics,unclear,counter_hegemonic_alignment,unclear,unclear,efforts to build non-hegemonic international alignment,unclear / requires deeper reading,unclear / requires deeper reading,alignment_reference_count,unclear,EM_ALIGNMENT_REFERENCE,,D01,peripheral,docs/data_sources_WS_corridor/02_notes/sources/WS_016.md,verified
WS_017,JournalColdWar_03_Buclin2017.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_03_Buclin2017.pdf,pdf,flat_current_corpus,Swiss Intellectuals and the Cold War: Anti-Communist Policies in a Neutral Country,Hadrien Buclin,2017,buclin2017swiss,journal article,Cold War geopolitics,unclear,historiography,historiographic,WS-only,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_017.md,236.8,2026-04-11T22:38:51,needs_manual_review,first_pass mapped; tier=3; see docs/data_sources_WS_corridor/02_notes/sources/WS_017.md,C,first_pass_complete,Swiss Intellectuals and the Cold War: Anti-Communist Policies in a Neutral Country,Hadrien Buclin,2017,31,11725fd56a5c9b7a9a7e07f88ff4ec2c335a60576c6e57fd38b2c4ff38465d78,Cold War geopolitics,unclear,security_doctrine_legitimation,coercive_state_pressure,unclear,anticommunist or hemispheric-security legitimation frames,documented episodes of direct or indirect state pressure,unclear / requires deeper reading,security_doctrine_invocation_count,pressure_episode_count,EM_SECURITY_FRAME,EM_POLICY_PRESSURE,D01,peripheral,docs/data_sources_WS_corridor/02_notes/sources/WS_017.md,verified
WS_018,JournalColdWar_04_Henrich-Franke2014.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_04_Henrich-Franke2014.pdf,pdf,flat_current_corpus,Cross-Curtain Radio Cooperation and New International Alignments during the Cold War,Christian Henrich-Franke,2014,henrichfranke2014crosscurtain,journal article,Cold War geopolitics,Third World / Non-Aligned Movement / NIEO politics,historiography,historiographic,WS-only,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_018.md,189.1,2026-04-11T22:39:02,needs_manual_review,first_pass mapped; tier=3; see docs/data_sources_WS_corridor/02_notes/sources/WS_018.md,C,first_pass_complete,Cross-Curtain Radio Cooperation and New International Alignments during the Cold War,Christian Henrich-Franke,2014,24,4073d1d5692bdfde340c13ffebea0acf8d2a4da300289615392c87d3ec18b02b,Cold War geopolitics,Third World / Non-Aligned Movement / NIEO politics,diplomatic_isolation,counter_hegemonic_alignment,unclear,"recognition shifts, OAS/UN positioning, or bilateral distancing",efforts to build non-hegemonic international alignment,unclear / requires deeper reading,diplomatic_isolation_episode,alignment_reference_count,EM_ALIGNMENT_REFERENCE,,D01;D03,defer,docs/data_sources_WS_corridor/02_notes/sources/WS_018.md,verified
WS_019,JournalColdWar_05_ZivoticCavoski2014.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_05_ZivoticCavoski2014.pdf,pdf,flat_current_corpus,"On the Road to Belgrade: Yugoslavia, Third World Neutrals, and the Evolution of Global Non-Alignment, 1954-1961",Aleksandar Zivotic; Jovan Cavoski,2014,zivoticcavoski2014belgrade,journal article,Third World / Non-Aligned Movement / NIEO politics,"Diplomatic isolation, blockade, recognition, and alliance structure",historiography,historiographic,WS-only,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_019.md,130.8,2026-04-11T22:48:18,ok,first_pass mapped; tier=1; see docs/data_sources_WS_corridor/02_notes/sources/WS_019.md,B,first_pass_complete,"On the Road to Belgrade: Yugoslavia, Third World Neutrals, and the Evolution of Global Non-Alignment, 1954-1961",Aleksandar Zivotic; Jovan Cavoski,2014,19,693faea2606d20eaa74e145c45ad64e16e93eeb6ca68227c035bc02892c0588e,Third World / Non-Aligned Movement / NIEO politics,"Diplomatic isolation, blockade, recognition, and alliance structure",counter_hegemonic_alignment,diplomatic_isolation,unclear,efforts to build non-hegemonic international alignment,"recognition shifts, OAS/UN positioning, or bilateral distancing",unclear / requires deeper reading,alignment_reference_count,diplomatic_isolation_episode,EM_ALIGNMENT_REFERENCE,,D03;D09,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_019.md,verified
WS_020,JournalColdWar_06_Luthi2016.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_06_Luthi2016.pdf,pdf,flat_current_corpus,"The Non-Aligned Movement and the Cold War, 1961-1973",Lorenz M. Luthi,2016,luthi2016nam,journal article,Third World / Non-Aligned Movement / NIEO politics,"Diplomatic isolation, blockade, recognition, and alliance structure",historiography,historiographic,WS-only,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_020.md,274.4,2026-04-11T22:28:17,ok,first_pass mapped; tier=1; see docs/data_sources_WS_corridor/02_notes/sources/WS_020.md,A,first_pass_complete,"The Non-Aligned Movement and the Cold War, 1961-1973",Lorenz M. Luthi,2016,50,38a0889524017d6af3b2ac37cce703232d47dcb66096b05b7d303ae0b979c883,Third World / Non-Aligned Movement / NIEO politics,"Diplomatic isolation, blockade, recognition, and alliance structure",counter_hegemonic_alignment,diplomatic_isolation,security_doctrine_legitimation,efforts to build non-hegemonic international alignment,"recognition shifts, OAS/UN positioning, or bilateral distancing",anticommunist or hemispheric-security legitimation frames,alignment_reference_count,diplomatic_isolation_episode,EM_ALIGNMENT_REFERENCE,EM_SECURITY_FRAME,D03;D09,keep,docs/data_sources_WS_corridor/02_notes/sources/WS_020.md,verified
WS_021,Ulianova1998_PCCh_Kominterm_PrimerosContactos.pdf,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Ulianova1998_PCCh_Kominterm_PrimerosContactos.pdf,pdf,flat_current_corpus,Primeros contactos entre el Partido Comunista de Chile y Komintern,Olga Ulianova,1998,ulianova1998primeroscontactos,article,unclear,unclear,historiography,historiographic,unclear,true,true,docs/data_sources_WS_corridor/02_notes/sources/WS_021.md,1132.4,2026-04-12T23:02:02,needs_manual_review,first_pass mapped; tier=3; see docs/data_sources_WS_corridor/02_notes/sources/WS_021.md,C,first_pass_complete,Primeros contactos entre el Partido Comunista de Chile y Komintern,Olga Ulianova,1998,27,41eae78c05884b779cae835a7f398e176f6a6a56a887f7dd5389c6975c1ff5a4,unclear,unclear,counter_hegemonic_alignment,unclear,unclear,efforts to build non-hegemonic international alignment,unclear / requires deeper reading,unclear / requires deeper reading,alignment_reference_count,unclear,EM_ALIGNMENT_REFERENCE,,unclear,peripheral,docs/data_sources_WS_corridor/02_notes/sources/WS_021.md,verified
