ws_id,file_name,relative_path,file_type,folder_cluster,title_guess,author_guess,year_guess,citekey_guess,source_type,probable_dimension_primary,probable_dimension_secondary,probable_source_role,probable_evidentiary_status,probable_corridor_scope,has_bib_entry,related_note_exists,related_note_path,file_size_kb,last_modified,status_flag,notes
WS_011,"Book_Odd Arne Westad - The Cold War_ A World History (2017, Basic Books).pdf","docs/data_sources_WS_corridor/Book_Odd Arne Westad - The Cold War_ A World History (2017, Basic Books).pdf",pdf,root,The Cold War A World History,Odd Arne Westad,2017,odd2017world,book,Cold War geopolitics,unknown,historiography,historiographic,WS-only,false,false,,4263.1,2026-04-12T10:55:53,note_missing,title inferred from filename; author inferred from filename; PDF title metadata appears noisy; no local note companion; no local bib companion; flat folder placement
WS_012,BookReview_Hunneus_GonzalezVidela.pdf,docs/data_sources_WS_corridor/BookReview_Hunneus_GonzalezVidela.pdf,pdf,root,La Guerra Fría Chilena: Gabriel González Videla y la Ley Maldita,unknown,unknown,unknown,book review,Cold War geopolitics,unknown,historiography,historiographic,overlap,false,false,,267.6,2026-04-11T22:05:36,missing_metadata,title inferred from first-page text; author unresolved; PDF title metadata appears noisy; no local note companion; no local bib companion; flat folder placement
WS_013,Boook_Edited_inSpanish_Ulianova2020_Chile_URSS_AnosSesenta.pdf,docs/data_sources_WS_corridor/Boook_Edited_inSpanish_Ulianova2020_Chile_URSS_AnosSesenta.pdf,pdf,root,Chile URSS Anos Sesenta,Ulianova,2020,ulianova2020chile,pdf source,Cold War geopolitics,unknown,historiography,historiographic,overlap,false,false,,3578.6,2026-04-12T22:51:23,note_missing,title inferred from filename; author inferred from filename; no local note companion; no local bib companion; flat folder placement; filename prefix typo
WS_014,CIA_DeclassifiedDoc_NonAllignedMovement.pdf,docs/data_sources_WS_corridor/CIA_DeclassifiedDoc_NonAllignedMovement.pdf,pdf,root,THE NONALIGNED MOVEMENT: DYNAMICS AND PROSPECTS <Sanitized>,unknown,unknown,unknown,declassified document,Third World / Non-Aligned Movement / NIEO politics,U.S. interventionism,evidence,archival,WS-only,false,false,,1687.7,2026-04-12T11:38:09,missing_metadata,title observed in PDF metadata; author unresolved; no local note companion; no local bib companion; flat folder placement
WS_015,JournalColdWar_01_Tunstall2014.pdf,docs/data_sources_WS_corridor/JournalColdWar_01_Tunstall2014.pdf,pdf,root,The First Alliance for Progress?,Tunstall,2014,tunstall2014first,journal article,Inter-American order / hemispheric security doctrine,unknown,unknown,unknown,unclear,false,false,,139.6,2026-04-11T22:37:50,unclear_relevance,title inferred from first-page text; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_016,JournalColdWar_02_Friedman2018.pdf,docs/data_sources_WS_corridor/JournalColdWar_02_Friedman2018.pdf,pdf,root,"The Enemy of My Enemy The Soviet Union,East Germany,and the Iranian Tudeh Party’s Support for Ayatollah Khomeini",Friedman,2018,friedman2018enemy,journal article,Cold War geopolitics,unknown,historiography,historiographic,WS-only,false,false,,251.1,2026-04-11T22:38:10,note_missing,title inferred from first-page text; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_017,JournalColdWar_03_Buclin2017.pdf,docs/data_sources_WS_corridor/JournalColdWar_03_Buclin2017.pdf,pdf,root,Swiss Intellectuals and the Cold War Anti-Communist Policies in a Neutral Country,Buclin,2017,buclin2017swiss,journal article,Cold War geopolitics,unknown,historiography,historiographic,WS-only,false,false,,236.8,2026-04-11T22:38:51,note_missing,title inferred from first-page text; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_018,JournalColdWar_04_Henrich-Franke2014.pdf,docs/data_sources_WS_corridor/JournalColdWar_04_Henrich-Franke2014.pdf,pdf,root,Cross-Curtain Radio Cooperation and New International Alignments during the Cold War,Henrich Franke,2014,henrich2014cross,journal article,Cold War geopolitics,unknown,historiography,historiographic,WS-only,false,false,,189.1,2026-04-11T22:39:02,note_missing,title inferred from first-page text; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_019,JournalColdWar_05_ZivoticCavoski2014.pdf,docs/data_sources_WS_corridor/JournalColdWar_05_ZivoticCavoski2014.pdf,pdf,root,"On the Road to Belgrade Yugoslavia, Third World Neutrals, and the Evolution of Global Non-Alignment, 1954–1961",Zivotic Cavoski,2014,zivotic2014road,journal article,Third World / Non-Aligned Movement / NIEO politics,unknown,theory,conceptual,WS-only,false,false,,130.8,2026-04-11T22:48:18,note_missing,title inferred from first-page text; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_020,JournalColdWar_06_Luthi2016.pdf,docs/data_sources_WS_corridor/JournalColdWar_06_Luthi2016.pdf,pdf,root,"The Non-Aligned Movement and the Cold War, 1961–1973",Luthi,2016,luthi2016non,journal article,Third World / Non-Aligned Movement / NIEO politics,Cold War geopolitics,historiography,historiographic,WS-only,false,false,,274.4,2026-04-11T22:28:17,note_missing,title inferred from first-page text; author inferred from filename; no local note companion; no local bib companion; flat folder placement
WS_021,Ulianova1998_PCCh_Kominterm_PrimerosContactos.pdf,docs/data_sources_WS_corridor/Ulianova1998_PCCh_Kominterm_PrimerosContactos.pdf,pdf,root,PCCh Kominterm Primeros Contactos,Ulianova,1998,ulianova1998pcch,pdf source,unknown,unknown,unknown,unknown,overlap,false,false,,1132.4,2026-04-12T23:02:02,unclear_relevance,title inferred from filename; author inferred from filename; no local note companion; no local bib companion; flat folder placement
