"variable_id","sector_boundary","surplus_ladder","surplus_concept","role","status","audit_status","notes"
"FIN_CFC","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","PASS","Candidate/diagnostic/review object is absent from D07 panel."
"FIN_NOS","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","PASS","Candidate/diagnostic/review object is absent from D07 panel."
"FIN_PBT","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","PASS","Candidate/diagnostic/review object is absent from D07 panel."
"FIN_NET_INT","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","PASS","Candidate/diagnostic/review object is absent from D07 panel."
"FIN_TRANSFERS","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","PASS","Candidate/diagnostic/review object is absent from D07 panel."
"FIN_DIVIDENDS","FIN","financial_transfer_adjusted_candidate","UNKNOWN_REVIEW_REQUIRED","candidate_only","CANDIDATE_ONLY_REQUIRES_CROSSWALK","PASS","Candidate/diagnostic/review object is absent from D07 panel."
"NFC_COMPENSATION_SHARE_GVA","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_COMPENSATION_SHARE_NVA","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_COMPENSATION_SHARE_GVA","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"CORP_COMPENSATION_SHARE_NVA","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","PASS","Authorized surplus/distribution object is consumed in D07."
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC","NFC_productive_origin_baseline","NOS","profit_share_scaffold","DIAGNOSTIC_ONLY","PASS","Candidate/diagnostic/review object is absent from D07 panel."
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","NFC","NFC_productive_origin_baseline","NOS","profit_share_scaffold","DIAGNOSTIC_ONLY","PASS","Candidate/diagnostic/review object is absent from D07 panel."
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","CORP","corporate_reconciliation_variant","NOS","profit_share_scaffold","DIAGNOSTIC_ONLY","PASS","Candidate/diagnostic/review object is absent from D07 panel."
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","CORP","corporate_reconciliation_variant","NOS","profit_share_scaffold","DIAGNOSTIC_ONLY","PASS","Candidate/diagnostic/review object is absent from D07 panel."
"e_NFC_CONSTRUCTION_CONTRACT","NFC","NFC_productive_origin_baseline","NONE_NOT_APPLICABLE","alternative_exploitation_rate","REVIEW_REQUIRED","PASS","Candidate/diagnostic/review object is absent from D07 panel."
"e_CORP_CONSTRUCTION_CONTRACT","CORP","corporate_reconciliation_variant","NONE_NOT_APPLICABLE","alternative_exploitation_rate","REVIEW_REQUIRED","PASS","Candidate/diagnostic/review object is absent from D07 panel."
