"variable_id","D07_0_status","D07_panel_presence","expected_absent_from_panel","audit_status","notes"
"e_NFC_CONSTRUCTION_CONTRACT","REVIEW_REQUIRED","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"e_CORP_CONSTRUCTION_CONTRACT","REVIEW_REQUIRED","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"NFC_NET_INT","DIAGNOSTIC_ONLY","TRUE","FALSE","PASS","D07 not-consumed row applies to a non-authorized role; the same variable_id is consumed under another D07-0-authorized accounting role."
"CORP_NET_INT","CANDIDATE_ONLY_REQUIRES_CROSSWALK","TRUE","FALSE","PASS","D07 not-consumed row applies to a non-authorized role; the same variable_id is consumed under another D07-0-authorized accounting role."
"T711_L4","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"T711_L28","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"T711_L44","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"T711_L52","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"T711_L53","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"T711_L73","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"T711_L74","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"T711_L91","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"CORP_IMPUTED_INTEREST_ADJ","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"NFC_NOS","DIAGNOSTIC_ONLY","TRUE","FALSE","PASS","D07 not-consumed row applies to a non-authorized role; the same variable_id is consumed under another D07-0-authorized accounting role."
"FIN_NOS_IMPLIED","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN_COMP_IMPLIED","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN_NVA_IMPLIED","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN_GVA_IMPLIED","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FINANCIAL_RESIDUAL_FAMILY","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"CORP__IPP__official_price_index","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN__IPP__cfc_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN__IPP__gross_investment_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN__IPP__gross_stock_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN__IPP__net_stock_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN__IPP__net_stock_quantity_index","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"FIN__IPP__official_price_index","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"NFC__IPP__official_price_index","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"DOWNSTREAM__GOV_TRANS_GPIM","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"DOWNSTREAM__IPP_NFC_GPIM","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"CORP__IPP__cfc_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"CORP__IPP__gross_investment_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"CORP__IPP__gross_stock_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"CORP__IPP__net_stock_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"CORP__IPP__net_stock_quantity_index","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"CORP__IPP__retirements","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"CORP__IPP__revaluation_holding_gains","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"GOV_TRANS__gross_stock_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"NFC__IPP__cfc_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"NFC__IPP__gross_investment_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"NFC__IPP__gross_stock_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"NFC__IPP__net_stock_current_cost","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"NFC__IPP__net_stock_quantity_index","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"NFC__IPP__retirements","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"NFC__IPP__revaluation_holding_gains","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"RESIDENTIAL_CAPITAL_MENU","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"D01_gpim_core_capital_panel","SUPERSEDED_FOR_BASELINE","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"D01_gpim_gross_survival_panel","SUPERSEDED_FOR_BASELINE","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"D02_initialization_sensitivity","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"D03_S29C_price_deflator_outputs","SUPERSEDED_FOR_BASELINE","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"D04_S12DB_source_price_seed_outputs","SUPERSEDED_FOR_BASELINE","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"S12D_B_GPIM_BASELINE_CONSTRUCTION","SUPERSEDED_FOR_BASELINE","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","SUPERSEDED_FOR_BASELINE","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION","SUPERSEDED_FOR_BASELINE","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","PARKED_TRANSFORMATION","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","SUPERSEDED_FOR_BASELINE","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"K_total","BLOCKED_BOUNDARY_CONFLICT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"K_real_total","BLOCKED_BOUNDARY_CONFLICT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"K_current_total","BLOCKED_BOUNDARY_CONFLICT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"pKN_total","BLOCKED_BOUNDARY_CONFLICT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"IPP_baseline","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"residential_baseline","DIAGNOSTIC_ONLY","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"government_transportation_baseline","PARKED_FRONTIER_CONTEXT","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"q_omega_indexes","PARKED_TRANSFORMATION","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"logs_and_growth_rates","PARKED_TRANSFORMATION","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"periodized_model_variants","PARKED_TRANSFORMATION","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"stationarity_integration_classifications","PARKED_TRANSFORMATION","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
"Shaikh_adjusted_corporate_surplus_objects","CANDIDATE_ONLY_REQUIRES_CROSSWALK","FALSE","TRUE","PASS","D07 not-consumed row checked for coherent non-consumption status and panel absence."
