"variable_id","display_name","D07_panel_status","D07_0_contract_status","authorized_for_D07_level_panel","audit_status","notes"
"I_real_NRC_guardian","GPIM-guarded real NRC investment ingredient","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"K_current_capacity_refrozen","D06 refrozen current-cost capacity capital","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"K_current_ME_refrozen","D06 refrozen current-cost machinery and equipment stock","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"K_current_NRC_refrozen","D06 refrozen current-cost nonresidential construction stock","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"K_real_capacity_refrozen","D06 refrozen real capacity capital","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"K_real_ME_refrozen","D06 refrozen real machinery and equipment stock","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"K_real_NRC_refrozen","D06 refrozen real nonresidential construction stock","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_CFC","NFC consumption of fixed capital","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_COMP","NFC compensation of employees","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_DIVIDENDS_NET","NFC net dividends","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_GVA","NFC gross value added","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_NET_INT","NFC net interest and miscellaneous payments","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL; DIAGNOSTIC_ONLY","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_NOS","NFC net operating surplus","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL; DIAGNOSTIC_ONLY","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_NVA","NFC net value added","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_PAT","NFC profits after tax","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_PBT","NFC profits before tax","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_RETAINED","NFC undistributed profits after tax","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_TAX","NFC corporate income taxes","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_TRANSFERS_NET","NFC business current transfers net","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"NFC_UNDISTRIBUTED","NFC undistributed profits with IVA and CCAdj","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","P_Y_NFC_GVA_IMPLICIT_SOURCE","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"pKN_capacity","D06 capacity weighted guarded capital valuation price","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"pKN_ME","D06 ME guarded capital valuation price","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"pKN_NRC","D06 NRC guarded capital valuation price","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
"Y_REAL_NFC_GVA_BASELINE","Authoritative real NFC gross value added level","CONSUMED","AUTHORIZED_FOR_D07_LEVEL_PANEL","TRUE","PASS","Panel consumption checked against D07-0 authorization."
