"variable_id","display_name","D07_0_status","reason_not_consumed","preserved_for","prohibited_use","notes"
"P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Manufacturing is narrower than NFC | Source-native annual observation retained.","Preserved outside the D07 level/accounting panel."
"FIN_GVA","FIN_GVA","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use.","Preserved outside the D07 level/accounting panel."
"FIN_NVA","FIN_NVA","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use.","Preserved outside the D07 level/accounting panel."
"FIN_COMP","FIN_COMP","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use.","Preserved outside the D07 level/accounting panel."
"FIN_CFC","FIN_CFC","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use.","Preserved outside the D07 level/accounting panel."
"FIN_NOS","FIN_NOS","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use.","Preserved outside the D07 level/accounting panel."
"FIN_PBT","FIN_PBT","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use.","Preserved outside the D07 level/accounting panel."
"FIN_NET_INT","FIN_NET_INT","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use.","Preserved outside the D07 level/accounting panel."
"FIN_TRANSFERS","FIN_TRANSFERS","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use.","Preserved outside the D07 level/accounting panel."
"FIN_DIVIDENDS","FIN_DIVIDENDS","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Financial-sector income-account variables require semantic and historical/current crosswalk validation before stronger use.","Preserved outside the D07 level/accounting panel."
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","Profit-share variants define surplus concepts and denominators but do not replace wage share.","Preserved outside the D07 level/accounting panel."
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","Profit-share variants define surplus concepts and denominators but do not replace wage share.","Preserved outside the D07 level/accounting panel."
"CORP_NET_OPERATING_SURPLUS_SHARE_GVA","CORP_NET_OPERATING_SURPLUS_SHARE_GVA","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","Profit-share variants define surplus concepts and denominators but do not replace wage share.","Preserved outside the D07 level/accounting panel."
"CORP_NET_OPERATING_SURPLUS_SHARE_NVA","CORP_NET_OPERATING_SURPLUS_SHARE_NVA","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","Profit-share variants define surplus concepts and denominators but do not replace wage share.","Preserved outside the D07 level/accounting panel."
"e_NFC_CONSTRUCTION_CONTRACT","NFC exploitation-rate construction contract","REVIEW_REQUIRED","D07-0 status not authorized for panel consumption: REVIEW_REQUIRED","metadata/ledger only","S30B records exploitation rate as a preserved future alternative; no exploitation-rate series is constructed in the current closure.","Preserved outside the D07 level/accounting panel."
"e_CORP_CONSTRUCTION_CONTRACT","CORP exploitation-rate construction contract","REVIEW_REQUIRED","D07-0 status not authorized for panel consumption: REVIEW_REQUIRED","metadata/ledger only","S30B records exploitation rate as a preserved future alternative; no exploitation-rate series is constructed in the current closure.","Preserved outside the D07 level/accounting panel."
"NFC_NET_INT","NFC_net_interest_misc_payments","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","Counterparty is not identified; actual and imputed components are not separated; miscellaneous payments are included; not an exact Appendix 6.7 measure.","Preserved outside the D07 level/accounting panel."
"CORP_NET_INT","CORP_net_interest_misc_payments","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy.","Preserved outside the D07 level/accounting panel."
"T711_L4","BankMonIntPaid_paid_financial","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy.","Preserved outside the D07 level/accounting panel."
"T711_L28","BankMonIntPaid_received_financial","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy.","Preserved outside the D07 level/accounting panel."
"T711_L44","BankMonIntPaid_paid_banks_credit_investment","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy.","Preserved outside the D07 level/accounting panel."
"T711_L52","BankMonIntPaid_paid_state_local","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy.","Preserved outside the D07 level/accounting panel."
"T711_L53","CorpNFNetImpIntPaid_line53","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy.","Preserved outside the D07 level/accounting panel."
"T711_L73","BankMonIntPaid_received_federal","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy.","Preserved outside the D07 level/accounting panel."
"T711_L74","CorpNFNetImpIntPaid_line74","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy.","Preserved outside the D07 level/accounting panel."
"T711_L91","BankMonIntPaid_paid_government","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy.","Preserved outside the D07 level/accounting panel."
"CORP_IMPUTED_INTEREST_ADJ","Corp Imputed Interest Adj","CANDIDATE_ONLY_REQUIRES_CROSSWALK","D07-0 status not authorized for panel consumption: CANDIDATE_ONLY_REQUIRES_CROSSWALK","metadata/ledger only","Not admissible as the principal NFC financial-claims proxy under the S30G hierarchy.","Preserved outside the D07 level/accounting panel."
"NFC_NOS","NFC_NOS","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","Observable productive-origin corporate surplus proxy before financial distribution.","Preserved outside the D07 level/accounting panel."
"FIN_NOS_IMPLIED","FIN_NOS_IMPLIED","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","Financial profit form embedded in published corporate NOS; redistributed rather than independently produced surplus.","Preserved outside the D07 level/accounting panel."
"FIN_COMP_IMPLIED","FIN_COMP_IMPLIED","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","Unproductive financial labor cost financed from value generated in primary productive activity.","Preserved outside the D07 level/accounting panel."
"FIN_NVA_IMPLIED","FIN_NVA_IMPLIED","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","Total financial-sector absorption of primary value; broader than financial profit.","Preserved outside the D07 level/accounting panel."
"FIN_GVA_IMPLIED","FIN_GVA_IMPLIED","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","Gross accounting residual including CFC; not current redistributed net surplus.","Preserved outside the D07 level/accounting panel."
"NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","NFC surplus remaining after the bounded net-interest and miscellaneous-payment position.","Preserved outside the D07 level/accounting panel."
"CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","CORP_NOS_NET_NFC_FINANCIAL_CLAIMS_PROXY","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","Published corporate NOS after removing one bounded NFC financial-claims channel.","Preserved outside the D07 level/accounting panel."
"FINANCIAL_RESIDUAL_FAMILY","FINANCIAL_RESIDUAL_FAMILY","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","No financial residual variable may replace NFC_NOS without an explicit theory-lock revision.","Preserved outside the D07 level/accounting panel."
"CORP__IPP__official_price_index","CORP_intellectual_property_products_official_price_index","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"FIN__IPP__cfc_current_cost","FIN_intellectual_property_products_cfc_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"FIN__IPP__gross_investment_current_cost","FIN_intellectual_property_products_gross_investment_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"FIN__IPP__gross_stock_current_cost","FIN_intellectual_property_products_gross_stock_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"FIN__IPP__net_stock_current_cost","FIN_intellectual_property_products_net_stock_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"FIN__IPP__net_stock_quantity_index","FIN_intellectual_property_products_net_stock_quantity_index","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"FIN__IPP__official_price_index","FIN_intellectual_property_products_official_price_index","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"NFC__IPP__official_price_index","NFC_intellectual_property_products_official_price_index","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"DOWNSTREAM__GOV_TRANS_GPIM","GOV_TRANS_GPIM","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"DOWNSTREAM__IPP_NFC_GPIM","IPP_NFC_GPIM","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"CORP__IPP__cfc_current_cost","CORP_intellectual_property_products_cfc_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"CORP__IPP__gross_investment_current_cost","CORP_intellectual_property_products_gross_investment_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"CORP__IPP__gross_stock_current_cost","CORP_intellectual_property_products_gross_stock_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"CORP__IPP__net_stock_current_cost","CORP_intellectual_property_products_net_stock_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"CORP__IPP__net_stock_quantity_index","CORP_intellectual_property_products_net_stock_quantity_index","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"CORP__IPP__retirements","CORP_intellectual_property_products_retirements","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"CORP__IPP__revaluation_holding_gains","CORP_intellectual_property_products_revaluation_holding_gains","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"GOV_TRANS__gross_stock_current_cost","GOV_TRANS_gross_stock_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","GOV_TRANS_highways_streets_cfc_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","GOV_TRANS_highways_streets_gross_investment_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","GOV_TRANS_highways_streets_net_stock_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","GOV_TRANS_highways_streets_net_stock_quantity_index","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","GOV_TRANS_transportation_structures_cfc_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","GOV_TRANS_transportation_structures_gross_investment_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","GOV_TRANS_transportation_structures_net_stock_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","GOV_TRANS_transportation_structures_net_stock_quantity_index","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"NFC__IPP__cfc_current_cost","NFC_intellectual_property_products_cfc_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"NFC__IPP__gross_investment_current_cost","NFC_intellectual_property_products_gross_investment_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"NFC__IPP__gross_stock_current_cost","NFC_intellectual_property_products_gross_stock_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"NFC__IPP__net_stock_current_cost","NFC_intellectual_property_products_net_stock_current_cost","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"NFC__IPP__net_stock_quantity_index","NFC_intellectual_property_products_net_stock_quantity_index","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"NFC__IPP__retirements","NFC_intellectual_property_products_retirements","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"NFC__IPP__revaluation_holding_gains","NFC_intellectual_property_products_revaluation_holding_gains","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","Parked by D07-0 boundary lock.","Preserved outside the D07 level/accounting panel."
"RESIDENTIAL_CAPITAL_MENU","Residential capital menu","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","Residential capital remains exclusion-diagnostic only.","Preserved outside the D07 level/accounting panel."
"D01_gpim_core_capital_panel","D01 GPIM core capital panel","SUPERSEDED_FOR_BASELINE","D07-0 status not authorized for panel consumption: SUPERSEDED_FOR_BASELINE","metadata/ledger only","Historical output is preserved; not deleted.","Preserved outside the D07 level/accounting panel."
"D01_gpim_gross_survival_panel","D01 GPIM gross survival panel","SUPERSEDED_FOR_BASELINE","D07-0 status not authorized for panel consumption: SUPERSEDED_FOR_BASELINE","metadata/ledger only","No survival rules are reopened.","Preserved outside the D07 level/accounting panel."
"D02_initialization_sensitivity","D02 initialization sensitivity outputs","DIAGNOSTIC_ONLY","D07-0 status not authorized for panel consumption: DIAGNOSTIC_ONLY","metadata/ledger only","No initialization rules are reopened.","Preserved outside the D07 level/accounting panel."
"D03_S29C_price_deflator_outputs","D03 S29C price/deflator outputs","SUPERSEDED_FOR_BASELINE","D07-0 status not authorized for panel consumption: SUPERSEDED_FOR_BASELINE","metadata/ledger only","No pKN revision is made.","Preserved outside the D07 level/accounting panel."
"D04_S12DB_source_price_seed_outputs","D04 S12D_B source price and seed audit","SUPERSEDED_FOR_BASELINE","D07-0 status not authorized for panel consumption: SUPERSEDED_FOR_BASELINE","metadata/ledger only","No seed rule is reopened.","Preserved outside the D07 level/accounting panel."
"S12D_B_GPIM_BASELINE_CONSTRUCTION","S12D_B GPIM baseline construction","SUPERSEDED_FOR_BASELINE","D07-0 status not authorized for panel consumption: SUPERSEDED_FOR_BASELINE","metadata/ledger only","Preserved only for provenance.","Preserved outside the D07 level/accounting panel."
"S29D_ASSET_SPECIFIC_GPIM_STOCK_CONSTRUCTION","S29D asset-specific GPIM stock construction","SUPERSEDED_FOR_BASELINE","D07-0 status not authorized for panel consumption: SUPERSEDED_FOR_BASELINE","metadata/ledger only","Preserved only for provenance.","Preserved outside the D07 level/accounting panel."
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION","S29E core capital aggregation","SUPERSEDED_FOR_BASELINE","D07-0 status not authorized for panel consumption: SUPERSEDED_FOR_BASELINE","metadata/ledger only","D07-0 authorizes only ME + NRC.","Preserved outside the D07 level/accounting panel."
"S29F_TOTAL_CAPITAL_ANALYTICAL_TRANSFORMATIONS","S29F total-capital analytical transformations","PARKED_TRANSFORMATION","D07-0 status not authorized for panel consumption: PARKED_TRANSFORMATION","metadata/ledger only","Logs, growth rates, intensities, and transformed panels remain parked.","Preserved outside the D07 level/accounting panel."
"S29K_TOTAL_CAPITAL_INTERFACE_CONSUMPTION_INTAKE","S29K total-capital interface","SUPERSEDED_FOR_BASELINE","D07-0 status not authorized for panel consumption: SUPERSEDED_FOR_BASELINE","metadata/ledger only","Total capital is not baseline-authorized.","Preserved outside the D07 level/accounting panel."
"K_total","Total capital object","BLOCKED_BOUNDARY_CONFLICT","D07-0 status not authorized for panel consumption: BLOCKED_BOUNDARY_CONFLICT","metadata/ledger only","Explicitly blocked by D07-0.","Preserved outside the D07 level/accounting panel."
"K_real_total","Real total capital object","BLOCKED_BOUNDARY_CONFLICT","D07-0 status not authorized for panel consumption: BLOCKED_BOUNDARY_CONFLICT","metadata/ledger only","Explicitly blocked by D07-0.","Preserved outside the D07 level/accounting panel."
"K_current_total","Current-cost total capital object","BLOCKED_BOUNDARY_CONFLICT","D07-0 status not authorized for panel consumption: BLOCKED_BOUNDARY_CONFLICT","metadata/ledger only","Explicitly blocked by D07-0.","Preserved outside the D07 level/accounting panel."
"pKN_total","Total-capital pKN object","BLOCKED_BOUNDARY_CONFLICT","D07-0 status not authorized for panel consumption: BLOCKED_BOUNDARY_CONFLICT","metadata/ledger only","Explicitly blocked by D07-0.","Preserved outside the D07 level/accounting panel."
"IPP_baseline","IPP baseline capital candidate","PARKED_FRONTIER_CONTEXT","D07-0 status not authorized for panel consumption: PARKED_FRONTIER_CONTEXT","metadata/ledger only","IPP is not capacity-building accumulation capital in D07-0.","Preserved outside the D07 level/accounting panel."
