"variable_id","display_name","description","accounting_block","sector_boundary","accounting_concept","nominal_or_real","unit","role","status","preferred_or_alternative","baseline_authorized","source_file","notes"
"CORP_PBT","Corporate profits before tax","Corporate profits before tax materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","CORP","PBT","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_TAX","Corporate income taxes","Corporate income taxes materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","CORP","NONE_NOT_APPLICABLE","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_TRANSFERS_NET","Corporate business current transfers net","Corporate business current transfers net materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","CORP","NONE_NOT_APPLICABLE","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"CORP_UNDISTRIBUTED","Corporate undistributed profits with IVA and CCAdj","Corporate undistributed profits with IVA and CCAdj materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","CORP","UNDISTRIBUTED_PROFITS","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Corporate objects are useful for reconciliation but do not displace NFC productive-origin baseline."
"I_current_ME","Current-dollar ME gross investment source ingredient","Current-dollar ME gross investment source ingredient materialized by D07 from authorized source-level/accounting artifact.","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME","nominal_current_cost","Millions of current dollars","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","not_applicable","TRUE","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_asset_refrozen_gpim_panel.csv","Mapped from D05/D06 asset panel."
"I_current_NRC","Current-dollar NRC gross investment source ingredient","Current-dollar NRC gross investment source ingredient materialized by D07 from authorized source-level/accounting artifact.","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","NRC","nominal_current_cost","Millions of current dollars","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","not_applicable","TRUE","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_asset_refrozen_gpim_panel.csv","Mapped from D05/D06 asset panel."
"I_real_ME_guardian","GPIM-guarded real ME investment ingredient","GPIM-guarded real ME investment ingredient materialized by D07 from authorized source-level/accounting artifact.","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME","real","D06 real guarded investment units","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","not_applicable","TRUE","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_real_investment_guardian_panel.csv","Constructed as I_current / (D05 pKN_guardian/100)."
"I_real_NRC_guardian","GPIM-guarded real NRC investment ingredient","GPIM-guarded real NRC investment ingredient materialized by D07 from authorized source-level/accounting artifact.","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","NRC","real","D06 real guarded investment units","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","not_applicable","TRUE","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_real_investment_guardian_panel.csv","Constructed as I_current / (D05 pKN_guardian/100)."
"K_current_capacity_refrozen","D06 refrozen current-cost capacity capital","D06 refrozen current-cost capacity capital materialized by D07 from authorized source-level/accounting artifact.","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME_PLUS_NRC","nominal_current_cost","Millions of current dollars","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","not_applicable","TRUE","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","Current-cost ME + NRC accounting support."
"K_current_ME_refrozen","D06 refrozen current-cost machinery and equipment stock","D06 refrozen current-cost machinery and equipment stock materialized by D07 from authorized source-level/accounting artifact.","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME","nominal_current_cost","Millions of current dollars","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","not_applicable","TRUE","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","Current-cost ME component."
"K_current_NRC_refrozen","D06 refrozen current-cost nonresidential construction stock","D06 refrozen current-cost nonresidential construction stock materialized by D07 from authorized source-level/accounting artifact.","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","NRC","nominal_current_cost","Millions of current dollars","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","not_applicable","TRUE","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","Current-cost NRC component."
"K_real_capacity_refrozen","D06 refrozen real capacity capital","D06 refrozen real capacity capital materialized by D07 from authorized source-level/accounting artifact.","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME_PLUS_NRC","real","D06 real GPIM stock units","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","preferred_baseline","TRUE","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","K_capacity = ME + NRC, refrozen in D06."
"K_real_ME_refrozen","D06 refrozen real machinery and equipment stock","D06 refrozen real machinery and equipment stock materialized by D07 from authorized source-level/accounting artifact.","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME","real","D06 real GPIM stock units","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","not_applicable","TRUE","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","ME component of K_capacity."
"K_real_NRC_refrozen","D06 refrozen real nonresidential construction stock","D06 refrozen real nonresidential construction stock materialized by D07 from authorized source-level/accounting artifact.","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","NRC","real","D06 real GPIM stock units","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","not_applicable","TRUE","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","NRC component of K_capacity."
"NFC_CFC","NFC consumption of fixed capital","NFC consumption of fixed capital materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","NFC","NONE_NOT_APPLICABLE","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_COMP","NFC compensation of employees","NFC compensation of employees materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","NFC","NONE_NOT_APPLICABLE","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","NFC compensation share of GVA materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","NFC","NONE_NOT_APPLICABLE","nominal_or_ratio","ratio","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","preferred_baseline","TRUE","output/US/S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE/csv/S30B_distribution_interface_long.csv","S30B preserves NFC_COMP / NFC_GVA as the preferred unadjusted wage-share baseline."
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","NFC compensation share of NVA materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","NFC","NONE_NOT_APPLICABLE","nominal_or_ratio","ratio","preferred_wage_share","AUTHORIZED_FOR_D07_LEVEL_PANEL","preferred_baseline","TRUE","output/US/S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE/csv/S30B_distribution_interface_long.csv","S30B preserves this as a net-value-added wage-share robustness variant."
"NFC_DIVIDENDS_NET","NFC net dividends","NFC net dividends materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","NFC","NONE_NOT_APPLICABLE","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_GVA","NFC gross value added","NFC gross value added materialized by D07 from authorized source-level/accounting artifact.","output_value_added; surplus_distribution","NFC","GVA; NONE_NOT_APPLICABLE","nominal; nominal_or_ratio","Millions of current dollars","output_value_added_level; surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Direct provider income-account line.; NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_NET_INT","NFC net interest and miscellaneous payments","NFC net interest and miscellaneous payments materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution; financial_correction_candidate","NFC","NONE_NOT_APPLICABLE; NET_INTEREST_AND_MISC_PAYMENTS","nominal_or_ratio; nominal","Millions of current dollars","surplus_accounting_ingredient; candidate_only","AUTHORIZED_FOR_D07_LEVEL_PANEL; DIAGNOSTIC_ONLY","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","NFC is the strict productive-origin baseline; use available direct provider names.; Counterparty is not identified; actual and imputed components are not separated; miscellaneous payments are included; not an exact Appendix 6.7 measure."
"NFC_NOS","NFC net operating surplus","NFC net operating surplus materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution; financial_correction_candidate","NFC; CORP_FIN_BOUNDARY","NOS; corporate_financial_boundary_candidate","nominal_or_ratio; nominal","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL; DIAGNOSTIC_ONLY","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","NFC is the strict productive-origin baseline; use available direct provider names.; Observable productive-origin corporate surplus proxy before financial distribution."
"NFC_NVA","NFC net value added","NFC net value added materialized by D07 from authorized source-level/accounting artifact.","output_value_added; surplus_distribution","NFC","NVA; NONE_NOT_APPLICABLE","nominal; nominal_or_ratio","Millions of current dollars","output_value_added_level; surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","alternative","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","Direct provider income-account line.; NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_PAT","NFC profits after tax","NFC profits after tax materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","NFC","PAT","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_PBT","NFC profits before tax","NFC profits before tax materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","NFC","PBT","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_RETAINED","NFC undistributed profits after tax","NFC undistributed profits after tax materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","NFC","RETAINED_PROFITS","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_TAX","NFC corporate income taxes","NFC corporate income taxes materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","NFC","NONE_NOT_APPLICABLE","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_TRANSFERS_NET","NFC business current transfers net","NFC business current transfers net materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","NFC","NONE_NOT_APPLICABLE","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","NFC is the strict productive-origin baseline; use available direct provider names."
"NFC_UNDISTRIBUTED","NFC undistributed profits with IVA and CCAdj","NFC undistributed profits with IVA and CCAdj materialized by D07 from authorized source-level/accounting artifact.","surplus_distribution","NFC","UNDISTRIBUTED_PROFITS","nominal_or_ratio","Millions of current dollars","surplus_accounting_ingredient","AUTHORIZED_FOR_D07_LEVEL_PANEL","scaffold","TRUE","data/external/us_bea_provider/us_bea_variable_menu_long.csv","NFC is the strict productive-origin baseline; use available direct provider names."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","P_Y_NFC_GVA_IMPLICIT_SOURCE","P_Y_NFC_GVA_IMPLICIT_SOURCE materialized by D07 from authorized source-level/accounting artifact.","output_value_added","NFC","deflator_or_price_support","price_index","Index 2017=100","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","not_applicable","TRUE","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_output_price_objects_long.csv","S11B and S11C confirmed the same-boundary source-level derivation | Reconstructed from T11400 lines 17 and 41."
"pKN_capacity","D06 capacity weighted guarded capital valuation price","D06 capacity weighted guarded capital valuation price materialized by D07 from authorized source-level/accounting artifact.","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME_PLUS_NRC","price_index","D06 guarded pKN index/support","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","not_applicable","TRUE","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","Current-cost capacity divided by real capacity, scaled consistently with D06."
"pKN_ME","D06 ME guarded capital valuation price","D06 ME guarded capital valuation price materialized by D07 from authorized source-level/accounting artifact.","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","ME","price_index","D06 guarded pKN index/support","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","not_applicable","TRUE","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","D05/D06 guarded pKN price support."
"pKN_NRC","D06 NRC guarded capital valuation price","D06 NRC guarded capital valuation price materialized by D07 from authorized source-level/accounting artifact.","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","NRC","price_index","D06 guarded pKN index/support","fixed_assets_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","not_applicable","TRUE","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_capacity_refrozen_panel.csv","D05/D06 guarded pKN price support."
"Y_REAL_NFC_GVA_BASELINE","Authoritative real NFC gross value added level","Authoritative real NFC gross value added level materialized by D07 from authorized source-level/accounting artifact.","output_value_added","NFC","GVA","real","Millions of 2017-price-equivalent dollars","output_value_added_level","AUTHORIZED_FOR_D07_LEVEL_PANEL","preferred_baseline","TRUE","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","S30A authorizes this as the real output baseline."
