"variable_id","display_name","accounting_block","sector_boundary","source_stage","source_file","source_column","source_variable_id_if_applicable","transformation_type","transformation_formula","D07_0_contract_status","D07_consumption_status","notes"
"I_real_ME_guardian","GPIM-guarded real ME investment ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_real_investment_guardian_panel.csv","I_real_guardian","I_real_ME_guardian","D06_authorized_refrozen_object","direct read from D06 asset-level panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","D06 ME I_real_guardian read without pKN, survival, or warmup revision."
"I_real_NRC_guardian","GPIM-guarded real NRC investment ingredient","fixed_assets_capacity","NFC_CAPACITY_BOUNDARY","D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN","output/US/D06_GPIM_REFREEZE_WITH_GPIM_GUARDED_pKN/csv/D06_real_investment_guardian_panel.csv","I_real_guardian","I_real_NRC_guardian","D06_authorized_refrozen_object","direct read from D06 asset-level panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","D06 NRC I_real_guardian read without pKN, survival, or warmup revision."
"Y_REAL_NFC_GVA_BASELINE","Authoritative real NFC gross value added level","output_value_added","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_real_output_objects_long.csv","real_output_value","Y_REAL_NFC_GVA_BASELINE","already_constructed_prior_stage","direct read of already constructed same-boundary real NFC GVA","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","No corporate or financial real residual output is constructed."
"P_Y_NFC_GVA_IMPLICIT_SOURCE","P_Y_NFC_GVA_IMPLICIT_SOURCE","output_value_added","NFC","S12B_OUTPUT_PRICE_REAL_OUTPUT","output/US/S12B_OUTPUT_PRICE_REAL_OUTPUT/csv/S12B_output_price_objects_long.csv","value_index_2017","P_Y_NFC_GVA_IMPLICIT_SOURCE","already_constructed_prior_stage","direct read of already constructed NFC implicit GVA deflator support","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Same-boundary NFC support only; not used as CORP or FIN deflator."
"NFC_GVA","NFC gross value added","output_value_added; surplus_distribution","NFC","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","NFC_GVA","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"NFC_NVA","NFC net value added","output_value_added; surplus_distribution","NFC","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","NFC_NVA","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"CORP_GVA","Corporate gross value added","output_value_added; surplus_distribution","CORP","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","CORP_GVA","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"CORP_NVA","Corporate net value added","output_value_added; surplus_distribution","CORP","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","CORP_NVA","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"NFC_COMP","NFC compensation of employees","surplus_distribution","NFC","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","NFC_COMP","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"NFC_CFC","NFC consumption of fixed capital","surplus_distribution","NFC","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","NFC_CFC","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"NFC_NOS","NFC net operating surplus","surplus_distribution; financial_correction_candidate","NFC; CORP_FIN_BOUNDARY","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","NFC_NOS","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL; DIAGNOSTIC_ONLY","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"NFC_PBT","NFC profits before tax","surplus_distribution","NFC","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","NFC_PBT","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"NFC_PAT","NFC profits after tax","surplus_distribution","NFC","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","NFC_PAT","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"NFC_TAX","NFC corporate income taxes","surplus_distribution","NFC","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","NFC_TAX","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"NFC_UNDISTRIBUTED","NFC undistributed profits with IVA and CCAdj","surplus_distribution","NFC","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","NFC_UNDISTRIBUTED","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"NFC_RETAINED","NFC undistributed profits after tax","surplus_distribution","NFC","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","NFC_RETAINED","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"NFC_NET_INT","NFC net interest and miscellaneous payments","surplus_distribution; financial_correction_candidate","NFC","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","NFC_NET_INT","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL; DIAGNOSTIC_ONLY","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"NFC_TRANSFERS_NET","NFC business current transfers net","surplus_distribution","NFC","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","NFC_TRANSFERS_NET","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"NFC_DIVIDENDS_NET","NFC net dividends","surplus_distribution","NFC","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","NFC_DIVIDENDS_NET","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"CORP_COMP","Corporate compensation of employees","surplus_distribution","CORP","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","CORP_COMP","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"CORP_CFC","Corporate consumption of fixed capital","surplus_distribution","CORP","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","CORP_CFC","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"CORP_NOS","Corporate net operating surplus","surplus_distribution","CORP","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","CORP_NOS","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"CORP_PBT","Corporate profits before tax","surplus_distribution","CORP","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","CORP_PBT","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"CORP_PAT","Corporate profits after tax","surplus_distribution","CORP","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","CORP_PAT","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"CORP_TAX","Corporate income taxes","surplus_distribution","CORP","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","CORP_TAX","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"CORP_UNDISTRIBUTED","Corporate undistributed profits with IVA and CCAdj","surplus_distribution","CORP","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","CORP_UNDISTRIBUTED","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"CORP_NET_INT","Corporate net interest and miscellaneous payments","surplus_distribution; financial_correction_candidate","CORP","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","CORP_NET_INT","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL; CANDIDATE_ONLY_REQUIRES_CROSSWALK","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"CORP_TRANSFERS_NET","Corporate business current transfers net","surplus_distribution","CORP","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","CORP_TRANSFERS_NET","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"CORP_DIVIDENDS_NET","Corporate net dividends","surplus_distribution","CORP","LOCAL_PROVIDER_IMPORT","data/external/us_bea_provider/us_bea_variable_menu_long.csv","value","CORP_DIVIDENDS_NET","direct_read","direct source-level read from local provider-imported long panel","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Local committed provider import consumed read-only; provider repo not modified."
"NFC_COMPENSATION_SHARE_GVA","NFC compensation share of GVA","surplus_distribution","NFC","S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","output/US/S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE/csv/S30B_distribution_interface_long.csv","value","NFC_COMPENSATION_SHARE_GVA","D07_0_authorized_accounting_ratio","NFC_COMP / NFC_GVA","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Already constructed S30B accounting ratio consumed without recomputation."
"NFC_COMPENSATION_SHARE_NVA","NFC compensation share of NVA","surplus_distribution","NFC","S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","output/US/S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE/csv/S30B_distribution_interface_long.csv","value","NFC_COMPENSATION_SHARE_NVA","D07_0_authorized_accounting_ratio","NFC_COMP / NFC_NVA","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Already constructed S30B accounting ratio consumed without recomputation."
"CORP_COMPENSATION_SHARE_GVA","Corporate compensation share of GVA","surplus_distribution","CORP","S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","output/US/S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE/csv/S30B_distribution_interface_long.csv","value","CORP_COMPENSATION_SHARE_GVA","D07_0_authorized_accounting_ratio","CORP_COMP / CORP_GVA","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Already constructed S30B accounting ratio consumed without recomputation."
"CORP_COMPENSATION_SHARE_NVA","Corporate compensation share of NVA","surplus_distribution","CORP","S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE","output/US/S30B_INCOME_DISTRIBUTION_FAMILY_CLOSURE/csv/S30B_distribution_interface_long.csv","value","CORP_COMPENSATION_SHARE_NVA","D07_0_authorized_accounting_ratio","CORP_COMP / CORP_NVA","AUTHORIZED_FOR_D07_LEVEL_PANEL","CONSUMED_IN_D07_LEVEL_ACCOUNTING_PANEL","Already constructed S30B accounting ratio consumed without recomputation."
"FIN_GVA","Financial corporate gross value added","output_value_added","FIN","D07_0_CONSUMPTION_CONTRACT","output/US/D07_0_SOURCE_OF_TRUTH_LEVEL_ACCOUNTING_CONSUMPTION_CONTRACT/csv/D07_0_consumption_contract.csv","","FIN_GVA","blocked_not_consumed","not_applicable","CANDIDATE_ONLY_REQUIRES_CROSSWALK","NOT_CONSUMED_STATUS_BLOCKED","D07-0 did not authorize this variable for source-of-truth panel consumption."
"FIN_NVA","Financial corporate net value added","output_value_added","FIN","D07_0_CONSUMPTION_CONTRACT","output/US/D07_0_SOURCE_OF_TRUTH_LEVEL_ACCOUNTING_CONSUMPTION_CONTRACT/csv/D07_0_consumption_contract.csv","","FIN_NVA","blocked_not_consumed","not_applicable","CANDIDATE_ONLY_REQUIRES_CROSSWALK","NOT_CONSUMED_STATUS_BLOCKED","D07-0 did not authorize this variable for source-of-truth panel consumption."
"gva_real_or_qindex_corp","Corporate real GVA or quantity index","output_value_added","CORP","D07_0_CONSUMPTION_CONTRACT","output/US/D07_0_SOURCE_OF_TRUTH_LEVEL_ACCOUNTING_CONSUMPTION_CONTRACT/csv/D07_0_consumption_contract.csv","","gva_real_or_qindex_corp","blocked_not_consumed","not_applicable","BLOCKED_BOUNDARY_CONFLICT","NOT_CONSUMED_STATUS_BLOCKED","D07-0 did not authorize this variable for source-of-truth panel consumption."
"gva_real_or_qindex_fc","Financial corporate real GVA or quantity index","output_value_added","FIN","D07_0_CONSUMPTION_CONTRACT","output/US/D07_0_SOURCE_OF_TRUTH_LEVEL_ACCOUNTING_CONSUMPTION_CONTRACT/csv/D07_0_consumption_contract.csv","","gva_real_or_qindex_fc","blocked_not_consumed","not_applicable","BLOCKED_BOUNDARY_CONFLICT","NOT_CONSUMED_STATUS_BLOCKED","D07-0 did not authorize this variable for source-of-truth panel consumption."
"P_Y_NFC_GVA_T115_VALIDATION","P_Y_NFC_GVA_T115_VALIDATION","output_value_added","NFC","D07_0_CONSUMPTION_CONTRACT","output/US/D07_0_SOURCE_OF_TRUTH_LEVEL_ACCOUNTING_CONSUMPTION_CONTRACT/csv/D07_0_consumption_contract.csv","","P_Y_NFC_GVA_T115_VALIDATION","blocked_not_consumed","not_applicable","DIAGNOSTIC_ONLY","NOT_CONSUMED_STATUS_BLOCKED","D07-0 did not authorize this variable for source-of-truth panel consumption."
"P_Y_PROXY_GDP_IMPLICIT","P_Y_PROXY_GDP_IMPLICIT","output_value_added","TOTAL_ECONOMY","D07_0_CONSUMPTION_CONTRACT","output/US/D07_0_SOURCE_OF_TRUTH_LEVEL_ACCOUNTING_CONSUMPTION_CONTRACT/csv/D07_0_consumption_contract.csv","","P_Y_PROXY_GDP_IMPLICIT","metadata_only_not_consumed","not_applicable","PARKED_FRONTIER_CONTEXT","NOT_CONSUMED_STATUS_BLOCKED","D07-0 did not authorize this variable for source-of-truth panel consumption."
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","output_value_added","NONFARM_BUSINESS","D07_0_CONSUMPTION_CONTRACT","output/US/D07_0_SOURCE_OF_TRUTH_LEVEL_ACCOUNTING_CONSUMPTION_CONTRACT/csv/D07_0_consumption_contract.csv","","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","metadata_only_not_consumed","not_applicable","PARKED_FRONTIER_CONTEXT","NOT_CONSUMED_STATUS_BLOCKED","D07-0 did not authorize this variable for source-of-truth panel consumption."
"P_Y_PROXY_BUSINESS_OUTPUT","P_Y_PROXY_BUSINESS_OUTPUT","output_value_added","BUSINESS_SECTOR","D07_0_CONSUMPTION_CONTRACT","output/US/D07_0_SOURCE_OF_TRUTH_LEVEL_ACCOUNTING_CONSUMPTION_CONTRACT/csv/D07_0_consumption_contract.csv","","P_Y_PROXY_BUSINESS_OUTPUT","metadata_only_not_consumed","not_applicable","PARKED_FRONTIER_CONTEXT","NOT_CONSUMED_STATUS_BLOCKED","D07-0 did not authorize this variable for source-of-truth panel consumption."
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","output_value_added","NONFARM_BUSINESS_SECTOR","D07_0_CONSUMPTION_CONTRACT","output/US/D07_0_SOURCE_OF_TRUTH_LEVEL_ACCOUNTING_CONSUMPTION_CONTRACT/csv/D07_0_consumption_contract.csv","","P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","metadata_only_not_consumed","not_applicable","PARKED_FRONTIER_CONTEXT","NOT_CONSUMED_STATUS_BLOCKED","D07-0 did not authorize this variable for source-of-truth panel consumption."
"P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","output_value_added","FINANCE_AND_INSURANCE_INDUSTRY","D07_0_CONSUMPTION_CONTRACT","output/US/D07_0_SOURCE_OF_TRUTH_LEVEL_ACCOUNTING_CONSUMPTION_CONTRACT/csv/D07_0_consumption_contract.csv","","P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","metadata_only_not_consumed","not_applicable","PARKED_FRONTIER_CONTEXT","NOT_CONSUMED_STATUS_BLOCKED","D07-0 did not authorize this variable for source-of-truth panel consumption."
"P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","output_value_added","MANUFACTURING_INDUSTRY","D07_0_CONSUMPTION_CONTRACT","output/US/D07_0_SOURCE_OF_TRUTH_LEVEL_ACCOUNTING_CONSUMPTION_CONTRACT/csv/D07_0_consumption_contract.csv","","P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","metadata_only_not_consumed","not_applicable","PARKED_FRONTIER_CONTEXT","NOT_CONSUMED_STATUS_BLOCKED","D07-0 did not authorize this variable for source-of-truth panel consumption."
"FIN_GVA","FIN_GVA","surplus_distribution","FIN","D07_0_CONSUMPTION_CONTRACT","output/US/D07_0_SOURCE_OF_TRUTH_LEVEL_ACCOUNTING_CONSUMPTION_CONTRACT/csv/D07_0_consumption_contract.csv","","FIN_GVA","blocked_not_consumed","not_applicable","CANDIDATE_ONLY_REQUIRES_CROSSWALK","NOT_CONSUMED_STATUS_BLOCKED","D07-0 did not authorize this variable for source-of-truth panel consumption."
