"variable_id","concept_group_id","reporting_tier","representation_type","plot_eligible","plot_priority","recommended_plot_type","recommended_scale","zero_line_required","percentage_axis","event_profile_eligible","main_text_figure_eligible","appendix_figure_eligible","plotting_note"
"NFC_COMPENSATION_SHARE_NVA","NFC_COMPENSATION_SHARE_NVA","TIER_B_ROBUSTNESS","SHARE_OR_RATIO","yes","appendix","time_series_line","percentage_or_ratio","no","yes","yes","no","yes","Registry only. S31B generates no figures."
"NFC_NET_OPERATING_SURPLUS_SHARE_GVA","NFC_NET_OPERATING_SURPLUS_SHARE_GVA","TIER_C_REFERENCE_ONLY","SHARE_OR_RATIO","yes","reference","time_series_line","percentage_or_ratio","no","yes","yes","no","yes","Registry only. S31B generates no figures."
"NFC_NET_OPERATING_SURPLUS_SHARE_NVA","NFC_NET_OPERATING_SURPLUS_SHARE_NVA","TIER_C_REFERENCE_ONLY","SHARE_OR_RATIO","yes","reference","time_series_line","percentage_or_ratio","no","yes","yes","no","yes","Registry only. S31B generates no figures."
"y_real_nfc_gva_baseline","REAL_NFC_GVA_BASELINE","TIER_A_CORE","LOG_LEVEL","no","main","time_series_line","native","no","conditional","no","no","yes","Registry only. S31B generates no figures."
"Y_REAL_NFC_GVA_BASELINE","REAL_NFC_GVA_BASELINE","TIER_A_CORE","LEVEL","yes","main","time_series_line","native","no","conditional","yes","yes","yes","Registry only. S31B generates no figures."
"y_real_nfc_gva_proxy_gdp_implicit","REAL_NFC_GVA_PROXY_GDP_IMPLICIT","TIER_B_ROBUSTNESS","LOG_LEVEL","no","appendix","time_series_line","native","no","conditional","no","no","yes","Registry only. S31B generates no figures."
"Y_REAL_NFC_GVA_PROXY_GDP_IMPLICIT","REAL_NFC_GVA_PROXY_GDP_IMPLICIT","TIER_B_ROBUSTNESS","LEVEL","yes","appendix","time_series_line","native","no","conditional","yes","no","yes","Registry only. S31B generates no figures."
"y_real_nfc_gva_proxy_nonfarm_business_output","REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","TIER_B_ROBUSTNESS","LOG_LEVEL","no","appendix","time_series_line","native","no","conditional","no","no","yes","Registry only. S31B generates no figures."
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT","TIER_B_ROBUSTNESS","LEVEL","yes","appendix","time_series_line","native","no","conditional","yes","no","yes","Registry only. S31B generates no figures."
"y_real_nfc_gva_proxy_business_output","REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","TIER_B_ROBUSTNESS","LOG_LEVEL","no","appendix","time_series_line","native","no","conditional","no","no","yes","Registry only. S31B generates no figures."
"Y_REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","REAL_NFC_GVA_PROXY_BUSINESS_OUTPUT","TIER_B_ROBUSTNESS","LEVEL","yes","appendix","time_series_line","native","no","conditional","yes","no","yes","Registry only. S31B generates no figures."
"y_real_nfc_gva_proxy_nonfarm_business_output_bls","REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","TIER_B_ROBUSTNESS","LOG_LEVEL","no","appendix","time_series_line","native","no","conditional","no","no","yes","Registry only. S31B generates no figures."
"Y_REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","REAL_NFC_GVA_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","TIER_B_ROBUSTNESS","LEVEL","yes","appendix","time_series_line","native","no","conditional","yes","no","yes","Registry only. S31B generates no figures."
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","REAL_NFC_GVA_PROXY_FINANCE_INSURANCE","TIER_B_ROBUSTNESS","LOG_LEVEL","no","appendix","time_series_line","native","no","conditional","no","no","yes","Registry only. S31B generates no figures."
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","REAL_NFC_GVA_PROXY_FINANCE_INSURANCE","TIER_B_ROBUSTNESS","LEVEL","yes","appendix","time_series_line","native","no","conditional","yes","no","yes","Registry only. S31B generates no figures."
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","REAL_NFC_GVA_PROXY_MANUFACTURING","TIER_B_ROBUSTNESS","LOG_LEVEL","no","appendix","time_series_line","native","no","conditional","no","no","yes","Registry only. S31B generates no figures."
"Y_REAL_NFC_GVA_PROXY_GDPBYIND_VA_MANUFACTURING","REAL_NFC_GVA_PROXY_MANUFACTURING","TIER_B_ROBUSTNESS","LEVEL","yes","appendix","time_series_line","native","no","conditional","yes","no","yes","Registry only. S31B generates no figures."
