"claim_id","audience_facing_claim","producer_script","located_source_line","expression","input_artifact","output_artifact","recomputed_value","published_value","absolute_difference","tolerance","status","notes"
"SRC_S35_ORTH_BETA_INTER","S35 Golden-Age FM-OLS reproduces SPEC_B_NRC_orth beta_inter.","codes/US_S35_estimator_refreeze_cpr.R",127,"cointReg::cointRegFM(x = x, y = y, deter = deter, bandwidth = ""nw"")","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S35_estimator_refreeze_cpr/csv/us_s35_cpr_estimation_results.csv",-1.02937094758227,-1.02937,9.47582265320435e-07,5e-05,"PASS","Tolerance reflects the five-decimal published coefficient ledger."
"SRC_RECON_COEF_THETA","The reconstruction script hard-codes the S35 orthogonalized theta coefficient.","codes/reconstruct_golden_age_paths.R",48,"beta_k_B <- 0.23784","output/US/S35_estimator_refreeze_cpr/csv/us_s35_cpr_estimation_results.csv","output/US/reconstruction_comparison/us_golden_age_reconstructed_paths.csv",0.23784,0.237843515947759,3.51594775899189e-06,5e-05,"PASS",""
"SRC_RECON_COEF_PSI","The reconstruction script hard-codes the S35 orthogonalized psi coefficient.","codes/reconstruct_golden_age_paths.R",49,"beta_tau_B <- 0.31207","output/US/S35_estimator_refreeze_cpr/csv/us_s35_cpr_estimation_results.csv","output/US/reconstruction_comparison/us_golden_age_reconstructed_paths.csv",0.31207,0.312068306511947,1.69348805351133e-06,5e-05,"PASS",""
"SRC_RECON_COEF_LAMBDA","The reconstruction script hard-codes the S35 orthogonalized lambda coefficient.","codes/reconstruct_golden_age_paths.R",50,"beta_inter_B <- -1.02937","output/US/S35_estimator_refreeze_cpr/csv/us_s35_cpr_estimation_results.csv","output/US/reconstruction_comparison/us_golden_age_reconstructed_paths.csv",-1.02937,-1.02937094758227,9.47582265320435e-07,5e-05,"PASS",""
"SRC_RECON_SERIES_THETA_ME_T","The original reconstruction series theta_ME_t is reproduced from its script.","codes/reconstruct_golden_age_paths.R",128,"ga_data$theta_total_t <- ga_data$g_Yp_B / ga_data$g_Kcap","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/reconstruction_comparison/us_golden_age_reconstructed_paths.csv",4.9960036108132e-16,0,4.9960036108132e-16,1e-10,"PASS",""
"SRC_RECON_SERIES_THETA_NRC_T","The original reconstruction series theta_NRC_t is reproduced from its script.","codes/reconstruct_golden_age_paths.R",128,"ga_data$theta_total_t <- ga_data$g_Yp_B / ga_data$g_Kcap","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/reconstruction_comparison/us_golden_age_reconstructed_paths.csv",4.85722573273506e-17,0,4.85722573273506e-17,1e-10,"PASS",""
"SRC_RECON_SERIES_THETA_TOTAL_T","The original reconstruction series theta_total_t is reproduced from its script.","codes/reconstruct_golden_age_paths.R",128,"ga_data$theta_total_t <- ga_data$g_Yp_B / ga_data$g_Kcap","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/reconstruction_comparison/us_golden_age_reconstructed_paths.csv",8.43769498715119e-15,0,8.43769498715119e-15,1e-10,"PASS",""
"SRC_RECON_GP","The original productive-capacity growth series is reproduced before division by capital growth.","codes/reconstruct_golden_age_paths.R",57,"panel$g_Yp_B <- panel$theta_NRC_t * panel$g_NRC + panel$theta_ME_t * panel$g_ME","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/reconstruction_comparison/us_golden_age_reconstructed_paths.csv",3.46944695195361e-16,0,3.46944695195361e-16,1e-10,"PASS",""
"SRC_RECON_OUTPUT_BOUNDARY","The original reconstruction anchors productive capacity to total real GDP in 1973.","codes/reconstruct_golden_age_paths.R",62,"panel$yp_spec_B[idx_1973] <- panel$y_total[idx_1973]","codes/reconstruct_golden_age_paths.R","output/US/reconstruction_comparison/us_golden_age_reconstructed_paths.csv",1,1,0,0,"PASS","Script-fact check; this is an accounting-boundary observation, not a model comparison."
"SRC_S90_OUTPUT_BOUNDARY","The S90 reconstruction fixes observed output at real NFC GVA.","codes/US_S90_path_dependent_theta_robustness.R",105,"panel$y <- log(panel$Y_REAL_NFC_GVA_BASELINE_D09)","output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_us_source_of_truth_panel_wide.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_reconstructed_structural_and_path_series.csv",1,1,0,0,"PASS","Script-fact check; the capital boundary remains NFC in both reconstructions."
"SRC_S90_PRIMITIVE_INTERCEPT","S90 reproduces the primitive-basis intercept coefficient.","codes/US_S90_path_dependent_theta_robustness.R",449,"primitive_beta <- c(","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_coefficient_back_transformation_audit.csv",14.8215422788154,14.8215400339775,2.24483785871143e-06,5e-05,"PASS",""
"SRC_S90_PRIMITIVE_THETA","S90 reproduces the primitive-basis theta coefficient.","codes/US_S90_path_dependent_theta_robustness.R",449,"primitive_beta <- c(","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_coefficient_back_transformation_audit.csv",0.341433039324648,0.341429428018073,3.61130657527964e-06,5e-05,"PASS",""
"SRC_S90_PRIMITIVE_PSI","S90 reproduces the primitive-basis psi coefficient.","codes/US_S90_path_dependent_theta_robustness.R",449,"primitive_beta <- c(","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_coefficient_back_transformation_audit.csv",0.276959427174711,0.276961152982067,1.72580735591232e-06,5e-05,"PASS",""
"SRC_S90_PRIMITIVE_PHI","S90 reproduces the primitive-basis phi coefficient.","codes/US_S90_path_dependent_theta_robustness.R",449,"primitive_beta <- c(","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_coefficient_back_transformation_audit.csv",-4.47140275234613,-4.47140625265296,3.50030683282654e-06,5e-05,"PASS",""
"SRC_S90_PRIMITIVE_LAMBDA","S90 reproduces the primitive-basis lambda coefficient.","codes/US_S90_path_dependent_theta_robustness.R",449,"primitive_beta <- c(","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_coefficient_back_transformation_audit.csv",-1.02937094758227,-1.02937,9.47582265320435e-07,5e-05,"PASS",""
"SRC_S90_ORTH_PRIMITIVE_FIT","Back-transformation changes the coefficient basis but leaves fitted capacity unchanged.","codes/US_S90_path_dependent_theta_robustness.R",449,"primitive_beta <- c(","output/S34R_B_cpr_realigned_design_gate/csv/S34R_B_repaired_augmented_panel.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_coefficient_back_transformation_audit.csv",4.79616346638068e-14,0,4.79616346638068e-14,1e-10,"PASS",""
"SRC_S90_PATH_IDENTITY","The observed-direction ratio equals the three exact economic contributions.","codes/US_S90_path_dependent_theta_robustness.R",506,"build_path <- function(df, beta, label) {","output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_us_source_of_truth_panel_wide.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_original_vartheta_path_exact_contribution_ledger.csv",4.44089209850063e-16,0,4.44089209850063e-16,1e-12,"PASS",""
"SRC_S90_PATH_SERIES","The corrected S90 capacity-growth path and contribution series reproduce from D10 levels.","codes/US_S90_path_dependent_theta_robustness.R",506,"build_path <- function(df, beta, label) {","output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_us_source_of_truth_panel_wide.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_original_vartheta_path_exact_contribution_ledger.csv",5.99520433297585e-15,0,5.99520433297585e-15,5e-05,"PASS",""
"SRC_S90_SHAPLEY","The roughness shares reproduce from the script's six-order Shapley calculation.","codes/US_S90_path_dependent_theta_robustness.R",564,"shapley_once <- function(df, beta) {","output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_us_source_of_truth_panel_wide.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_shapley_roughness_attribution_ledger.csv",8.88178419700125e-16,0,8.88178419700125e-16,1e-10,"PASS",""
"SRC_S90_RHO_NFC_GVA","The BIC profile minimum reproduces the reported persistence for NFC_GVA.","codes/US_S90_path_dependent_theta_robustness.R",345,"best_i <- which.min(ok_bic)","output/US/S90_path_dependent_theta_robustness/csv/S90_M3_persistence_profile_ledger.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_M3_persistence_and_half_life_results.csv",0.98,0.98,0,1e-12,"PASS",""
"SRC_S90_RHO_NFC_NVA","The BIC profile minimum reproduces the reported persistence for NFC_NVA.","codes/US_S90_path_dependent_theta_robustness.R",345,"best_i <- which.min(ok_bic)","output/US/S90_path_dependent_theta_robustness/csv/S90_M3_persistence_profile_ledger.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_M3_persistence_and_half_life_results.csv",0.96,0.96,0,1e-12,"PASS",""
"SRC_S90_RHO_CORP_GVA","The BIC profile minimum reproduces the reported persistence for CORP_GVA.","codes/US_S90_path_dependent_theta_robustness.R",345,"best_i <- which.min(ok_bic)","output/US/S90_path_dependent_theta_robustness/csv/S90_M3_persistence_profile_ledger.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_M3_persistence_and_half_life_results.csv",0.95,0.95,0,1e-12,"PASS",""
"SRC_S90_RHO_CORP_NVA","The BIC profile minimum reproduces the reported persistence for CORP_NVA.","codes/US_S90_path_dependent_theta_robustness.R",345,"best_i <- which.min(ok_bic)","output/US/S90_path_dependent_theta_robustness/csv/S90_M3_persistence_profile_ledger.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_M3_persistence_and_half_life_results.csv",0.94,0.94,0,1e-12,"PASS",""
"SRC_S90_BOOTSTRAP_COUNT","Every wage boundary uses 1,000 four-year moving-block bootstrap draws.","codes/US_S90_path_dependent_theta_robustness.R",359,"bootstrap_reps <- as.integer(Sys.getenv(""S90_BOOTSTRAP_REPS"", ""1000""))","output/US/S90_path_dependent_theta_robustness/csv/S90_M3_moving_block_bootstrap_draws.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_M3_persistence_and_half_life_results.csv",1000,1000,0,0,"PASS",""
"SRC_S90_MU_ANCHOR","Every reconstructed NFC utilization path is anchored at mu_1973 = 1.","codes/US_S90_path_dependent_theta_robustness.R",680,"yp[anchor] <- yy[anchor]","output/US/D10_CLEAN_US_ECONOMETRIC_AND_ACCOUNTING_SOURCE_OF_TRUTH_DATASET/csv/D10_clean_us_source_of_truth_panel_wide.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_reconstructed_structural_and_path_series.csv",0,0,0,1e-12,"PASS",""
"SRC_S90_VALIDATION","All S90 numerical identities pass their declared tolerances.","codes/US_S90_path_dependent_theta_robustness.R",908,"validation <- data.frame(","output/US/S90_path_dependent_theta_robustness/csv/S90_validation_checks.csv","output/US/S90_path_dependent_theta_robustness/csv/S90_validation_checks.csv",0,0,0,0,"PASS",""
