"variable_id","display_name","construction_family","s24c_construction_status","constructed_observation_rows","expected_observation_rows","coverage_start","expected_coverage_start","coverage_end","expected_coverage_end","source_dataset","source_table","source_line","source_line_description","unit","frequency","provider_release_commit","provider_v1_commit","s21_intake_commit","s22_model_input_preparation_commit","s23_construction_plan_commit","s24a_income_distribution_construction_commit","s24b_fixed_assets_construction_commit","s22_authorization","s23_authorization_scope","s24c_decision_effect","can_enter_modeling","can_construct_adjusted_shaikh","blocked_or_parked_status","notes"
"WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE","Wage Share Unadjusted Nfc Gva Baseline","provider_source_inputs_other","constructed",1,1,,,,,"S20E_CL_CONCEPTUAL_LEDGER","S20E_CL_candidate_menu","","NFC_COMP / NFC_GVA","metadata_only","not_applicable","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__e_adj_CORP","e_adj_CORP","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__e_adj_NFC","e_adj_NFC","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__e_x_Kcap","e_x_Kcap","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__e_x_ME","e_x_ME","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__e_x_ME_NRC_gap","e_x_ME_NRC_gap","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__e_x_NRC","e_x_NRC","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__ln_e_adj_CORP","ln_e_adj_CORP","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__ln_e_adj_NFC","ln_e_adj_NFC","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__omega_adj_CORP","omega_adj_CORP","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__omega_adj_NFC","omega_adj_NFC","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__pi_adj_CORP","pi_adj_CORP","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"DOWNSTREAM__pi_adj_NFC","pi_adj_NFC","provider_source_inputs_other","constructed_zero_observation_metadata_record",0,0,,,,,"","","","","","","","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","","","","No transformation beyond S21 row filtering and lineage preservation."
"T711_L28","BankMonIntPaid_received_financial","provider_source_inputs_other","constructed",79,79,1946,1946,2024,2024,"NIPA","T71100","28","Financial","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"T711_L4","BankMonIntPaid_paid_financial","provider_source_inputs_other","constructed",79,79,1946,1946,2024,2024,"NIPA","T71100","4","Financial","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"T711_L44","BankMonIntPaid_paid_banks_credit_investment","provider_source_inputs_other","constructed",79,79,1946,1946,2024,2024,"NIPA","T71100","44","Banks, credit agencies, and investment companies","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"T711_L52","BankMonIntPaid_paid_state_local","provider_source_inputs_other","constructed",79,79,1946,1946,2024,2024,"NIPA","T71100","52","State and local","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"T711_L53","CorpNFNetImpIntPaid_line53","provider_source_inputs_other","constructed",39,39,1986,1986,2024,2024,"NIPA","T71100","53","Rest of the world","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"T711_L73","BankMonIntPaid_received_federal","provider_source_inputs_other","constructed",79,79,1946,1946,2024,2024,"NIPA","T71100","73","Federal","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"T711_L74","CorpNFNetImpIntPaid_line74","provider_source_inputs_other","constructed",79,79,1946,1946,2024,2024,"NIPA","T71100","74","State and local","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
"T711_L91","BankMonIntPaid_paid_government","provider_source_inputs_other","constructed",79,79,1946,1946,2024,2024,"NIPA","T71100","91","Government","Millions of current dollars","A","af67374e28232d02d65765d3836dc2ab3e3da8eb","af67374e28232d02d65765d3836dc2ab3e3da8eb","3a0f5064d92fc09f97a55850b4086670d9cedc4b","d6f47bcdaa80bc146196f99a1ccf9207d6957e57","96be02bd0acb4ca10ecc626d07482f6176e7c3b3","444fb8397c00feb801369eac52614ca633afbfcc","24bcad5797cbebddbd77d697bc3ebdf0049746e2","authorized_for_variable_construction_planning_only","future_implementation_planning_only","constructed_as_authorized_provider_source_inputs_other_only","no","no","not_blocked_or_parked","No transformation beyond S21 row filtering and lineage preservation."
