"variable_id","consumer_registration_status","consumer_lane","value_bearing_consumer_input","active_by_default","explicit_future_authorization_required","permitted_use","prohibited_use","intake_status"
"P_Y_NFC_GVA_IMPLICIT_SOURCE","REGISTERED_DEFLATOR_SUPPORT_AUTHORIZED","deflator_support_authoritative","no","no","yes","deflate NFC GVA baseline where same-boundary NFC output price is required","do not use as CORP or FC deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","CONSUMER_INTAKE_READY"
"P_Y_NFC_GVA_T115_VALIDATION","REGISTERED_DIAGNOSTIC_ONLY","diagnostic_validation_reference","no","no","yes","validate P_Y_NFC_GVA_IMPLICIT_SOURCE","do not replace baseline derivation; do not use as CORP/FC deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","CONSUMER_INTAKE_READY"
"P_Y_PROXY_GDP_IMPLICIT","REGISTERED_ROBUSTNESS_DEFLATOR_SUPPORT","robustness_deflator_support","no","no","yes","robustness deflator only","do not relabel as same-boundary CORP/FC GVA deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","CONSUMER_INTAKE_READY"
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","REGISTERED_ROBUSTNESS_DEFLATOR_SUPPORT","robustness_deflator_support","no","no","yes","robustness deflator only","do not relabel as same-boundary CORP/FC GVA deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","CONSUMER_INTAKE_READY"
"P_Y_PROXY_BUSINESS_OUTPUT","REGISTERED_ROBUSTNESS_DEFLATOR_SUPPORT","robustness_deflator_support","no","no","yes","robustness deflator only","do not relabel as same-boundary CORP/FC GVA deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","CONSUMER_INTAKE_READY"
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","REGISTERED_ROBUSTNESS_DEFLATOR_SUPPORT","robustness_deflator_support","no","no","yes","robustness deflator only","do not relabel as same-boundary CORP/FC GVA deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","CONSUMER_INTAKE_READY"
"P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","REGISTERED_ROBUSTNESS_DEFLATOR_SUPPORT","robustness_deflator_support","no","no","yes","robustness deflator only","do not relabel as same-boundary CORP/FC GVA deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","CONSUMER_INTAKE_READY"
"P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","REGISTERED_ROBUSTNESS_DEFLATOR_SUPPORT","robustness_deflator_support","no","no","yes","robustness deflator only","do not relabel as same-boundary CORP/FC GVA deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","CONSUMER_INTAKE_READY"
"Y_OUTPUT_AUTHORITY","REGISTERED_ALIAS_INTERFACE_ONLY","alias_reference","no","no","yes","alias_compatibility","not_independent_variable; not_new_source; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization","CONSUMER_INTAKE_READY"
"y_output_authority","REGISTERED_ALIAS_INTERFACE_ONLY","alias_reference","no","no","yes","alias_compatibility","not_independent_variable; not_new_source; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization","CONSUMER_INTAKE_READY"
"Y_EFFECTIVE_OUTPUT_NFC","REGISTERED_ALIAS_INTERFACE_ONLY","alias_reference","no","no","yes","alias_compatibility","not_independent_variable; not_new_source; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization","CONSUMER_INTAKE_READY"
"y_effective_output_nfc","REGISTERED_ALIAS_INTERFACE_ONLY","alias_reference","no","no","yes","alias_compatibility","not_independent_variable; not_new_source; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization","CONSUMER_INTAKE_READY"
