"variable_id","contract_status","consumer_lane","permitted_use","prohibited_use","validation_status"
"y_real_nfc_gva_proxy_gdpbyind_va_finance_insurance","ROBUSTNESS_AUTHORIZED","robustness_representation","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"y_real_nfc_gva_proxy_gdpbyind_va_manufacturing","ROBUSTNESS_AUTHORIZED","robustness_representation","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"y_real_nfc_gva_proxy_nonfarm_business_output","ROBUSTNESS_AUTHORIZED","robustness_representation","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"y_real_nfc_gva_proxy_nonfarm_business_output_bls","ROBUSTNESS_AUTHORIZED","robustness_representation","robustness_only_real_output_representation","not_authoritative_baseline; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization; not_cross_family_join; not_complete_case_sample","PASS"
"P_Y_NFC_GVA_IMPLICIT_SOURCE","DEFLATOR_SUPPORT_AUTHORIZED","deflator_support_authoritative","deflate NFC GVA baseline where same-boundary NFC output price is required","do not use as CORP or FC deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","PASS"
"P_Y_NFC_GVA_T115_VALIDATION","DIAGNOSTIC_ONLY","diagnostic_validation_reference","validate P_Y_NFC_GVA_IMPLICIT_SOURCE","do not replace baseline derivation; do not use as CORP/FC deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","PASS"
"P_Y_PROXY_GDP_IMPLICIT","ROBUSTNESS_DEFLATOR_SUPPORT","robustness_deflator_support","robustness deflator only","do not relabel as same-boundary CORP/FC GVA deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","PASS"
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT","ROBUSTNESS_DEFLATOR_SUPPORT","robustness_deflator_support","robustness deflator only","do not relabel as same-boundary CORP/FC GVA deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","PASS"
"P_Y_PROXY_BUSINESS_OUTPUT","ROBUSTNESS_DEFLATOR_SUPPORT","robustness_deflator_support","robustness deflator only","do not relabel as same-boundary CORP/FC GVA deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","PASS"
"P_Y_PROXY_NONFARM_BUSINESS_OUTPUT_BLS","ROBUSTNESS_DEFLATOR_SUPPORT","robustness_deflator_support","robustness deflator only","do not relabel as same-boundary CORP/FC GVA deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","PASS"
"P_Y_PROXY_GDPBYIND_VA_FINANCE_INSURANCE","ROBUSTNESS_DEFLATOR_SUPPORT","robustness_deflator_support","robustness deflator only","do not relabel as same-boundary CORP/FC GVA deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","PASS"
"P_Y_PROXY_GDPBYIND_VA_MANUFACTURING","ROBUSTNESS_DEFLATOR_SUPPORT","robustness_deflator_support","robustness deflator only","do not relabel as same-boundary CORP/FC GVA deflator; not_productive_capacity; not_capacity_utilization; not_cross_family_join","PASS"
"Y_OUTPUT_AUTHORITY","ALIAS_INTERFACE_ONLY","alias_reference","alias_compatibility","not_independent_variable; not_new_source; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization","PASS"
"y_output_authority","ALIAS_INTERFACE_ONLY","alias_reference","alias_compatibility","not_independent_variable; not_new_source; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization","PASS"
"Y_EFFECTIVE_OUTPUT_NFC","ALIAS_INTERFACE_ONLY","alias_reference","alias_compatibility","not_independent_variable; not_new_source; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization","PASS"
"y_effective_output_nfc","ALIAS_INTERFACE_ONLY","alias_reference","alias_compatibility","not_independent_variable; not_new_source; not_CORP_or_FC_real_GVA; not_productive_capacity; not_capacity_utilization","PASS"
