asset_id,asset_title,ws_dimension,support_role,mechanism_family,why_relevant,thin_dimension_helped,confidence
ASSET_008,Argument-Evidence Matrix,External constraint / balance-of-payments / trade dependency,variable_support,financial_strangulation,Best anti-drift asset for converting mechanisms into observables and keeping claims tied to evidentiary burden.,yes,high
ASSET_008,Argument-Evidence Matrix,Strategic commodities / copper / resource sovereignty,variable_support,financial_strangulation,Best anti-drift asset for converting mechanisms into observables and keeping claims tied to evidentiary burden.,yes,high
ASSET_009,Dissertation Reframing Workbench,Crisis of Atlantic Fordism / world monetary disorder,overlap_support,unclear,Useful comparative-relational framing notebook. Keep it subordinate to source-first extraction.,yes,medium
ASSET_009,Dissertation Reframing Workbench,Transnational capital / multinational corporate power,overlap_support,unclear,Useful comparative-relational framing notebook. Keep it subordinate to source-first extraction.,yes,medium
ASSET_010,Mapa argumental,External constraint / balance-of-payments / trade dependency,mechanism_support,trade_channel_disruption,"Strong mechanism skeleton for blockage, shortage, sabotage, copper, and external pressure.",yes,high
ASSET_010,Mapa argumental,Strategic commodities / copper / resource sovereignty,mechanism_support,trade_channel_disruption,"Strong mechanism skeleton for blockage, shortage, sabotage, copper, and external pressure.",yes,high
ASSET_012,Periodization Control Sheet,External constraint / balance-of-payments / trade dependency,periodization_support,financial_strangulation,"Best sequencing aid for foreign-exchange pressure, anti-communist containment, and 1970-1973 turbulence.",yes,high
ASSET_012,Periodization Control Sheet,Crisis of Atlantic Fordism / world monetary disorder,periodization_support,financial_strangulation,"Best sequencing aid for foreign-exchange pressure, anti-communist containment, and 1970-1973 turbulence.",yes,high
ASSET_013,Industrial Patronage English APA Manuscript Reservoir,Transnational capital / multinational corporate power,drafting_support,commodity_sovereignty_conflict,"Citation-rich prose reservoir with useful pointers on copper, spare parts, dollar scarcity, and corporate retaliation. Do not treat as evidence.",yes,medium
ASSET_013,Industrial Patronage English APA Manuscript Reservoir,Strategic commodities / copper / resource sovereignty,drafting_support,commodity_sovereignty_conflict,"Citation-rich prose reservoir with useful pointers on copper, spare parts, dollar scarcity, and corporate retaliation. Do not treat as evidence.",yes,medium
ASSET_014,Nota maestra,External constraint / balance-of-payments / trade dependency,drafting_support,unclear,"Stable prose reservoir and synthesis notebook. Useful for memory, not for evidence claims.",yes,medium
ASSET_019,Overlap Hinge Assets,"Diplomatic isolation, blockade, recognition, and alliance structure",overlap_support,diplomatic_isolation,Best bridge note for overlap routing between corridor materials and AR-facing hinge work.,yes,high
ASSET_019,Overlap Hinge Assets,External constraint / balance-of-payments / trade dependency,overlap_support,diplomatic_isolation,Best bridge note for overlap routing between corridor materials and AR-facing hinge work.,yes,high
ASSET_020,WS Support Assets,External constraint / balance-of-payments / trade dependency,workflow_control,financial_strangulation,"Explicit bridge note for how the asset layer should support, not replace, the WS corridor.",yes,high
ASSET_020,WS Support Assets,"Diplomatic isolation, blockade, recognition, and alliance structure",workflow_control,financial_strangulation,"Explicit bridge note for how the asset layer should support, not replace, the WS corridor.",yes,high
ASSET_034,Registro de tablas y figuras,External constraint / balance-of-payments / trade dependency,variable_support,unclear,"Unique variable-hardening aid for tables and figures around distribution, profitability, sector structure, and macro constraints.",yes,high
ASSET_034,Registro de tablas y figuras,Strategic commodities / copper / resource sovereignty,variable_support,unclear,"Unique variable-hardening aid for tables and figures around distribution, profitability, sector structure, and macro constraints.",yes,high
ASSET_038,Apunte Historia Social 1957-1973 Mirror PDF,U.S. interventionism,context_only,security_doctrine_legitimation,"Background PDF stored inside the mirror bundle. Treat as reservoir or follow-up candidate, not as WS evidence by default.",yes,medium
ASSET_038,Apunte Historia Social 1957-1973 Mirror PDF,Inter-American order / hemispheric security doctrine,context_only,security_doctrine_legitimation,"Background PDF stored inside the mirror bundle. Treat as reservoir or follow-up candidate, not as WS evidence by default.",no,medium
