ws_id,relative_path,dimension_code,dimension_label,confidence,status,notes
WS_012,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/BookReview_Hunneus_GonzalezVidela.pdf,D01,Cold War geopolitics,low,first_pass,primary
WS_012,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/BookReview_Hunneus_GonzalezVidela.pdf,D08,Inter-American order / hemispheric security doctrine,low,first_pass,secondary
WS_013,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/Boook_Edited_inSpanish_Ulianova2020_Chile_URSS_AnosSesenta.pdf,D01,Cold War geopolitics,medium,first_pass,primary
WS_014,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/CIA_DeclassifiedDoc_NonAllignedMovement.pdf,D03,Third World / Non-Aligned Movement / NIEO politics,high,first_pass,primary
WS_014,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/CIA_DeclassifiedDoc_NonAllignedMovement.pdf,D09,"Diplomatic isolation, blockade, recognition, and alliance structure",medium,first_pass,secondary
WS_015,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_01_Tunstall2014.pdf,D08,Inter-American order / hemispheric security doctrine,medium,first_pass,primary
WS_015,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_01_Tunstall2014.pdf,D02,U.S. interventionism,low,first_pass,secondary
WS_016,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_02_Friedman2018.pdf,D01,Cold War geopolitics,low,first_pass,primary
WS_017,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_03_Buclin2017.pdf,D01,Cold War geopolitics,low,first_pass,primary
WS_018,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_04_Henrich-Franke2014.pdf,D01,Cold War geopolitics,low,first_pass,primary
WS_018,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_04_Henrich-Franke2014.pdf,D03,Third World / Non-Aligned Movement / NIEO politics,low,first_pass,secondary
WS_019,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_05_ZivoticCavoski2014.pdf,D03,Third World / Non-Aligned Movement / NIEO politics,medium,first_pass,primary
WS_019,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_05_ZivoticCavoski2014.pdf,D09,"Diplomatic isolation, blockade, recognition, and alliance structure",low,first_pass,secondary
WS_020,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_06_Luthi2016.pdf,D03,Third World / Non-Aligned Movement / NIEO politics,high,first_pass,primary
WS_020,docs/data_sources_WS_corridor/01_sources_raw/flat_current_corpus/JournalColdWar_06_Luthi2016.pdf,D09,"Diplomatic isolation, blockade, recognition, and alliance structure",medium,first_pass,secondary
