"model_id","model_family","model_role","sample_id","start_year","end_year","dependent_variable","dependent_variable_role","regressors","s30i_carry_forward_status","s30i_i2_warning","s30i_rolling_warning","n_obs","status","notes"
"S32_periodized_bridge_1940_1978","A00_periodized","periodized_baseline_candidate","bridge_1940_1978",1940,1978,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap__bridge_1940_1978","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap__bridge_1940_1978=carry_to_S32_periodized_cointegration_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap__bridge_1940_1978",39,"estimated_preliminary_not_promoted","Governed S22 period-reset q window."
"S32_periodized_pre_1974_alt_1940_1973","A00_periodized","periodized_baseline_candidate","pre_1974_alt_1940_1973",1940,1973,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap__pre_1974_alt_1940_1973","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap__pre_1974_alt_1940_1973=carry_to_S32_periodized_cointegration_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap__pre_1974_alt_1940_1973",34,"estimated_preliminary_not_promoted","Governed S22 period-reset q window."
"S32_periodized_pre_1974_alt_1947_1973","A00_periodized","periodized_baseline_candidate","pre_1974_alt_1947_1973",1947,1973,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap__pre_1974_alt_1947_1973","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap__pre_1974_alt_1947_1973=audit_only_high_i2_risk","I2_risk:q_omega_h1_Kcap__pre_1974_alt_1947_1973","rolling_instability:y_t,k_Kcap",27,"estimated_preliminary_not_promoted","Governed S22 period-reset q window."
"S32_ME_growth_extension","mechanization_extension","mechanization_candidate_extension","full_available_sample",1930,2024,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap + q_omega_h1_ME","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_ME=carry_to_S32_mechanization_cointegration_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,q_omega_h1_ME",95,"estimated_preliminary_not_promoted","Candidate extension, not a replacement for the aggregate baseline."
"S32_NRC_growth_extension","mechanization_extension","mechanization_candidate_extension","full_available_sample",1930,2024,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap + q_omega_h1_NRC","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_NRC=carry_to_S32_mechanization_cointegration_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,q_omega_h1_NRC",95,"estimated_preliminary_not_promoted","Candidate extension, not a replacement for the aggregate baseline."
"S32_ME_minus_NRC_growth_extension","mechanization_extension","mechanization_i2_diagnostic_stress_test","full_available_sample",1930,2024,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap + q_omega_h1_ME_minus_NRC","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_ME_minus_NRC=audit_only_high_i2_risk","I2_risk:q_omega_h1_ME_minus_NRC","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,q_omega_h1_ME_minus_NRC",95,"estimated_preliminary_not_promoted","Candidate extension, not a replacement for the aggregate baseline."
"S32_ME_share_extension","mechanization_extension","mechanization_i2_diagnostic_stress_test","full_available_sample",1930,2024,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap + q_omega_h1_ME_share","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_ME_share=audit_only_high_i2_risk","I2_risk:q_omega_h1_ME_share","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,q_omega_h1_ME_share",95,"estimated_preliminary_not_promoted","Candidate extension, not a replacement for the aggregate baseline."
"S32_NRC_share_extension","mechanization_extension","mechanization_i2_diagnostic_stress_test","full_available_sample",1930,2024,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap + q_omega_h1_NRC_share","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_NRC_share=audit_only_high_i2_risk","I2_risk:q_omega_h1_NRC_share","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,q_omega_h1_NRC_share",95,"estimated_preliminary_not_promoted","Candidate extension, not a replacement for the aggregate baseline."
"S32_ME_NRC_gap_extension","mechanization_extension","mechanization_i2_diagnostic_stress_test","full_available_sample",1930,2024,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap + q_omega_h1_ME_NRC_gap","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_ME_NRC_gap=audit_only_high_i2_risk","I2_risk:q_omega_h1_ME_NRC_gap","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,q_omega_h1_ME_NRC_gap",95,"estimated_preliminary_not_promoted","Candidate extension, not a replacement for the aggregate baseline."
"S32_GOV_TRANS_growth_extension","frontier_conditioner_extension","stationary_frontier_conditioner_robustness","full_available_sample",1930,2024,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap + GOV_TRANS_growth","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; GOV_TRANS_growth=carry_to_S32_stationary_frontier_conditioner_candidate","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap",95,"estimated_preliminary_not_promoted","Stationary frontier-growth conditioner; not an additive K_cap component."
"S32_IPP_growth_extension","frontier_conditioner_extension","stationary_frontier_conditioner_robustness","full_available_sample",1930,2024,"y_t","effective_output_proxy","k_Kcap + q_omega_h1_Kcap + IPP_growth","y_t=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; k_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; q_omega_h1_Kcap=carry_to_S32_baseline_cointegration_candidate_with_rolling_warning; IPP_growth=carry_to_S32_stationary_frontier_conditioner_candidate_with_rolling_warning","","rolling_instability:y_t,k_Kcap,q_omega_h1_Kcap,IPP_growth",95,"estimated_preliminary_not_promoted","Stationary frontier-growth conditioner; not an additive K_cap component."
