"object_id","classification","permitted_use","prohibited_use","promotion_to_core_capital","model_control_authorized","family_join_authorized","canonical_dataset_authorized","future_review_required"
"FIN_NET_INT","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN_NOS","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN_NVA","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN_PBT","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN_TRANSFERS","METADATA_REFERENCE_ONLY","metadata_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN__ME__cfc_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__ME__gross_investment_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__ME__net_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__ME__net_stock_quantity_index","PARKED_FOR_FUTURE_RESEARCH","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__NRC__cfc_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__NRC__gross_investment_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__NRC__net_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__NRC__net_stock_quantity_index","PARKED_FOR_FUTURE_RESEARCH","future_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"GOV_TRANS__HIGHWAYS_STREETS__cfc_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"CORP__IPP__cfc_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"CORP__IPP__gross_investment_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"CORP__IPP__net_stock_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"CORP__IPP__net_stock_quantity_index","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__IPP__cfc_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__IPP__gross_investment_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__IPP__net_stock_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"FIN__IPP__net_stock_quantity_index","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"NFC__IPP__cfc_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"NFC__IPP__gross_investment_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"NFC__IPP__net_stock_current_cost","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"NFC__IPP__net_stock_quantity_index","CONTEXTUAL_AUTHORIZED","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"CORP__IPP__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__IPP__official_price_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__IPP__retirements","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__IPP__revaluation_holding_gains","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN__IPP__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN__IPP__official_price_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__IPP__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__IPP__official_price_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__IPP__retirements","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__IPP__revaluation_holding_gains","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__ME__official_price_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__NRC__official_price_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN__ME__official_price_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN__NRC__official_price_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__ME__official_price_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__NRC__official_price_index","DIAGNOSTIC_ONLY","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"ACCUMULATED_Q","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"ADJUSTED_SHAIKH_CORPORATE_GOS","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"ADJUSTED_SHAIKH_CORPORATE_GVA","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"ADJUSTED_SHAIKH_CORPORATE_NOS","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"BUSINESS_WIDE_SHAIKH_OBJECTS","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"BUSINESS_WIDE_SHAIKH_RECONCILIATION","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__current_transfer_payments","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__current_transfer_receipts","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__dividends_paid","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__dividends_received","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__ME__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__ME__retirements","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__ME__revaluation_holding_gains","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__NRC__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__NRC__retirements","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"CORP__NRC__revaluation_holding_gains","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN__current_transfer_payments","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN__current_transfer_receipts","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN__dividends_paid","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN__dividends_received","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN__ME__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"FIN__NRC__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"GOV_TRANS__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"GPIM_RECONSTRUCTION","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__current_transfer_payments","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__current_transfer_receipts","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__dividends_paid","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__dividends_received","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__ME__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__ME__retirements","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__ME__revaluation_holding_gains","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__NRC__gross_stock_current_cost","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__NRC__retirements","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"NFC__NRC__revaluation_holding_gains","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"POST_S20_CHAPTER2_STAGES","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"PRODUCTIVE_CAPACITY","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"SHINY_APP","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"THETA_ECONOMETRICS","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"UTILIZATION","PARKED_FOR_FUTURE_RESEARCH","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","prohibited","no","no","no","yes"
"DOWNSTREAM__e_adj_CORP","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__e_adj_NFC","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__e_x_Kcap","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__e_x_ME","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__e_x_ME_NRC_gap","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__e_x_NRC","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__GOV_TRANS_GPIM","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__IPP_NFC_GPIM","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__K_G_NFC_KCAP_GPIM","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__K_G_NFC_ME_GPIM","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__K_G_NFC_NRC_GPIM","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__K_N_NFC_KCAP_GPIM","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__K_N_NFC_ME_GPIM","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__K_N_NFC_NRC_GPIM","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__ln_e_adj_CORP","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__ln_e_adj_NFC","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__omega_adj_CORP","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__omega_adj_NFC","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__P_K_NFC_ME_GPIM","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__P_K_NFC_NRC_GPIM","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__pi_adj_CORP","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"DOWNSTREAM__pi_adj_NFC","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"T711_L28","DIAGNOSTIC_ONLY","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"T711_L4","DIAGNOSTIC_ONLY","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"T711_L44","DIAGNOSTIC_ONLY","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"T711_L52","DIAGNOSTIC_ONLY","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"T711_L53","DIAGNOSTIC_ONLY","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"T711_L73","DIAGNOSTIC_ONLY","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"T711_L74","DIAGNOSTIC_ONLY","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"T711_L91","DIAGNOSTIC_ONLY","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE","METADATA_REFERENCE_ONLY","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","prohibited","no","no","no","yes"
"CORP__TOTAL__cfc_current_cost","DIAGNOSTIC_ONLY","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"CORP__TOTAL__gross_investment_current_cost","DIAGNOSTIC_ONLY","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
"CORP__TOTAL__net_stock_current_cost","DIAGNOSTIC_ONLY","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C","prohibited","no","no","no","yes"
