"object_id","classification","observation_status","evidence_stage","evidence_file","permitted_use","prohibited_use"
"GOV_TRANS__HIGHWAYS_STREETS__gross_investment_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__HIGHWAYS_STREETS__net_stock_quantity_index","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__cfc_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__gross_investment_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__IPP__cfc_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__IPP__gross_investment_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__IPP__net_stock_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__IPP__net_stock_quantity_index","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__IPP__cfc_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__IPP__gross_investment_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__IPP__net_stock_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__IPP__net_stock_quantity_index","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"NFC__IPP__cfc_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"NFC__IPP__gross_investment_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"NFC__IPP__net_stock_current_cost","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"NFC__IPP__net_stock_quantity_index","CONTEXTUAL_AUTHORIZED","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__IPP__official_price_index","DIAGNOSTIC_ONLY","excluded_or_deferred_no_observations","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__IPP__official_price_index","DIAGNOSTIC_ONLY","excluded_or_deferred_no_observations","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__IPP__official_price_index","DIAGNOSTIC_ONLY","excluded_or_deferred_no_observations","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__ME__official_price_index","DIAGNOSTIC_ONLY","excluded_or_deferred_no_observations","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__NRC__official_price_index","DIAGNOSTIC_ONLY","excluded_or_deferred_no_observations","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__ME__official_price_index","DIAGNOSTIC_ONLY","excluded_or_deferred_no_observations","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__NRC__official_price_index","DIAGNOSTIC_ONLY","excluded_or_deferred_no_observations","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__ME__official_price_index","DIAGNOSTIC_ONLY","excluded_or_deferred_no_observations","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__NRC__official_price_index","DIAGNOSTIC_ONLY","excluded_or_deferred_no_observations","S22","output/US/S22_MODEL_INPUT_PREPARATION_FROM_PROVIDER_V1/csv/S22_excluded_candidate_blocked_parked_audit.csv","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"DOWNSTREAM__e_adj_CORP","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__e_adj_NFC","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__e_x_Kcap","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__e_x_ME","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__e_x_ME_NRC_gap","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__e_x_NRC","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__GOV_TRANS_GPIM","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__IPP_NFC_GPIM","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__K_G_NFC_KCAP_GPIM","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__K_G_NFC_ME_GPIM","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__K_G_NFC_NRC_GPIM","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__K_N_NFC_KCAP_GPIM","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__K_N_NFC_ME_GPIM","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__K_N_NFC_NRC_GPIM","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__ln_e_adj_CORP","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__ln_e_adj_NFC","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__omega_adj_CORP","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__omega_adj_NFC","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__P_K_NFC_ME_GPIM","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__P_K_NFC_NRC_GPIM","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__pi_adj_CORP","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__pi_adj_NFC","METADATA_REFERENCE_ONLY","metadata_only_zero_observation","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L28","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L4","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L44","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L52","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L53","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L73","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L74","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L91","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE","METADATA_REFERENCE_ONLY","metadata_only_record","S24C","output/US/S24C_PROVIDER_SOURCE_INPUTS_OTHER_CONSTRUCTION/csv/S24C_provider_other_construction_ledger.csv","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"CORP__TOTAL__cfc_current_cost","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__TOTAL__gross_investment_current_cost","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__TOTAL__net_stock_current_cost","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__TOTAL__net_stock_quantity_index","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__TOTAL__cfc_current_cost","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__TOTAL__gross_investment_current_cost","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__TOTAL__net_stock_current_cost","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__TOTAL__net_stock_quantity_index","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"NFC__TOTAL__cfc_current_cost","DIAGNOSTIC_ONLY","observation_bearing_source_input","S24B","output/US/S24B_FIXED_ASSETS_SOURCE_INPUTS_CONSTRUCTION/csv/S24B_fixed_assets_construction_ledger.csv","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
