"object_id","object_group","classification","future_review_required","permitted_use","prohibited_use"
"CORP__IPP__gross_stock_current_cost","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__IPP__official_price_index","ipp_review_required","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__IPP__retirements","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__IPP__revaluation_holding_gains","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__IPP__gross_stock_current_cost","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__IPP__official_price_index","ipp_review_required","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__IPP__gross_stock_current_cost","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__IPP__official_price_index","ipp_review_required","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__IPP__retirements","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__IPP__revaluation_holding_gains","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__ME__official_price_index","official_price_diagnostic","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__NRC__official_price_index","official_price_diagnostic","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__ME__official_price_index","official_price_diagnostic","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__NRC__official_price_index","official_price_diagnostic","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__ME__official_price_index","official_price_diagnostic","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__NRC__official_price_index","official_price_diagnostic","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"ACCUMULATED_Q","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"ADJUSTED_SHAIKH_CORPORATE_GOS","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"ADJUSTED_SHAIKH_CORPORATE_GVA","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"ADJUSTED_SHAIKH_CORPORATE_NOS","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"BUSINESS_WIDE_SHAIKH_OBJECTS","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"BUSINESS_WIDE_SHAIKH_RECONCILIATION","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__current_transfer_payments","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__current_transfer_receipts","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__dividends_paid","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__dividends_received","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__ME__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__ME__retirements","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__ME__revaluation_holding_gains","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__NRC__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__NRC__retirements","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"CORP__NRC__revaluation_holding_gains","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__current_transfer_payments","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__current_transfer_receipts","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__dividends_paid","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__dividends_received","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__ME__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"FIN__NRC__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"GOV_TRANS__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"GPIM_RECONSTRUCTION","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__current_transfer_payments","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__current_transfer_receipts","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__dividends_paid","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__dividends_received","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__ME__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__ME__retirements","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__ME__revaluation_holding_gains","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__NRC__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__NRC__retirements","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"NFC__NRC__revaluation_holding_gains","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"POST_S20_CHAPTER2_STAGES","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"PRODUCTIVE_CAPACITY","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"SHINY_APP","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"THETA_ECONOMETRICS","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"UTILIZATION","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","yes","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization"
"DOWNSTREAM__e_adj_CORP","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__e_adj_NFC","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__e_x_Kcap","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__e_x_ME","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__e_x_ME_NRC_gap","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__e_x_NRC","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__GOV_TRANS_GPIM","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__IPP_NFC_GPIM","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__K_G_NFC_KCAP_GPIM","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__K_G_NFC_ME_GPIM","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__K_G_NFC_NRC_GPIM","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__K_N_NFC_KCAP_GPIM","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__K_N_NFC_ME_GPIM","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__K_N_NFC_NRC_GPIM","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__ln_e_adj_CORP","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__ln_e_adj_NFC","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__omega_adj_CORP","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__omega_adj_NFC","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__P_K_NFC_ME_GPIM","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__P_K_NFC_NRC_GPIM","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__pi_adj_CORP","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"DOWNSTREAM__pi_adj_NFC","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L28","provider_source_inputs_other","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L4","provider_source_inputs_other","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L44","provider_source_inputs_other","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L52","provider_source_inputs_other","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L53","provider_source_inputs_other","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L73","provider_source_inputs_other","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L74","provider_source_inputs_other","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"T711_L91","provider_source_inputs_other","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"WAGE_SHARE_UNADJUSTED_NFC_GVA_BASELINE","provider_source_inputs_other","METADATA_REFERENCE_ONLY","yes","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital"
"CORP__TOTAL__cfc_current_cost","provider_total_nonpromotion","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__TOTAL__gross_investment_current_cost","provider_total_nonpromotion","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__TOTAL__net_stock_current_cost","provider_total_nonpromotion","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"CORP__TOTAL__net_stock_quantity_index","provider_total_nonpromotion","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__TOTAL__cfc_current_cost","provider_total_nonpromotion","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__TOTAL__gross_investment_current_cost","provider_total_nonpromotion","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__TOTAL__net_stock_current_cost","provider_total_nonpromotion","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"FIN__TOTAL__net_stock_quantity_index","provider_total_nonpromotion","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
"NFC__TOTAL__cfc_current_cost","provider_total_nonpromotion","DIAGNOSTIC_ONLY","yes","diagnostic_reference_only","analytical_TOT; core_capital; model_control; family_join; canonical_integration_in_S30C"
