"object_id","object_group","classification","theoretical_role","permitted_use","prohibited_use","future_review_required"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_current_cost","government_transportation_structures","CONTEXTUAL_AUTHORIZED","Government transportation structures condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"GOV_TRANS__TRANSPORTATION_STRUCTURES__net_stock_quantity_index","government_transportation_structures","CONTEXTUAL_AUTHORIZED","Government transportation structures condition the frontier but are not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"CORP__IPP__cfc_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"CORP__IPP__gross_investment_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"CORP__IPP__net_stock_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"CORP__IPP__net_stock_quantity_index","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"FIN__IPP__cfc_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"FIN__IPP__gross_investment_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"FIN__IPP__net_stock_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"FIN__IPP__net_stock_quantity_index","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"NFC__IPP__cfc_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"NFC__IPP__gross_investment_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"NFC__IPP__net_stock_current_cost","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"NFC__IPP__net_stock_quantity_index","ipp_assets_and_investment","CONTEXTUAL_AUTHORIZED","IPP is contextual and productive-frontier-shaping, not core accumulation capital.","contextual_reference_only_after_future_canonical_intake","core_capital; model_control; family_join; canonical_integration_in_S30C","yes"
"CORP__IPP__gross_stock_current_cost","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__IPP__official_price_index","ipp_review_required","DIAGNOSTIC_ONLY","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__IPP__retirements","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__IPP__revaluation_holding_gains","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN__IPP__gross_stock_current_cost","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN__IPP__official_price_index","ipp_review_required","DIAGNOSTIC_ONLY","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__IPP__gross_stock_current_cost","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__IPP__official_price_index","ipp_review_required","DIAGNOSTIC_ONLY","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__IPP__retirements","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__IPP__revaluation_holding_gains","ipp_review_required","PARKED_FOR_FUTURE_RESEARCH","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__ME__official_price_index","official_price_diagnostic","DIAGNOSTIC_ONLY","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__NRC__official_price_index","official_price_diagnostic","DIAGNOSTIC_ONLY","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN__ME__official_price_index","official_price_diagnostic","DIAGNOSTIC_ONLY","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN__NRC__official_price_index","official_price_diagnostic","DIAGNOSTIC_ONLY","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__ME__official_price_index","official_price_diagnostic","DIAGNOSTIC_ONLY","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__NRC__official_price_index","official_price_diagnostic","DIAGNOSTIC_ONLY","Diagnostic only. Do not treat an implicit or official BEA price index as a GPIM output.","diagnostic_reference_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"ACCUMULATED_Q","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Out of provider V1 scope.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"ADJUSTED_SHAIKH_CORPORATE_GOS","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Adjusted Shaikh corporate GOS is not constructed in V1.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"ADJUSTED_SHAIKH_CORPORATE_GVA","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Adjusted Shaikh corporate GVA is not constructed in V1.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"ADJUSTED_SHAIKH_CORPORATE_NOS","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Adjusted Shaikh corporate NOS is not constructed in V1.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"BUSINESS_WIDE_SHAIKH_OBJECTS","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Commercial capital and noncorporate boundary blur unresolved.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"BUSINESS_WIDE_SHAIKH_RECONCILIATION","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Commercial-capital and noncorporate labour-equivalent blur remains unresolved.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__current_transfer_payments","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__current_transfer_receipts","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__dividends_paid","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__dividends_received","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__ME__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__ME__retirements","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__ME__revaluation_holding_gains","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__NRC__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__NRC__retirements","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"CORP__NRC__revaluation_holding_gains","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN__current_transfer_payments","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN__current_transfer_receipts","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN__dividends_paid","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN__dividends_received","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN__ME__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"FIN__NRC__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"GOV_TRANS__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Do not substitute net stock. Downstream GPIM must be explicit.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"GPIM_RECONSTRUCTION","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Out of provider V1 scope.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__current_transfer_payments","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__current_transfer_receipts","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__dividends_paid","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__dividends_received","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Net lines may be staged from T1.14, but gross payment/receipt components must not be inferred.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__ME__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__ME__retirements","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__ME__revaluation_holding_gains","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__NRC__gross_stock_current_cost","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Preserve as a required gap. Do not substitute net stock or construct GPIM here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__NRC__retirements","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"NFC__NRC__revaluation_holding_gains","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Retain as an explicit provider gap; no residual construction is permitted here.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"POST_S20_CHAPTER2_STAGES","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Chapter 2 stages are future downstream pass.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"PRODUCTIVE_CAPACITY","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Out of provider V1 scope.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"SHINY_APP","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","V1 is dataset release not app pass.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"THETA_ECONOMETRICS","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Out of provider V1 scope.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"UTILIZATION","parked_or_future_research","PARKED_FOR_FUTURE_RESEARCH","Out of provider V1 scope.","future_research_review_only","core_capital; model_control; family_join; canonical_integration_in_S30C; direct_Chapter2_use_without_future_authorization","yes"
"DOWNSTREAM__e_adj_CORP","provider_source_inputs_other","METADATA_REFERENCE_ONLY","Metadata-only provider or downstream construction reference; not observation-bearing analytical data.","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","yes"
"DOWNSTREAM__e_adj_NFC","provider_source_inputs_other","METADATA_REFERENCE_ONLY","Metadata-only provider or downstream construction reference; not observation-bearing analytical data.","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","yes"
"DOWNSTREAM__e_x_Kcap","provider_source_inputs_other","METADATA_REFERENCE_ONLY","Metadata-only provider or downstream construction reference; not observation-bearing analytical data.","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","yes"
"DOWNSTREAM__e_x_ME","provider_source_inputs_other","METADATA_REFERENCE_ONLY","Metadata-only provider or downstream construction reference; not observation-bearing analytical data.","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","yes"
"DOWNSTREAM__e_x_ME_NRC_gap","provider_source_inputs_other","METADATA_REFERENCE_ONLY","Metadata-only provider or downstream construction reference; not observation-bearing analytical data.","metadata_reference_only","model_control; family_join; canonical_integration_in_S30C; promotion_to_core_capital","yes"
