"candidate_id","variable_id","source_file","source_stage","source_table","sector_boundary","numerator_candidate","denominator_candidate","unit","frequency","year_coverage_start","year_coverage_end","finite_observations","current_release_status","object_kind","adjusted_unadjusted","sector_classification","attachable_to_current_s20","decision_reason"
"LEGACY_PANEL_data_processed_us_s20_us_s20_capital_distribution_frontier_panel_csv_omega_CORP","omega_CORP","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","legacy_or_pre_current_model_artifact","not_current_source_contract","corporate_sector","CORP_COMP","CORP_GVA","ratio","annual",1929,2025,97,"legacy_not_current_release_authority","constructed_or_registered_wage_share","unadjusted_legacy_or_alternative","corporate_sector","no","Rejected for S20C authorization because it is a legacy/pre-current artifact; source ingredients must authorize the current lane."
"LEGACY_PANEL_data_processed_us_s20_us_s20_capital_distribution_frontier_panel_csv_omega_NFC","omega_NFC","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","legacy_or_pre_current_model_artifact","not_current_source_contract","nonfinancial_corporate","NFC_COMP","NFC_GVA","ratio","annual",1929,2025,97,"legacy_not_current_release_authority","constructed_or_registered_wage_share","unadjusted_legacy_or_alternative","nonfinancial_corporate","no","Rejected for S20C authorization because it is a legacy/pre-current artifact; source ingredients must authorize the current lane."
"LEGACY_PANEL_data_processed_us_s20_us_s20_capital_distribution_frontier_panel_csv_pi_res_CORP","pi_res_CORP","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","legacy_or_pre_current_model_artifact","not_current_source_contract","corporate_sector","not_baseline_numerator","not_baseline_denominator","ratio","annual",1929,2025,97,"legacy_not_current_release_authority","profit_share_or_profit_ingredient","unadjusted_legacy_or_alternative","corporate_sector","no","Rejected for S20C authorization because it is a legacy/pre-current artifact; source ingredients must authorize the current lane."
"LEGACY_PANEL_data_processed_us_s20_us_s20_capital_distribution_frontier_panel_csv_pi_res_NFC","pi_res_NFC","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","legacy_or_pre_current_model_artifact","not_current_source_contract","nonfinancial_corporate","not_baseline_numerator","not_baseline_denominator","ratio","annual",1929,2025,97,"legacy_not_current_release_authority","profit_share_or_profit_ingredient","unadjusted_legacy_or_alternative","nonfinancial_corporate","no","Rejected for S20C authorization because it is a legacy/pre-current artifact; source ingredients must authorize the current lane."
"S10_LEDGER_CORP_COMP","CORP_COMP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S00_provider_handoff","BEA:NIPA:T11400","corporate_sector","CORP_COMP","not_declared","contract_metadata","annual_if_observation_source_used",,,,"staged_source_ingredient","labor_compensation_ingredient","unadjusted_or_pending_unadjusted","corporate_sector","ingredient_metadata","income_account_ingredient | Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"S10_LEDGER_CORP_GVA","CORP_GVA","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S00_provider_handoff","BEA:NIPA:T11400","corporate_sector","not_declared","CORP_GVA","contract_metadata","annual_if_observation_source_used",,,,"staged_source_ingredient","value_added_ingredient","unadjusted_or_pending_unadjusted","corporate_sector","ingredient_metadata","income_account_ingredient | Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"S10_LEDGER_NFC_COMP","NFC_COMP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S00_provider_handoff","BEA:NIPA:T11400","nonfinancial_corporate","NFC_COMP","not_declared","contract_metadata","annual_if_observation_source_used",,,,"staged_source_ingredient","labor_compensation_ingredient","unadjusted_or_pending_unadjusted","nonfinancial_corporate","ingredient_metadata","income_account_ingredient | Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"S10_LEDGER_NFC_GVA","NFC_GVA","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S00_provider_handoff","BEA:NIPA:T11400","nonfinancial_corporate","not_declared","NFC_GVA","contract_metadata","annual_if_observation_source_used",,,,"staged_source_ingredient","value_added_ingredient","unadjusted_or_pending_unadjusted","nonfinancial_corporate","ingredient_metadata","income_account_ingredient | Provider artifact preserved without construction. Direct NIPA Table 1.14 line; no adjusted share is constructed here."
"S10_INGREDIENT_CORP_COMP","CORP_COMP","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","NIPA:T11400","CORP","CORP_COMP","not_denominator_for_wage_share","Millions of current dollars","A",1929,2025,97,"repo_local_staged|staged|2026-06-09","labor_compensation_ingredient","unadjusted_source_ingredient","corporate_sector","ingredient_for_source_contract_only","Repo-local staged source ingredient with annual year key and provenance metadata; S20C may authorize a formula contract but does not attach to S20."
"S10_INGREDIENT_CORP_GVA","CORP_GVA","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","NIPA:T11400","CORP","not_numerator_for_wage_share","CORP_GVA","Millions of current dollars","A",1929,2025,97,"repo_local_staged|staged|2026-06-09","value_added_ingredient","unadjusted_source_ingredient","corporate_sector","ingredient_for_source_contract_only","Repo-local staged source ingredient with annual year key and provenance metadata; S20C may authorize a formula contract but does not attach to S20."
"S10_INGREDIENT_CORP_NOS","CORP_NOS","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","NIPA:T11400","CORP","not_numerator_for_wage_share","not_denominator_for_wage_share","Millions of current dollars","A",1929,2025,97,"repo_local_staged|staged|2026-06-09","profit_share_or_profit_ingredient","unadjusted_source_ingredient","corporate_sector","ingredient_for_source_contract_only","Repo-local staged source ingredient with annual year key and provenance metadata; S20C may authorize a formula contract but does not attach to S20."
"S10_INGREDIENT_NFC_COMP","NFC_COMP","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","NIPA:T11400","NFC","NFC_COMP","not_denominator_for_wage_share","Millions of current dollars","A",1929,2025,97,"repo_local_staged|staged|2026-06-09","labor_compensation_ingredient","unadjusted_source_ingredient","nonfinancial_corporate","ingredient_for_source_contract_only","Repo-local staged source ingredient with annual year key and provenance metadata; S20C may authorize a formula contract but does not attach to S20."
"S10_INGREDIENT_NFC_GVA","NFC_GVA","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","NIPA:T11400","NFC","not_numerator_for_wage_share","NFC_GVA","Millions of current dollars","A",1929,2025,97,"repo_local_staged|staged|2026-06-09","value_added_ingredient","unadjusted_source_ingredient","nonfinancial_corporate","ingredient_for_source_contract_only","Repo-local staged source ingredient with annual year key and provenance metadata; S20C may authorize a formula contract but does not attach to S20."
"S10_INGREDIENT_NFC_NOS","NFC_NOS","data/processed/us_s10/us_s10_source_panel_long.csv","S10_repo_local_source_panel","NIPA:T11400","NFC","not_numerator_for_wage_share","not_denominator_for_wage_share","Millions of current dollars","A",1929,2025,97,"repo_local_staged|staged|2026-06-09","profit_share_or_profit_ingredient","unadjusted_source_ingredient","nonfinancial_corporate","ingredient_for_source_contract_only","Repo-local staged source ingredient with annual year key and provenance metadata; S20C may authorize a formula contract but does not attach to S20."
"S10_LEDGER_omega_CORP","omega_CORP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S20_distribution_construction","Unadjusted corporate/NFC income-account ingredients","corporate_sector","CORP_COMP","CORP_GVA","contract_metadata","annual_if_observation_source_used",,,,"preferred_baseline_pending","constructed_or_registered_wage_share","unadjusted_or_pending_unadjusted","corporate_sector","registered_pending_source_contract","preferred_distributive_state | Unadjusted wage share is the first-pass baseline while the current-release protocol is blocked."
"S10_LEDGER_omega_NFC","omega_NFC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S20_distribution_construction","Unadjusted corporate/NFC income-account ingredients","nonfinancial_corporate","NFC_COMP","NFC_GVA","contract_metadata","annual_if_observation_source_used",,,,"preferred_baseline_pending","constructed_or_registered_wage_share","unadjusted_or_pending_unadjusted","nonfinancial_corporate","registered_pending_source_contract","preferred_distributive_state | Unadjusted wage share is the first-pass baseline while the current-release protocol is blocked."
"S10_LEDGER_pi_res_CORP","pi_res_CORP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S20_distribution_construction","Unadjusted corporate/NFC income-account ingredients","corporate_sector","not_declared","not_declared","contract_metadata","annual_if_observation_source_used",,,,"downstream_constructed_pending","profit_share_or_profit_ingredient","unadjusted_or_pending_unadjusted","corporate_sector","ingredient_metadata","residual_profit_share | Registered only; no distributive variable is constructed in S10."
"S10_LEDGER_pi_res_NFC","pi_res_NFC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S20_distribution_construction","Unadjusted corporate/NFC income-account ingredients","nonfinancial_corporate","not_declared","not_declared","contract_metadata","annual_if_observation_source_used",,,,"downstream_constructed_pending","profit_share_or_profit_ingredient","unadjusted_or_pending_unadjusted","nonfinancial_corporate","ingredient_metadata","residual_profit_share | Registered only; no distributive variable is constructed in S10."
"S20B_AUDIT_1","omega_reference","docs/validation/US_S22_PERIODIZED_A00_BASELINE_VALIDATION.md","S20B_audited:closed_downstream_historical_reference","reported_by_S20B","referenced_not_authorized","not_applicable","not_applicable","not_applicable","not_applicable",,,,"DOWNSTREAM_CLOSED_NOT_S20B_AUTHORITY","historical_downstream_reference","unadjusted_reference","unclear","not_authorized_by_S20B","Downstream reference confirms historical use but cannot authorize current S20 attachment."
"S20B_AUDIT_2","omega_reference","docs/validation/US_S30I_EXPANDED_INTEGRATION_ORDER_AUDIT_VALIDATION.md","S20B_audited:closed_downstream_historical_reference","reported_by_S20B","referenced_not_authorized","not_applicable","not_applicable","not_applicable","not_applicable",,,,"DOWNSTREAM_CLOSED_NOT_S20B_AUTHORITY","historical_downstream_reference","unadjusted_reference","unclear","not_authorized_by_S20B","Downstream reference confirms historical use but cannot authorize current S20 attachment."
"S20B_AUDIT_3","omega_reference","docs/validation/US_S32_MODEL_CHOICE_VALIDATION.md","S20B_audited:closed_downstream_historical_reference","reported_by_S20B","referenced_not_authorized","not_applicable","not_applicable","not_applicable","not_applicable",,,,"DOWNSTREAM_CLOSED_NOT_S20B_AUTHORITY","historical_downstream_reference","unadjusted_reference","unclear","not_authorized_by_S20B","Downstream reference confirms historical use but cannot authorize current S20 attachment."
"S20B_AUDIT_4","omega_reference","docs/validation/US_S32C_CORPORATE_BOUNDARY_VALIDATION.md","S20B_audited:closed_downstream_historical_reference","reported_by_S20B","referenced_not_authorized","not_applicable","not_applicable","not_applicable","not_applicable",,,,"DOWNSTREAM_CLOSED_NOT_S20B_AUTHORITY","historical_downstream_reference","unadjusted_reference","corporate_sector","not_authorized_by_S20B","Downstream reference confirms historical use but cannot authorize current S20 attachment."
"S20B_AUDIT_5","PROFIT_SHARE_ALTERNATIVE_RECONCILIATION","output/US/S20_MODEL_INPUT_LAYER/csv/S20_distribution_role_ledger.csv","S20B_audited:current_S20_model_input_layer","reported_by_S20B","pending_current_source_boundary","pending_authorized_source","pending_authorized_source","share_or_ratio_pending","annual_pending",,,0,"PENDING_OPTIONAL_SOURCE","profit_share_or_profit_ingredient","unadjusted_or_alternative_pending","unclear","not_authorized_by_S20B","ALTERNATIVE_RECONCILIATION_EVIDENCE_PENDING_AUTHORIZED_SOURCE | No authorized profit-share source is present in the S14 GPIM input contract. | No current-release S20B authorization is inferred from legacy or downstream use. A source can attach only through explicit current S20/S14-compatible source, boundary, formula, coverage, and join validation."
"S20B_AUDIT_6","SHAIKH_ADJUSTED_PROFIT_SHARE","output/US/S20_MODEL_INPUT_LAYER/csv/S20_distribution_role_ledger.csv","S20B_audited:current_S20_model_input_layer","reported_by_S20B","pending_current_source_boundary","pending_authorized_source","pending_authorized_source","share_or_ratio_pending","annual_pending",,,0,"BLOCKED","shaikh_adjusted_or_adjustment_candidate","adjusted_blocked","unclear","not_authorized_by_S20B","BLOCKED_PENDING_CROSSWALK_AND_DATA | No current-release semantic/accounting crosswalk and data contract is authorized in S20. | No current-release S20B authorization is inferred from legacy or downstream use. A source can attach only through explicit current S20/S14-compatible source, boundary, formula, coverage, and join validation."
"S20B_AUDIT_7","SHAIKH_ADJUSTED_WAGE_SHARE","output/US/S20_MODEL_INPUT_LAYER/csv/S20_distribution_role_ledger.csv","S20B_audited:current_S20_model_input_layer","reported_by_S20B","pending_current_source_boundary","pending_authorized_source","pending_authorized_source","share_or_ratio_pending","annual_pending",,,0,"BLOCKED","shaikh_adjusted_or_adjustment_candidate","adjusted_blocked","unclear","not_authorized_by_S20B","BLOCKED_PENDING_CROSSWALK_AND_DATA | No current-release semantic/accounting crosswalk and data contract is authorized in S20. | No current-release S20B authorization is inferred from legacy or downstream use. A source can attach only through explicit current S20/S14-compatible source, boundary, formula, coverage, and join validation."
"S20B_AUDIT_8","WAGE_SHARE_UNADJUSTED_BASELINE","output/US/S20_MODEL_INPUT_LAYER/csv/S20_distribution_role_ledger.csv","S20B_audited:current_S20_model_input_layer","reported_by_S20B","pending_current_source_boundary","pending_authorized_source","pending_authorized_source","share_or_ratio_pending","annual_pending",,,0,"PENDING_AUTHORIZED_SOURCE","shaikh_adjusted_or_adjustment_candidate","unadjusted_or_alternative_pending","unclear","not_authorized_by_S20B","PREFERRED_DISTRIBUTION_INPUT_PENDING_AUTHORIZED_SOURCE | No authorized wage-share source is present in the S14 GPIM input contract. | No current-release S20B authorization is inferred from legacy or downstream use. A source can attach only through explicit current S20/S14-compatible source, boundary, formula, coverage, and join validation."
"S20B_AUDIT_13","omega_CORP","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","S20B_audited:historical_pre_GPIM_S20_capital_distribution_frontier","reported_by_S20B","corporate","CORP_COMP","CORP_GVA","ratio","annual",1929,2025,97,"HISTORICAL_VALIDATED_OUTPUT_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","wage_share_or_wage_share_ingredient","unadjusted","corporate_sector","not_authorized_by_S20B","Legacy panel has annual observations, but current S20 output/US/S20_MODEL_INPUT_LAYER remains the governing S20 layer. The current S20 distribution ledger keeps wage-share attachment pending."
"S20B_AUDIT_14","omega_NFC","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","S20B_audited:historical_pre_GPIM_S20_capital_distribution_frontier","reported_by_S20B","nonfinancial_corporate","NFC_COMP","NFC_GVA","ratio","annual",1929,2025,97,"HISTORICAL_VALIDATED_OUTPUT_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","wage_share_or_wage_share_ingredient","unadjusted","nonfinancial_corporate","not_authorized_by_S20B","Legacy panel has annual observations, but current S20 output/US/S20_MODEL_INPUT_LAYER remains the governing S20 layer. The current S20 distribution ledger keeps wage-share attachment pending."
"S20B_AUDIT_15","pi_res_CORP","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","S20B_audited:historical_pre_GPIM_S20_capital_distribution_frontier","reported_by_S20B","corporate","1_minus_unadjusted_wage_share","gross_value_added","ratio","annual",1929,2025,97,"HISTORICAL_VALIDATED_OUTPUT_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","profit_share_or_profit_ingredient","unadjusted","corporate_sector","not_authorized_by_S20B","Legacy panel has annual observations, but current S20 output/US/S20_MODEL_INPUT_LAYER remains the governing S20 layer. The current S20 distribution ledger keeps wage-share attachment pending."
"S20B_AUDIT_16","pi_res_NFC","data/processed/us_s20/us_s20_capital_distribution_frontier_panel.csv","S20B_audited:historical_pre_GPIM_S20_capital_distribution_frontier","reported_by_S20B","nonfinancial_corporate","1_minus_unadjusted_wage_share","gross_value_added","ratio","annual",1929,2025,97,"HISTORICAL_VALIDATED_OUTPUT_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","profit_share_or_profit_ingredient","unadjusted","nonfinancial_corporate","not_authorized_by_S20B","Legacy panel has annual observations, but current S20 output/US/S20_MODEL_INPUT_LAYER remains the governing S20 layer. The current S20 distribution ledger keeps wage-share attachment pending."
"S20B_AUDIT_21","omega_CORP","data/processed/us_s20/us_s20_construction_ledger.csv","S20B_audited:historical_pre_GPIM_S20_construction_ledger","reported_by_S20B","corporate","CORP_COMP","CORP_GVA","ratio","annual",,,,"HISTORICAL_LEDGER_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","wage_share_or_wage_share_ingredient","unadjusted","corporate_sector","not_authorized_by_S20B","preferred_baseline | constructed | S10 stages direct NIPA compensation and gross-value-added lines and registers unadjusted wage shares as the preferred first-pass baseline."
"S20B_AUDIT_22","omega_NFC","data/processed/us_s20/us_s20_construction_ledger.csv","S20B_audited:historical_pre_GPIM_S20_construction_ledger","reported_by_S20B","nonfinancial_corporate","NFC_COMP","NFC_GVA","ratio","annual",,,,"HISTORICAL_LEDGER_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","wage_share_or_wage_share_ingredient","unadjusted","nonfinancial_corporate","not_authorized_by_S20B","preferred_baseline | constructed | S10 stages direct NIPA compensation and gross-value-added lines and registers unadjusted wage shares as the preferred first-pass baseline."
"S20B_AUDIT_23","pi_res_CORP","data/processed/us_s20/us_s20_construction_ledger.csv","S20B_audited:historical_pre_GPIM_S20_construction_ledger","reported_by_S20B","corporate","declared_in_formula","declared_in_formula","ratio","annual",,,,"HISTORICAL_LEDGER_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","profit_share_or_profit_ingredient","unadjusted","corporate_sector","not_authorized_by_S20B","residual_share | constructed | S10 stages direct NIPA compensation and gross-value-added lines and registers unadjusted wage shares as the preferred first-pass baseline."
"S20B_AUDIT_24","pi_res_NFC","data/processed/us_s20/us_s20_construction_ledger.csv","S20B_audited:historical_pre_GPIM_S20_construction_ledger","reported_by_S20B","nonfinancial_corporate","declared_in_formula","declared_in_formula","ratio","annual",,,,"HISTORICAL_LEDGER_NOT_CURRENT_S20_ATTACHMENT_AUTHORITY","profit_share_or_profit_ingredient","unadjusted","nonfinancial_corporate","not_authorized_by_S20B","residual_share | constructed | S10 stages direct NIPA compensation and gross-value-added lines and registers unadjusted wage shares as the preferred first-pass baseline."
"S20B_AUDIT_28","omega","data/processed/us_nf_corporate_stageBC.csv","S20B_audited:legacy_or_econometric_artifact","reported_by_S20B","legacy_nonfinancial_corporate_or_not_declared","EC","GVA","ratio_or_index","annual",1929,2024,96,"LEGACY_NOT_CURRENT_AUTHORITY","wage_share_or_wage_share_ingredient","unadjusted_legacy","corporate_sector","not_authorized_by_S20B","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"S20B_AUDIT_34","omega","data/processed/us_nf_corporate_stageC.csv","S20B_audited:legacy_or_econometric_artifact","reported_by_S20B","legacy_nonfinancial_corporate_or_not_declared","EC","GVA","ratio_or_index","annual",1929,2024,96,"LEGACY_NOT_CURRENT_AUTHORITY","wage_share_or_wage_share_ingredient","unadjusted_legacy","corporate_sector","not_authorized_by_S20B","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"S20B_AUDIT_39","omega","output/_legacy/stage_a/US/csv/theta_omega_tibble_us.csv","S20B_audited:legacy_or_econometric_artifact","reported_by_S20B","legacy_nonfinancial_corporate_or_not_declared","EC","GVA","ratio_or_index","annual",1929,2024,96,"LEGACY_NOT_CURRENT_AUTHORITY","wage_share_or_wage_share_ingredient","unadjusted_legacy","unclear","not_authorized_by_S20B","Legacy panel is audited as historical context only; S20B does not import theta, productive capacity, utilization, or legacy capital objects."
"S20B_AUDIT_41","CORP_COMP","data/processed/us_s10/us_s10_source_panel_long.csv","S20B_audited:S10_repo_local_source_panel","reported_by_S20B","corporate","direct_observation_if_numerator","direct_observation_if_denominator","Millions of current dollars","A",1929,2025,97,"STAGED_SOURCE_INGREDIENT_NOT_SHARE_ATTACHMENT","wage_share_or_wage_share_ingredient","unadjusted_source_ingredient","corporate_sector","not_authorized_by_S20B","Direct ingredient observations exist in repo-local S10 panel; S20B does not construct a new wage share from ingredients."
"S20B_AUDIT_42","CORP_GVA","data/processed/us_s10/us_s10_source_panel_long.csv","S20B_audited:S10_repo_local_source_panel","reported_by_S20B","corporate","direct_observation_if_numerator","direct_observation_if_denominator","Millions of current dollars","A",1929,2025,97,"STAGED_SOURCE_INGREDIENT_NOT_SHARE_ATTACHMENT","distribution_related","unadjusted_source_ingredient","corporate_sector","not_authorized_by_S20B","Direct ingredient observations exist in repo-local S10 panel; S20B does not construct a new wage share from ingredients."
"S20B_AUDIT_45","NFC_COMP","data/processed/us_s10/us_s10_source_panel_long.csv","S20B_audited:S10_repo_local_source_panel","reported_by_S20B","nonfinancial_corporate","direct_observation_if_numerator","direct_observation_if_denominator","Millions of current dollars","A",1929,2025,97,"STAGED_SOURCE_INGREDIENT_NOT_SHARE_ATTACHMENT","wage_share_or_wage_share_ingredient","unadjusted_source_ingredient","nonfinancial_corporate","not_authorized_by_S20B","Direct ingredient observations exist in repo-local S10 panel; S20B does not construct a new wage share from ingredients."
"S20B_AUDIT_46","NFC_GVA","data/processed/us_s10/us_s10_source_panel_long.csv","S20B_audited:S10_repo_local_source_panel","reported_by_S20B","nonfinancial_corporate","direct_observation_if_numerator","direct_observation_if_denominator","Millions of current dollars","A",1929,2025,97,"STAGED_SOURCE_INGREDIENT_NOT_SHARE_ATTACHMENT","distribution_related","unadjusted_source_ingredient","nonfinancial_corporate","not_authorized_by_S20B","Direct ingredient observations exist in repo-local S10 panel; S20B does not construct a new wage share from ingredients."
"S20B_AUDIT_49","CORP_COMP","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S20B_audited:S10_source_of_truth_scaffold","reported_by_S20B","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"staged_source_ingredient","wage_share_or_wage_share_ingredient","unadjusted_or_source_ingredient","corporate_sector","not_authorized_by_S20B","income_account_ingredient | staged_source_ingredient | S10 registers candidates but current S20B requires a current attachment contract."
"S20B_AUDIT_50","CORP_PROFITS_IVA_CC","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S20B_audited:S10_source_of_truth_scaffold","reported_by_S20B","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"staged_source_ingredient","profit_share_or_profit_ingredient","unadjusted_or_source_ingredient","corporate_sector","not_authorized_by_S20B","income_account_ingredient | staged_source_ingredient | S10 registers candidates but current S20B requires a current attachment contract."
"S20B_AUDIT_51","CorpImpIntAdj_t","data/processed/us_s10/us_s10_object_admissibility_ledger.csv","S20B_audited:S10_source_of_truth_scaffold","reported_by_S20B","corporate","S10_registered_or_provider_ingredient","S10_registered_or_provider_ingredient","source_ingredient_or_pending_share","annual_if_observed",,,,"blocked_pending_current_release_protocol","profit_share_or_profit_ingredient","adjusted_blocked","corporate_sector","not_authorized_by_S20B","Shaikh_style_interest_adjustment | blocked_pending_current_release_protocol | S10 registers candidates but current S20B requires a current attachment contract."
